# vertices: 51777, # edges: 107963
Number of sequences: 10000.
Loaded sequence batch successfully in 0.00683904s.
Sequence length: 102, alignment cost:0, forward num cells:83812, reverse num cells: 53251
Sequence length: 101, alignment cost:0, forward num cells:53229, reverse num cells: 57548
Sequence length: 141, alignment cost:0, forward num cells:53453, reverse num cells: 52864
Sequence length: 143, alignment cost:0, forward num cells:52184, reverse num cells: 53463
Sequence length: 78, alignment cost:0, forward num cells:53118, reverse num cells: 69006
Sequence length: 79, alignment cost:0, forward num cells:71686, reverse num cells: 51934
Sequence length: 99, alignment cost:0, forward num cells:52244, reverse num cells: 53217
Sequence length: 99, alignment cost:0, forward num cells:53217, reverse num cells: 52919
Sequence length: 80, alignment cost:0, forward num cells:53128, reverse num cells: 57337
Sequence length: 81, alignment cost:0, forward num cells:73196, reverse num cells: 51934
Sequence length: 89, alignment cost:0, forward num cells:53173, reverse num cells: 75804
Sequence length: 89, alignment cost:0, forward num cells:75804, reverse num cells: 53173
Sequence length: 53, alignment cost:0, forward num cells:52987, reverse num cells: 52244
Sequence length: 56, alignment cost:0, forward num cells:60144, reverse num cells: 52023
Sequence length: 97, alignment cost:0, forward num cells:57323, reverse num cells: 53203
Sequence length: 97, alignment cost:0, forward num cells:53203, reverse num cells: 57323
Sequence length: 94, alignment cost:0, forward num cells:73164, reverse num cells: 82118
Sequence length: 94, alignment cost:0, forward num cells:82118, reverse num cells: 73164
Sequence length: 133, alignment cost:0, forward num cells:73991, reverse num cells: 82339
Sequence length: 131, alignment cost:0, forward num cells:82333, reverse num cells: 70555
Sequence length: 59, alignment cost:0, forward num cells:62841, reverse num cells: 51958
Sequence length: 58, alignment cost:0, forward num cells:62587, reverse num cells: 52547
Sequence length: 140, alignment cost:0, forward num cells:82378, reverse num cells: 72414
Sequence length: 142, alignment cost:0, forward num cells:73237, reverse num cells: 82388
Sequence length: 48, alignment cost:0, forward num cells:52042, reverse num cells: 57903
Sequence length: 48, alignment cost:0, forward num cells:57903, reverse num cells: 52042
Sequence length: 100, alignment cost:0, forward num cells:82154, reverse num cells: 69425
Sequence length: 101, alignment cost:0, forward num cells:85033, reverse num cells: 82176
Sequence length: 131, alignment cost:0, forward num cells:70555, reverse num cells: 82333
Sequence length: 131, alignment cost:0, forward num cells:82333, reverse num cells: 70555
Sequence length: 135, alignment cost:0, forward num cells:82353, reverse num cells: 87495
Sequence length: 142, alignment cost:1, forward num cells:148821, reverse num cells: 163540
Sequence length: 101, alignment cost:0, forward num cells:85033, reverse num cells: 82176
Sequence length: 100, alignment cost:0, forward num cells:82154, reverse num cells: 69425
Sequence length: 53, alignment cost:0, forward num cells:52044, reverse num cells: 60584
Sequence length: 53, alignment cost:0, forward num cells:60584, reverse num cells: 52044
Sequence length: 128, alignment cost:0, forward num cells:82318, reverse num cells: 83049
Sequence length: 128, alignment cost:0, forward num cells:76589, reverse num cells: 82318
Sequence length: 55, alignment cost:0, forward num cells:52828, reverse num cells: 61210
Sequence length: 55, alignment cost:0, forward num cells:61210, reverse num cells: 52828
Sequence length: 88, alignment cost:0, forward num cells:74224, reverse num cells: 75514
Sequence length: 88, alignment cost:0, forward num cells:52029, reverse num cells: 74224
Sequence length: 96, alignment cost:0, forward num cells:70602, reverse num cells: 82128
Sequence length: 96, alignment cost:0, forward num cells:82128, reverse num cells: 70602
Sequence length: 83, alignment cost:0, forward num cells:52496, reverse num cells: 73057
Sequence length: 83, alignment cost:0, forward num cells:73057, reverse num cells: 52496
Sequence length: 100, alignment cost:0, forward num cells:82154, reverse num cells: 69425
Sequence length: 101, alignment cost:0, forward num cells:85033, reverse num cells: 82176
Sequence length: 147, alignment cost:0, forward num cells:87112, reverse num cells: 82421
Sequence length: 146, alignment cost:0, forward num cells:82417, reverse num cells: 92164
Sequence length: 105, alignment cost:0, forward num cells:76671, reverse num cells: 87731
Sequence length: 105, alignment cost:0, forward num cells:87731, reverse num cells: 76671
Sequence length: 44, alignment cost:0, forward num cells:57660, reverse num cells: 52615
Sequence length: 45, alignment cost:0, forward num cells:52939, reverse num cells: 53080
Sequence length: 151, alignment cost:0, forward num cells:66508, reverse num cells: 87994
Sequence length: 150, alignment cost:0, forward num cells:82452, reverse num cells: 82207
Sequence length: 94, alignment cost:0, forward num cells:86111, reverse num cells: 87842
Sequence length: 94, alignment cost:0, forward num cells:83952, reverse num cells: 86111
