[gwf_ed] dist=1, n=3, n_intv=0, n_tb=0
[gwf_ed] dist=2, n=5, n_intv=0, n_tb=0
[gwf_ed] dist=3, n=7, n_intv=0, n_tb=0
[gwf_ed] dist=4, n=9, n_intv=0, n_tb=0
[gwf_ed] dist=5, n=11, n_intv=0, n_tb=0
[gwf_ed] dist=6, n=13, n_intv=0, n_tb=0
[gwf_ed] dist=7, n=15, n_intv=0, n_tb=0
[gwf_ed] dist=8, n=17, n_intv=0, n_tb=0
[gwf_ed] dist=9, n=19, n_intv=0, n_tb=0
[gwf_ed] dist=10, n=21, n_intv=0, n_tb=0
[gwf_ed] dist=11, n=23, n_intv=0, n_tb=0
[gwf_ed] dist=12, n=25, n_intv=0, n_tb=0
[gwf_ed] dist=13, n=27, n_intv=0, n_tb=0
[gwf_ed] dist=14, n=29, n_intv=0, n_tb=0
[gwf_ed] dist=15, n=31, n_intv=0, n_tb=0
[gwf_ed] dist=16, n=33, n_intv=0, n_tb=0
[gwf_ed] dist=17, n=35, n_intv=0, n_tb=0
[gwf_ed] dist=18, n=37, n_intv=0, n_tb=0
[gwf_ed] dist=19, n=39, n_intv=0, n_tb=0
[gwf_ed] dist=20, n=41, n_intv=0, n_tb=0
[gwf_ed] dist=21, n=43, n_intv=0, n_tb=0
[gwf_ed] dist=22, n=45, n_intv=0, n_tb=0
[gwf_ed] dist=23, n=47, n_intv=0, n_tb=0
[gwf_ed] dist=24, n=49, n_intv=0, n_tb=0
[gwf_ed] dist=25, n=51, n_intv=0, n_tb=0
[gwf_ed] dist=26, n=53, n_intv=0, n_tb=0
[gwf_ed] dist=27, n=55, n_intv=0, n_tb=0
[gwf_ed] dist=28, n=57, n_intv=0, n_tb=0
[gwf_ed] dist=29, n=59, n_intv=0, n_tb=0
[gwf_ed] dist=30, n=61, n_intv=0, n_tb=0
[gwf_ed] dist=31, n=63, n_intv=0, n_tb=0
[gwf_ed] dist=32, n=65, n_intv=0, n_tb=0
[gwf_ed] dist=33, n=67, n_intv=0, n_tb=0
[gwf_ed] dist=34, n=69, n_intv=0, n_tb=0
[gwf_ed] dist=35, n=71, n_intv=0, n_tb=0
[gwf_ed] dist=36, n=73, n_intv=0, n_tb=0
[gwf_ed] dist=37, n=75, n_intv=0, n_tb=0
[gwf_ed] dist=38, n=77, n_intv=0, n_tb=0
[gwf_ed] dist=39, n=79, n_intv=0, n_tb=0
[gwf_ed] dist=40, n=81, n_intv=0, n_tb=0
[gwf_ed] dist=41, n=83, n_intv=0, n_tb=0
[gwf_ed] dist=42, n=85, n_intv=0, n_tb=0
[gwf_ed] dist=43, n=87, n_intv=0, n_tb=0
[gwf_ed] dist=44, n=89, n_intv=0, n_tb=0
[gwf_ed] dist=45, n=91, n_intv=0, n_tb=0
[gwf_ed] dist=46, n=93, n_intv=0, n_tb=0
[gwf_ed] dist=47, n=95, n_intv=0, n_tb=0
[gwf_ed] dist=48, n=97, n_intv=0, n_tb=0
[gwf_ed] dist=49, n=99, n_intv=0, n_tb=0
[gwf_ed] dist=50, n=101, n_intv=0, n_tb=0
[gwf_ed] dist=51, n=103, n_intv=0, n_tb=0
[gwf_ed] dist=52, n=105, n_intv=0, n_tb=0
101_516_1013_2:0:0_3:0:0_0/1	52
[gwf_ed] dist=1, n=3, n_intv=0, n_tb=0
[gwf_ed] dist=2, n=5, n_intv=0, n_tb=0
