node_id,offset
2,4096
1,1975
1,7191
11,21530
8,24008
2,3310
1,47844
1,14703
1,31175
11,4506
1,45594
3,18510
3,5689
11,6411
16,5426
11,18268
15,5003
3,4605
11,21062
1,2596
1,4340
1,6614
8,17195
15,164
1,30914
3,18902
6,970
11,20037
15,4390
3,15300
3,19691
6,3503
11,24065
8,33561
8,6364
16,4543
1,37403
16,5121
1,16058
8,2574
15,3582
2,2075
8,3907
11,4913
3,5599
5,377
1,20574
8,12750
3,7927
2,2342
1,13034
6,3041
3,16552
8,10722
11,13614
1,43695
5,938
1,39422
1,5129
8,12023
8,21877
15,6040
11,26057
1,49374
11,25955
8,115
5,5992
3,19421
1,35817
1,47449
11,9271
3,12654
11,17183
3,7732
8,9826
1,35675
3,5061
3,5789
8,12615
3,44
16,4552
8,22787
5,4870
8,69
11,12760
3,230
11,19031
6,5825
1,26464
8,25882
8,6329
11,18934
1,40490
15,6005
8,1956
5,3085
16,4519
8,36
6,918
8,13304
8,32749
11,8451
3,11049
6,2360
6,1352
1,21081
8,21468
1,9451
8,32414
8,5080
11,10889
16,1000
15,646
1,9339
11,13589
3,4993
8,15791
5,109
1,15049
8,31736
8,7130
3,14427
15,211
8,17995
11,22519
8,26310
11,1815
3,10236
1,28358
1,29260
8,15160
1,14450
5,4001
8,23937
8,21153
16,362
6,3340
1,29610
3,3994
11,18983
1,4968
1,36425
5,1563
3,12993
8,24077
16,6302
11,523
2,2035
3,9955
11,10937
1,24244
8,2481
11,25671
6,392
8,6652
8,24853
6,280
8,32038
8,29488
3,16601
11,13648
8,10729
3,3647
8,14585
5,749
16,6175
2,6161
8,14659
1,21097
8,22886
8,17838
15,550
11,16979
1,5560
8,26696
3,14249
3,1054
1,41304
1,44705
1,34069
8,991
8,14480
8,4589
11,8526
5,4248
1,13495
6,3234
1,29473
8,7719
11,13770
3,14732
3,1791
1,38044
1,10688
11,21575
1,7448
1,32684
1,18502
8,24687
8,14662
1,19791
1,14962
8,24510
3,10235
11,3785
1,40020
1,2001
1,45885
5,5473
8,14994
8,28569
1,11412
13,98
1,1776
1,18297
2,4535
11,3246
3,10521
8,12277
8,16123
6,5676
16,5161
3,9931
1,39087
11,21324
3,15039
8,9845
3,157
11,3385
1,28755
11,1286
16,1664
3,15482
3,7800
8,6011
1,16116
11,19105
1,8997
8,28387
1,28048
3,13482
1,6326
8,24883
1,32548
11,16634
1,21058
8,1207
1,11571
8,29509
8,20549
1,15867
11,18649
8,4827
15,4723
6,4646
1,21001
8,13776
16,6321
3,6238
1,34287
2,6131
3,16101
1,5667
3,669
11,21816
11,25260
11,15740
3,7413
11,19761
1,50721
1,24769
8,431
1,11027
1,45044
3,8999
1,33074
5,1285
1,11928
1,570
11,19254
11,22335
1,7822
1,33353
8,6105
2,6064
15,31
8,11632
11,25933
8,27531
15,2967
3,15080
3,812
16,3139
8,16939
1,25541
11,6848
6,2668
1,45831
8,3039
11,25576
8,30182
16,5828
8,33407
8,16907
6,5685
8,24521
1,37565
1,13338
6,1434
16,2937
1,11654
5,4598
8,32550
15,3020
6,5406
2,3094
1,45973
8,33328
2,1541
5,4720
1,20129
8,5080
15,4152
1,20873
16,2506
8,16660
1,41888
1,38060
1,5412
1,29475
5,4388
8,17366
5,2071
8,33112
1,22524
1,6731
8,4222
5,1669
8,7106
6,357
1,46225
8,31203
1,1858
1,36248
8,31549
1,40990
16,2841
1,620
3,18477
1,5487
15,4847
1,50414
11,4771
3,4637
1,23610
1,26994
1,2332
8,34007
1,11225
8,21739
1,16706
11,3872
3,5753
1,836
1,1672
1,7006
16,5242
8,26947
8,9100
8,10499
11,6258
8,16512
5,4798
3,8968
5,3810
11,7257
8,15704
8,32079
1,4377
16,2144
15,549
1,8962
1,22962
15,3670
11,25854
1,46610
3,2644
1,47463
11,19909
6,3730
15,1783
2,628
11,13571
1,39492
2,592
6,274
11,8492
8,7930
3,10811
1,702
5,254
1,153
3,19882
1,49060
1,28416
1,51866
3,8838
11,11132
1,11838
11,16465
8,21871
8,19392
8,4834
2,52
1,5662
1,21726
11,18036
1,47810
1,4097
11,15998
1,31712
8,22456
8,17366
11,11443
11,12197
8,20247
8,17653
8,25653
1,38951
11,16031
8,17643
11,5912
11,18235
3,11550
15,2105
11,24480
1,28737
8,1005
8,21140
8,688
5,2450
1,25005
11,1358
1,42680
11,19899
8,1717
8,2568
8,30023
11,16861
16,3245
8,11362
3,16723
3,7709
1,27915
2,1926
2,375
3,12980
11,13818
16,2942
15,426
3,12891
