node_id,offset
482,1500
298,55510
106,47793
492,25593
15,62361
56,42111
259,5214
118,11489
115,14669
148,19122
56,32729
440,501
263,146315
269,23551
539,7378
56,39385
492,111732
16,5057
94,64495
115,23585
38,91119
106,176037
106,141601
304,25496
275,49688
265,88904
26,1984
216,2695
24,6150
469,422
343,52
292,7442
106,174788
119,27972
539,12972
115,33314
115,7253
148,242
34,21353
19,11540
321,35659
161,13341
298,46672
24,41247
458,13033
332,1006
295,5830
263,92655
31,2643
34,20346
277,409
26,27751
24,42764
298,6459
492,3867
5,3564
106,22628
263,200414
106,23793
164,9464
315,20115
38,6520
179,500
109,7693
19,18927
458,10670
118,1484
119,1573
265,18160
492,63869
285,90091
52,6847
22,4541
36,52626
190,5471
263,128001
295,4350
246,14610
24,8584
94,166268
15,51851
24,8425
335,4048
388,1074
265,11549
152,6601
94,35108
94,177643
275,12549
25,18177
263,49080
6,31233
476,17780
485,53964
56,42642
311,2158
192,10136
485,41208
148,28890
15,73373
2,3485
91,37128
645,1394
52,18359
99,48341
6,136147
578,13
463,35156
22,3733
461,4699
36,77346
56,7924
132,4432
67,8617
265,50427
451,7621
56,33008
115,17882
6,41817
29,48138
15,65886
101,109463
24,23821
24,78396
24,69380
154,1823
434,60
115,3599
321,16925
289,14004
429,50
474,9326
451,35755
108,36369
423,201
465,17199
17,23387
290,3071
214,3382
265,6720
456,3528
38,37308
802,6
304,7716
94,194903
165,6499
898,1613
51,818
635,85
94,107105
263,131284
152,10322
22,29037
29,100905
285,54045
25,46881
285,95602
36,29744
270,7133
263,50785
15,27729
275,40514
289,26392
265,7634
263,93012
52,19365
487,1278
440,1479
260,7640
101,26960
101,24962
3,4514
490,74287
94,42192
29,122991
463,90231
263,163661
15,1176
304,16840
295,17310
492,120964
183,3407
265,56886
44,4705
108,36899
321,5430
463,6042
326,4776
265,72437
332,5693
119,13371
131,5826
334,96
38,68712
106,100649
485,46239
94,191810
192,12695
110,5464
221,46
183,1789
99,44305
29,44242
377,12089
658,1205
74,2900
116,313
109,4517
423,1605
108,3930
146,648
295,8914
71,1598
29,8399
106,115663
15,66518
71,1163
94,36648
275,38416
106,131934
29,18069
24,88119
455,5173
52,63641
101,42914
94,85832
96,11894
460,28831
24,26197
26,40065
77,4979
6,106745
52,21251
43,2076
99,58906
585,1092
284,3237
6,16561
6,64668
165,15944
38,96109
318,12682
463,32671
271,17591
915,276
119,22381
485,16993
29,46101
24,12050
39,865
442,5461
121,1869
492,78663
25,561
101,17189
463,57975
287,13352
484,6617
164,2115
106,166112
540,9054
263,106822
15,39966
957,168
148,42612
447,1644
101,43104
156,14720
11,5793
463,84566
265,1569
25,28448
960,52
285,119890
94,46597
50,1460
289,6736
58,3811
263,183888
246,7955
275,27444
455,2063
263,9429
393,127
152,9714
271,15268
283,4638
99,62453
165,6598
263,178526
292,2701
265,48299
379,3902
476,36725
15,47061
463,73239
313,18749
101,34855
99,27963
16,9842
539,7862
109,1586
110,25015
639,322
106,44743
154,64090
451,1087
639,8993
468,10122
15,10961
106,136679
58,1289
285,119761
29,72633
101,111832
258,2679
460,4997
285,8318
43,13150
295,20389
119,54481
6,109013
265,101400
810,3788
89,4553
94,112300
110,27993
109,24526
116,14716
192,14231
318,5622
295,18376
263,40808
320,1381
283,7619
94,70291
29,63331
25,19489
94,101050
492,3596
492,68323
29,104534
263,138959
38,75490
141,5280
285,4135
6,32795
455,16097
129,5059
275,33694
490,4690
492,49372
101,21925
681,1174
6,114676
490,6219
29,70512
468,12552
263,174915
450,8017
191,1076
217,50
269,43097
492,31723
1,7600
460,7397
298,32123
492,31515
24,67160
29,40058
456,4699
486,3636
285,87632
450,17164
119,66475
550,4162
94,129162
474,7271
6,83893
492,15286
26,40522
29,29341
285,26269
216,7609
94,38809
540,1101
106,88962
265,122638
287,20386
463,49625
106,173751
285,53434
99,54756
111,7545
492,44356
24,54120
485,55246
