node_id,offset
23727,58
17147,3
43231,0
29682,13
20919,142
43687,91
33196,83
41629,0
3964,45
22813,44
22936,6
10946,9
24892,20
36633,6
44707,9
19383,49
40984,32
39525,129
21537,261
32361,78
33190,174
5381,15
27996,89
17630,221
29449,57
31895,7
11293,13
41532,238
23666,0
25538,286
7397,29
26960,45
14670,11
21103,54
14903,2
29970,0
46152,7
40372,0
41376,6
44671,15
27780,322
45195,11
16040,3
8305,45
7530,6
32775,1234
21227,172
47574,2
25958,17
30740,21
6069,19
4252,2
30176,175
21188,83
25568,11
40442,80
10155,197
38604,61
32969,13
38364,111
6475,35
28254,5
42450,24
17104,9
13605,111
10436,41
18295,72
42325,14
11172,5
23748,95
46670,25
10061,51
5252,10
6827,69
45925,18
16064,12
39428,10
38019,11
16961,2569
21722,55
28496,90
22124,315
6167,0
15771,63
0,0
38055,46
47775,39
38533,61
10622,243
30770,282
19785,12
16981,93
29940,95
17474,0
32775,945
35686,0
30773,50
20400,0
34104,7
19206,5
33423,110
30749,137
44921,156
28209,5
20523,20
30252,152
41490,148
15597,23
40697,112
42745,94
0,0
16669,47
25955,7
16055,10
24745,197
20707,9
14590,0
17633,221
36135,0
43152,63
28440,1
15944,407
10055,0
0,0
26835,1
31934,155
27951,39
6478,14
32014,94
19676,58
37018,77
26233,36
15929,14
32032,1
26489,29
28738,43
47087,68
45966,34
47036,26
43370,36
38840,104
10332,51
45177,59
34026,70
19853,13
33429,25
18110,74
16961,504
43994,9
36909,56
39763,4
30252,146
0,0
43094,83
46703,3
25195,229
31324,23
11095,52
37492,47
38187,0
8178,12
33286,73
42400,3
46021,250
20895,94
36453,10
37090,67
41706,68
31756,35
34373,226
28808,80
32775,3418
37111,107
22496,36
24334,0
17336,114
21317,142
36978,255
37288,40
21587,19
20358,5
8389,36
41165,1
17630,17
19730,50
43527,62
8959,87
8835,42
19112,59
0,0
42751,124
32009,0
40066,121
14134,28
28218,13
33143,32
39137,3
41394,25
9066,17
25886,63
21851,63
19073,34
7278,80
10155,190
0,0
20508,30
0,0
29631,348
15944,277
32267,0
32110,29
22250,15
7004,64
24630,31
38663,83
12383,0
0,0
15944,74
9674,2
36567,19
22879,6
42099,3
24908,0
39308,34
23350,0
0,0
15497,175
23203,68
32775,372
25778,28
41124,0
21746,21
23194,4
7485,36
41252,56
18859,49
45711,4
16684,13
18047,72
9066,151
18564,20
0,0
24628,0
26227,16
11187,3
31046,35
43132,42
28968,25
24336,28
9540,6
16485,48
33298,168
27905,8
16931,2170
45055,16
21209,33
5198,6
32151,193
43614,20
21079,7
11344,84
12480,91
6871,57
31061,58
7242,262
35313,18
40801,18
41430,186
47018,16
16333,34
26757,39
3903,22
12851,0
25355,6
9528,79
11000,26
26620,15
30179,73
35241,17
24700,4
38607,5
31978,10
8351,4
42886,11
33340,6
15762,40
19428,90
35238,22
43476,56
42597,19
36303,50
39944,0
16008,0
18331,5
30650,14
0,0
11811,20
15621,78
0,0
16094,71
30551,476
0,0
41448,62
15036,9
9024,0
33217,28
37580,0
47306,7
29018,24
41070,162
0,0
7435,138
24389,71
39910,4
23984,4
7747,3
29443,69
28564,73
27798,25
17823,123
9314,68
26158,80
19401,11
46671,0
40708,24
44992,139
9962,29
3626,0
5322,50
32775,3524
9302,100
23245,22
9807,73
42617,0
8178,42
24948,67
18930,16
22881,0
45598,17
15959,18
10817,39
12742,0
41940,33
13464,3
41598,5
29009,22
33068,81
33581,103
44856,85
20740,8
32211,42
31094,250
12576,88
42745,67
45376,81
3360,0
31545,142
36230,5
10161,26
26673,33
26679,45
38536,13
4846,31
36511,20
10191,64
9907,1
28940,3
13905,105
25076,17
39407,5
28836,91
37765,62
18134,47
40697,101
18367,0
23368,20
29622,89
45468,30
0,0
0,0
31046,68
46622,210
31711,9
16785,189
9320,61
38536,22
42919,85
12606,111
0,0
7129,74
15831,53
45999,2
10459,44
16028,87
14544,0
42471,154
46226,7
17398,54
28435,8
47189,25
17315,41
12106,1
0,0
41514,65
20320,15
31689,0
16528,69
45819,22
19464,0
31969,126
16981,359
10544,59
23002,0
15819,4
29892,17
45364,273
28455,91
29676,1
33999,148
7465,70
26307,85
9492,38
15916,56
28543,24
11389,19
26286,55
36597,12
0,0
7189,32
46839,42
29330,5
17286,26
17679,35
25817,79
40807,11
8570,13
6932,31
23895,28
31187,0
0,0
45111,11
0,0
46786,2
31518,17
25011,137
0,0
38987,175
14574,99
4977,0
16782,45
9528,33
40918,6
44683,84
22187,149
7651,44
45376,119
8678,2
42499,3
7730,0
17295,188
13617,12
39970,17
40762,17
30944,133
4457,3
28346,9
14468,0
0,0
15473,21
16064,47
22235,25
28986,42
15497,17
26440,22
19961,31
0,0
34704,97
43876,65
29242,0
22181,128
9087,46
18393,126
26059,8
30364,15
0,0
26227,17
37939,1
0,0
12746,0
12993,146
32151,192
19500,13
4179,16
8389,37
12422,39
32775,236
27168,20
17383,19
46911,192
8080,12
15045,14
16961,2501
24046,260
36719,18
15417,3
0,0
14562,117
28301,128
31117,0
40948,49
29970,14
24342,84
36396,40
13251,18
42449,0
6980,23
17663,0
13473,32
31153,12
18250,5
28720,0
43681,58
23736,19
25714,44
42751,93
37810,82
15440,90
18163,35
31624,391
3736,13
30788,318
41817,58
33837,46
12838,19
10628,20
33765,53
19010,26
11238,239
45787,49
29479,60
16399,14
24351,4
30299,0
32250,51
12683,33
23305,5
15527,142
30758,28
32946,43
46872,36
8496,100
25464,6
47742,67
15230,17
34906,3
10137,51
4185,12
17627,105
0,0
8455,17
38675,19
31216,173
8314,137
32310,144
30093,50
26706,49
20430,97
16931,1157
14655,18
14900,18
18693,50
16791,0
17345,124
17372,3
0,0
30246,43
7465,155
16091,118
43152,116
8380,54
6164,31
30734,82
16485,31
0,0
19952,36
13023,11
42919,163
11344,33
16856,64
20837,60
19637,42
7091,35
32211,45
18385,68
38186,24
32145,71
37439,0
5773,0
31189,122
14986,0
31539,44
21461,49
7453,8
18602,28
47530,14
27022,4
17202,6
47060,1
32775,1744
10439,40
20644,38
9377,35
10353,13
45040,4
45209,1
16411,47
0,0
37060,10
16420,116
20397,22
19589,165
44877,9
13827,69
16276,30
12555,6
7103,100
29090,81
31252,7
40439,80
24506,2
46839,91
7346,106
16306,115
9863,38
8131,132
40616,23
37291,22
9561,22
18753,10
23143,37
45521,75
35468,202
36438,17
31318,107
10949,103
18885,44
25044,57
13827,68
13710,70
32640,123
0,0
25207,150
36761,115
30596,9
42295,127
37201,133
37642,40
31969,68
16366,259
15944,18
22458,19
41784,12
20895,73
26946,0
31225,9
46391,9
7227,187
35049,96
10131,43
21016,37
7753,15
46780,9
13479,18
31324,55
11389,81
9302,47
33754,44
17772,81
32286,36
33563,57
30791,52
21792,19
23203,86
25850,38
21147,90
13989,2
33016,43
35483,190
8305,63
20858,74
9051,0
25681,55
18537,70
41745,8
20167,65
26507,22
11741,32
37201,30
47718,17
13695,12
30770,76
19961,194
7034,39
21338,118
21725,5
18416,67
35858,0
31273,5
9233,26
34101,14
15877,13
10389,61
31931,56
24026,29
7236,156
24987,19
30240,41
15479,47
36030,6
0,0
26670,23
41430,92
14903,18
28397,29
19721,107
10880,12
13515,46
21251,10
18540,25
33331,72
46205,1
42535,57
8769,25
30578,7
19684,0
37540,73
17055,0
0,0
9045,37
33501,70
26257,13
39860,0
24089,105
41706,88
18113,32
16931,1616
32151,84
32113,69
28143,2
7797,0
28194,280
29440,25
29366,31
9956,29
0,0
0,0
39311,12
43994,2
33331,29
28295,82
11971,45
11068,35
24633,51
24398,23
36462,46
16064,117
33199,18
0,0
7046,47
21576,0
31578,104
12689,168
23778,6
32600,708
30797,68
13914,7
47686,6
42835,42
46610,23
32340,58
8086,187
5508,6
13794,95
11503,19
13176,22
28426,15
25622,52
8705,4
9656,2
35666,59
25340,83
35163,65
37195,126
23391,15
32008,75
38186,35
35163,88
43708,49
32480,143
27780,205
41088,83
39275,4
15443,66
43988,89
0,0
47754,83
26549,3
18172,38
17672,24
37141,20
30158,350
38891,17
18134,106
21920,43
33645,26
28499,20
14434,38
15308,105
37177,10
14535,25
17642,17
47318,0
28546,12
16273,70
45283,70
21639,0
0,0
45391,0
42742,72
33716,0
39029,161
35325,7
32145,60
41775,64
42156,76
28310,68
15317,34
33068,40
10851,125
27169,0
28660,32
7004,88
35514,85
26730,78
18316,10
16516,12
15099,5
10831,41
30773,21
30608,11
10748,16
33394,17
11483,18
9084,0
27978,45
22154,20
37546,160
8859,31
31255,73
29793,115
18473,4
41352,26
35148,57
38966,32
23652,13
42814,15
30554,36
32151,235
37066,32
42475,55
41661,59
21693,43
21509,58
29886,18
24868,33
25538,180
32548,25
31720,4
7242,127
36862,30
41745,23
9117,72
13420,15
23047,5
16396,60
36357,154
31153,67
46688,33
27040,1
16961,1375
8080,95
43158,30
37369,8
21380,66
0,0
6859,72
39585,3
26331,61
32600,388
8452,2
30608,53
27165,155
9926,28
20543,85
15907,16
19488,138
40828,11
24817,38
35422,41
37288,53
10639,63
23745,37
30471,84
40697,84
16931,1352
30388,82
6998,127
24939,3
21666,11
45138,59
0,0
8654,26
24939,37
43449,36
45364,128
13441,57
17573,65
39167,98
0,0
39537,2
6554,31
28107,7
28310,17
37180,90
24089,190
16761,69
19263,23
24633,92
26257,6
31189,39
23221,323
8314,48
21678,53
21690,26
0,0
11226,98
34065,29
30341,18
8835,73
7946,4
0,0
10550,145
22825,19
18337,144
10459,23
10616,61
4307,17
47503,26
19961,365
13980,114
30108,8
36820,105
47736,47
34062,12
40537,3
42579,44
29652,265
30674,75
33402,18
12938,87
45055,50
0,0
19129,25
22363,96
38248,95
6575,2
22271,13
28582,10
21215,9
30746,8
32594,994
17100,0
24288,98
16847,33
0,0
19112,110
23332,40
30737,72
0,0
37072,133
41364,6
33645,36
18888,83
4516,3
16238,4
33524,36
9129,51
21494,14
29883,3
46069,5
