node_id,offset
2,4096
11,25523
11,18526
1,48588
1,37020
8,19972
8,10060
1,5837
11,14810
1,12369
3,8026
1,31408
1,51433
8,9661
15,5289
6,332
1,17735
11,20506
16,5165
5,3229
1,22563
8,34338
8,10069
8,20618
15,4358
3,5685
3,18558
11,21350
3,11862
1,11157
15,5687
3,1139
6,3334
11,7792
1,11145
15,349
1,39359
8,32563
1,23407
11,20417
6,2490
1,21032
3,8287
11,13958
11,14545
1,15492
5,1865
8,5079
3,8289
11,4953
1,49872
1,35852
1,4065
8,8258
1,10823
8,8858
1,20364
3,13247
3,17926
3,17977
8,22953
8,5804
11,16126
11,26311
1,15825
1,47137
1,39866
11,24393
1,30531
1,2840
1,5989
1,20866
1,23267
15,1116
16,4667
1,45502
11,17047
1,22584
1,48309
3,17063
3,16011
1,17995
8,16838
1,18342
1,37071
6,282
8,8037
1,37147
11,7461
11,7662
1,34926
11,21793
8,20589
1,5888
1,28291
1,11218
11,22251
11,23645
3,18063
8,5935
11,14401
6,1304
1,35532
6,2189
16,1738
1,33927
8,8564
11,23704
8,11490
3,498
1,44400
15,3334
2,2561
1,22518
15,833
8,4054
11,3803
8,8646
3,15311
11,954
1,30015
3,15025
8,8915
11,18730
1,50645
11,22644
16,3496
1,2393
15,149
1,31155
8,18483
5,4827
8,20770
3,5195
3,14486
1,40948
3,10213
1,44325
1,35380
1,16914
1,17927
8,4355
15,4763
3,11142
1,49791
5,6363
1,35128
11,23600
3,9063
8,18706
16,1883
6,822
1,12342
11,1266
8,22563
1,15210
1,28213
8,15686
11,1995
8,234
15,5042
11,14853
11,4781
1,47290
1,33375
3,5462
5,3962
8,7172
1,40796
1,10322
8,16356
8,4637
3,4484
1,10597
5,1591
1,24497
8,11449
6,1334
11,16410
1,11430
1,18764
1,18468
3,1086
11,16890
8,14873
6,2111
11,6328
1,14380
5,2690
1,20587
3,6349
1,49557
1,39545
1,39394
15,5107
11,19773
3,17725
11,14960
1,28671
3,14481
1,16165
1,44378
8,384
1,10141
1,32348
8,21727
1,37500
8,13566
1,40303
3,17610
11,7507
1,15630
1,14796
15,5294
16,1730
8,9191
1,20151
1,11509
1,20382
11,22363
11,20623
3,14257
1,50550
11,24751
1,48030
6,3717
8,9526
8,32819
8,4611
1,46110
16,5582
3,14437
15,1102
8,11979
11,19509
1,791
1,26013
15,5133
1,22838
6,417
3,3150
16,5545
11,7607
8,4683
1,40801
8,23752
16,6068
6,2951
3,12368
8,19
1,44528
8,3523
1,41382
16,2174
15,4588
1,32786
11,16720
11,24571
15,3672
11,15387
8,6393
8,15349
11,25855
8,21151
15,3678
11,8856
11,13944
1,9983
11,6027
5,3319
5,3513
2,5638
1,30377
11,18143
11,9096
16,5340
15,1942
11,17066
1,11115
3,17129
1,25704
11,13987
15,5623
3,9332
15,3862
15,4659
11,8184
16,2365
11,2644
8,9411
8,7791
11,6670
5,5813
11,9250
3,372
11,17186
1,49466
6,479
1,28307
15,4820
1,44285
1,25462
1,723
8,22840
6,344
1,32521
15,2274
8,8429
1,23434
16,5629
1,16480
11,25813
6,2943
11,24212
1,42675
3,14018
3,7297
8,18581
3,12694
8,15226
15,94
1,42500
8,10647
6,374
11,26211
8,18146
1,30795
8,9428
6,2046
16,2680
15,5100
3,3306
1,46441
8,24283
8,22658
8,24325
1,5771
1,8287
8,15119
3,3877
1,43313
8,9444
1,24792
1,13949
1,26229
3,1620
8,12482
15,4156
3,1400
1,12072
6,2365
6,2810
15,5409
3,9041
8,15163
11,0
3,11029
15,4616
5,3012
3,9915
11,10806
11,20495
1,2626
1,8943
8,2882
8,22763
1,46112
1,15122
8,17497
1,46367
1,11125
11,10382
8,5627
8,18865
11,7185
8,11420
3,10965
16,4929
8,20950
1,19619
6,2786
1,32974
2,3323
8,7398
11,9193
16,4931
8,8505
15,3253
16,1903
1,23502
8,6693
11,21604
15,4476
11,23095
1,13616
11,3726
11,10999
1,51531
11,11185
8,24246
8,12996
8,22280
1,37551
16,3198
11,8565
8,21720
11,11158
1,35719
1,46885
8,7786
8,32755
1,37972
11,20598
1,2514
8,19144
15,5523
15,4048
8,9230
11,12033
11,10275
2,4505
11,2054
15,5311
8,14827
5,5625
1,14300
11,19836
16,3870
11,4401
1,21195
3,3884
8,20470
3,6151
1,26235
3,1850
5,907
15,5926
2,5585
8,9141
2,3166
11,20729
1,45987
1,8512
11,15162
1,39527
1,36538
1,21206
3,14375
8,12208
15,3439
8,13511
3,16803
1,41372
15,5429
11,4329
8,13904
1,39265
15,4949
2,172
11,17364
5,682
8,34162
11,15115
16,4914
1,14385
8,6927
11,4974
8,14244
15,4991
8,5390
3,15766
8,11565
8,10143
3,10189
1,4260
11,20964
1,832
11,13673
15,5564
1,24287
1,38181
1,13809
11,6600
2,4597
8,5902
5,4571
1,16715
11,7616
1,46755
15,2943
1,15569
1,21619
3,6359
5,2792
3,4896
2,5224
15,375
1,17755
1,9527
1,10092
15,683
8,9234
3,14955
16,4709
11,15662
1,22658
1,40264
3,4885
11,16597
11,23389
3,14297
8,21105
11,24892
11,23387
1,12014
1,25909
1,29684
11,16328
1,22421
8,23087
1,23171
15,4527
1,22011
3,9233
11,20760
3,18896
1,16136
8,1545
3,18774
1,13008
1,49956
11,12790
8,5522
1,48248
11,13425
8,9541
11,23202
1,35567
3,9337
8,22400
11,1313
1,34288
5,5967
11,19263
1,21767
8,20842
16,2522
15,947
1,25754
5,4313
11,9986
15,1334
3,9999
1,2977
11,9933
1,28877
11,23385
8,3592
11,2945
1,30039
11,13240
1,36628
8,6909
1,24185
5,5851
1,43782
11,4028
16,4643
11,8550
11,20160
15,172
11,17054
8,3233
16,4143
1,2401
8,8377
11,2774
15,4333
15,5416
1,4578
1,19362
1,18197
15,3029
11,16879
15,6151
2,1421
3,351
11,13013
1,29876
1,39647
3,19653
1,30719
16,5120
15,5331
3,3284
1,47966
1,1249
5,5711
8,13045
11,15809
3,10814
3,20
1,7697
8,20071
8,23445
8,19641
8,1500
8,15304
1,49933
15,4382
1,50281
15,71
1,35169
1,22185
1,40953
1,43923
11,23721
3,9114
16,5893
3,2522
15,1116
1,40458
11,15496
6,82
1,5085
11,18624
8,17048
11,8301
8,2268
3,19798
11,17028
1,12700
8,9183
11,8845
1,20945
3,14244
1,6115
2,6241
5,2648
2,4287
15,414
8,9376
11,10379
11,25318
3,10253
1,24513
2,5476
15,4946
1,41304
11,17375
6,787
11,19025
8,8556
1,19410
8,19986
11,129
1,11081
16,4440
1,12375
1,27807
1,34041
1,781
11,17391
1,31750
3,15811
11,20529
8,17312
1,36978
8,4432
5,2222
6,1504
15,1529
8,9059
8,16381
6,2698
1,8933
11,12821
11,18576
1,36454
11,24558
16,5807
8,15307
8,11053
8,7022
1,16964
3,4314
1,36207
1,24582
11,24054
1,42629
5,2333
8,21339
8,2017
8,14545
15,5888
11,23977
1,104
11,10357
3,9499
1,43999
15,5737
1,21962
15,4918
1,672
8,20132
15,5051
1,25290
1,36793
8,24331
1,20220
3,8525
6,1271
1,46989
1,25987
8,7763
11,23722
3,724
8,11402
15,5166
8,21201
15,1911
16,4218
1,41590
1,14760
11,21842
8,841
11,21063
1,47090
3,15307
1,10631
1,35098
1,26007
15,3878
3,5402
11,16865
1,18981
1,29916
1,9178
2,1347
8,20518
8,24364
1,5988
1,38751
16,2846
1,23584
11,21980
1,2529
1,32953
11,8739
3,17860
1,10755
1,47467
11,4692
15,5171
1,26694
8,21848
15,1280
8,4049
1,30219
1,19487
1,26845
1,5128
5,3681
15,725
5,3066
1,15425
1,45018
3,6267
11,2009
3,12808
2,5151
1,9660
1,6291
15,6108
11,19157
8,19882
1,7894
1,43345
6,2616
1,41408
1,37094
1,33169
1,26403
1,17386
1,15321
1,23411
3,18915
16,2477
8,13120
6,1435
15,4668
11,2112
8,3343
1,39938
8,12165
11,21804
8,15395
8,8283
1,35053
15,15
3,6363
8,22120
1,33540
11,9846
2,4474
11,23735
15,603
1,38809
15,4034
1,40745
8,7828
1,32435
11,7390
8,20024
1,3906
15,5891
8,6941
1,22107
8,23705
8,13962
1,27852
1,35917
1,6843
1,37960
11,3216
1,32891
11,17008
1,20274
3,1721
1,44734
1,31746
15,649
1,43288
5,4700
1,18845
15,5547
1,44895
1,3621
1,37504
8,7959
15,1494
15,6342
8,10790
1,20481
11,19411
11,8900
8,3838
8,19767
1,4012
1,29515
1,15393
8,5923
11,5186
3,1575
11,22778
1,17991
1,48841
8,23998
1,19688
15,1064
11,19514
11,12092
1,50911
1,12046
3,4688
1,20231
8,2748
1,23318
1,20973
11,24038
1,24085
3,15216
1,36134
11,17868
3,5549
8,9974
8,2584
1,14174
8,17458
3,7291
3,800
11,6976
2,1377
11,9347
15,1593
1,41536
8,34075
6,539
15,3608
1,9871
11,353
1,39226
1,7373
1,15299
11,6153
11,7445
16,2385
6,1501
1,9747
3,14941
3,16638
3,469
8,4454
16,5598
8,13268
15,6064
8,19417
11,19173
6,284
1,28309
2,6110
1,3459
3,13434
1,14551
1,47339
15,5911
3,24
1,44687
11,14626
1,47282
1,6502
1,37446
8,20166
3,5933
11,20318
8,33198
8,8658
3,16992
11,6322
3,1892
8,144
1,30347
1,35009
15,1716
1,41115
1,47218
8,11048
1,49626
1,2108
11,18945
3,2007
3,14022
3,12855
1,38144
3,12553
1,24323
1,21571
1,6649
1,25974
1,2725
11,6057
8,18950
1,36197
1,11153
1,15295
1,19736
15,5157
8,8572
6,2549
8,16028
2,533
1,8668
11,3286
8,4529
8,478
8,20400
3,14163
1,27148
8,19933
1,35422
1,37121
3,11722
11,1194
6,295
11,9517
11,19933
1,24937
8,3168
8,18861
8,3980
6,188
11,16552
1,3401
6,3035
11,21133
16,5046
1,10249
1,22220
8,11948
6,3988
1,4575
11,19139
1,33265
1,30614
11,12095
1,18487
8,18374
1,6891
1,47207
16,4729
