node_id,offset
2,4096
0,0
0,0
0,0
1,37020
8,19972
8,10060
1,5837
11,14810
1,12369
3,8026
1,31408
0,0
8,9661
6,5289
2,332
1,17735
5,573
0,0
0,0
1,22563
0,0
8,10069
8,20618
0,0
3,5685
0,0
0,0
0,0
1,11157
6,5687
3,1139
2,3334
11,7792
1,11145
0,0
1,39359
0,0
1,23407
3,13991
6,2490
1,21032
3,8287
11,13958
11,14545
1,15492
0,0
8,5079
3,8289
11,4953
0,0
1,35852
1,4065
8,8258
1,10823
8,8858
1,20364
0,0
0,0
0,0
8,22953
3,5805
8,24141
1,51966
1,15825
1,47137
1,39866
0,0
1,30531
1,2840
1,5989
1,20866
1,23267
0,0
0,0
1,45502
0,0
1,22584
5,2721
0,0
0,0
1,17995
8,16838
1,18342
1,37071
2,282
3,8038
1,37147
11,7461
11,7662
1,34926
0,0
8,20589
1,5888
1,28291
1,11218
5,2318
0,0
0,0
8,5935
11,14401
6,1304
1,35532
6,2189
0,0
1,33927
3,8565
0,0
8,11490
3,498
1,44400
0,0
2,2561
1,22518
0,0
8,4054
11,3803
3,8647
0,0
11,954
1,30015
0,0
8,8915
3,12304
0,0
0,0
0,0
1,2393
0,0
1,31155
8,18483
5,4827
8,20770
3,5195
0,0
1,40948
0,0
1,44325
1,35380
1,16914
1,17927
8,4355
0,0
8,11141
5,4203
6,6331
1,35128
5,3667
3,9063
8,18706
0,0
6,822
1,12342
11,1266
8,22563
1,15210
1,28213
8,15686
11,1995
8,234
6,5042
11,14853
11,4781
1,47290
1,33375
3,5462
0,0
8,7172
1,40796
1,10322
8,16356
8,4637
3,4484
1,10597
0,0
1,24497
8,11449
6,1334
3,9984
1,11430
1,18764
1,18468
3,1086
0,0
8,14873
6,2111
11,6328
1,14380
5,2690
1,20587
3,6349
0,0
1,39545
1,39394
0,0
0,0
0,0
11,14960
1,28671
0,0
1,16165
1,44378
8,384
1,10141
1,32348
8,21727
1,37500
8,13566
1,40303
0,0
11,7507
1,15630
1,14796
6,5294
0,0
3,9192
1,20151
1,11509
1,20382
5,2430
5,690
0,0
0,0
0,0
1,48030
6,3717
8,9526
0,0
8,4611
0,0
0,0
0,0
0,0
8,11979
0,0
1,791
1,26013
6,5133
1,22838
6,417
3,3150
0,0
11,7607
8,4683
1,40801
8,23752
0,0
6,2951
8,12367
8,19
0,0
3,3523
1,41382
0,0
6,4588
1,32786
0,0
0,0
0,0
11,15387
8,6393
8,15349
0,0
8,21151
0,0
11,8856
11,13944
1,9983
11,6027
5,3319
0,0
2,5638
1,30377
0,0
11,9096
0,0
0,0
3,10640
1,11115
0,0
1,25704
11,13987
0,0
3,9332
0,0
0,0
11,8184
0,0
11,2644
8,9411
8,7791
11,6670
5,5813
11,9250
3,372
0,0
0,0
6,479
1,28307
0,0
0,0
1,25462
1,723
8,22840
2,344
1,32521
0,0
8,8429
1,23434
0,0
1,16480
0,0
6,2943
0,0
0,0
0,0
3,7297
8,18581
0,0
8,15226
0,0
0,0
8,10647
2,374
0,0
8,18146
1,30795
8,9428
6,2046
0,0
6,5100
3,3306
1,46441
8,24283
8,22658
8,24325
1,5771
1,8287
8,15119
3,3877
0,0
8,9444
1,24792
1,13949
1,26229
3,1620
8,12482
6,4156
3,1400
1,12072
6,2365
6,2810
0,0
3,9041
8,15163
11,0
8,11028
6,4616
5,3012
3,9915
11,10806
3,14069
1,2626
1,8943
8,2882
8,22763
0,0
1,15122
8,17497
1,46367
1,11125
11,10382
8,5627
8,18865
11,7185
8,11420
0,0
0,0
8,20950
1,19619
6,2786
1,32974
2,3323
3,7399
11,9193
0,0
8,8505
0,0
0,0
1,23502
3,6694
