node_id,offset
991,98579
1067,101999
1067,16623
839,10310
0,0
949,115259
1013,171618
106,312
839,131887
622,36075
981,11590
881,64346
0,0
0,0
977,91646
991,71199
1063,203675
839,91027
981,113014
873,906
981,123136
0,0
1067,45213
714,36757
917,19450
802,32183
977,103880
839,189700
981,34302
660,4051
881,53112
0,0
839,144589
1047,35618
0,0
714,9825
0,0
977,133839
802,40476
1013,135079
925,49647
0,0
1069,43107
1067,47545
0,0
702,141191
0,0
949,80927
0,0
1063,70490
1047,51747
0,0
1013,140497
0,0
991,148507
881,121859
0,0
839,128520
758,1334
772,6085
831,22293
57,350
0,0
1067,49168
0,0
702,174351
1067,54871
1077,1322
0,0
0,0
0,0
1023,30151
1061,1353
0,0
1063,18743
839,33097
1067,46622
714,17563
0,0
0,0
684,7389
881,87383
376,72
925,79861
1067,109748
1013,91550
991,88833
0,0
839,8840
949,115106
881,52630
322,113
981,54247
949,97115
784,65351
0,0
802,59914
925,76722
788,9193
738,19454
0,0
881,92153
917,28049
1069,27161
0,0
758,5998
1047,62280
1013,27112
1013,105625
338,148
839,37941
772,12150
764,13467
0,0
991,139285
802,81944
861,242
828,67649
232,415
1069,1618
911,71783
0,0
622,36405
738,32490
0,0
849,34169
919,7692
0,0
917,21451
582,446
772,33838
1063,204371
0,0
981,11287
1063,143293
925,30099
448,6
738,25665
0,0
802,20017
1039,37602
0,0
881,180691
911,68638
0,0
919,48940
1067,86470
991,8066
824,25813
812,11205
702,180607
977,32003
1063,155628
981,126844
991,21001
925,126086
881,21804
1077,23604
1013,16424
839,98333
911,123011
1013,226852
788,5926
0,0
981,18976
991,109897
981,130640
0,0
1023,10465
784,67156
0,0
806,9930
981,155
0,0
702,150695
1039,476
919,6034
881,123074
622,25340
831,10475
925,81235
0,0
1039,33538
702,164187
714,92060
0,0
0,0
881,177070
1067,68223
839,83374
925,57645
255,403
0,0
911,50963
919,79274
702,58145
991,125988
919,45666
839,152138
0,0
949,26192
0,0
0,0
1067,4649
0,0
824,37655
0,0
784,25008
1039,35531
911,88188
2012,17
1067,38911
1067,39073
991,126193
839,185995
478,257
0,0
622,22840
702,171302
911,87425
839,202074
0,0
1077,1069
0,0
1061,4311
981,105057
991,20863
849,9854
0,0
1067,90774
0,0
925,90611
1013,175514
702,120184
738,37115
1063,33093
991,170560
881,111128
1013,61129
1067,30299
802,38778
0,0
1047,58248
0,0
764,8850
977,126644
911,19137
1013,720
977,45
784,65863
1013,197338
0,0
57,119
0,0
991,147211
977,61284
0,0
0,0
772,30078
0,0
981,45170
0,0
839,87983
881,178104
812,59290
1063,103168
0,0
812,6267
1013,176223
0,0
190,213
0,0
806,6720
714,89129
981,131085
702,22878
101,394
1047,61648
1063,215608
0,0
1069,70213
981,97781
828,74362
831,754
788,39824
0,0
85,120
0,0
911,29620
1055,56267
1013,181968
0,0
839,71690
1063,47134
0,0
839,123664
0,0
0,0
828,21628
1013,59458
814,13666
0,0
0,0
1047,68997
911,65686
1013,133680
925,123027
0,0
0,0
881,179915
828,51504
814,13180
788,23432
0,0
1013,192039
1013,65145
702,195370
764,5460
0,0
814,10791
824,57840
2163,6
764,12044
788,26137
0,0
981,27153
839,167324
806,15267
0,0
937,2759
772,23612
949,73641
622,6958
981,88454
881,29733
0,0
0,0
981,118993
812,38543
481,129
839,12330
596,160
1039,36858
839,94040
1039,53726
881,35993
831,4282
0,0
881,165016
1063,164805
1039,57393
839,144745
828,46788
784,64562
1067,49990
839,64092
881,1904
0,0
0,0
784,11687
784,24068
859,5650
1067,74112
1023,19765
0,0
977,16552
977,57863
824,39551
0,0
772,24404
1047,28017
925,15622
714,21932
1063,42945
1069,69808
714,11481
977,163444
1023,8282
622,32674
8,85
839,3766
911,9403
1023,38407
530,112
849,27145
919,95710
949,86292
977,54337
0,0
925,119885
714,64440
95,264
977,158386
714,132377
977,16690
1067,55393
1013,42818
1063,55169
1063,176153
981,3556
0,0
919,93781
784,43917
977,53604
812,425
981,25230
1063,195544
839,28932
1013,162887
1013,37576
1013,204894
1067,82288
977,55231
1061,16663
824,15520
977,106882
0,0
881,110916
1023,28928
1047,94707
949,31465
714,123191
814,7484
1013,57492
925,97846
0,0
0,0
1013,87848
702,6397
0,0
991,145411
714,11684
565,268
951,8237
784,3896
0,0
738,20308
839,177991
714,42573
925,57177
919,66000
1013,87230
714,126329
839,108240
0,0
