node_id,offset
2,4096
1,3690
16,869
11,353
3,12809
3,11715
1,41937
8,17548
1,28070
3,9966
5,1134
1,3356
1,32795
8,18545
11,20253
1,3171
16,3600
11,22471
6,5035
1,14948
1,40622
11,24299
11,19531
1,40118
6,1260
1,1869
3,5370
1,35888
16,2776
1,36219
15,5503
1,33175
15,2768
16,5129
3,8095
11,10590
1,40271
11,9819
2,2964
8,17828
3,19747
2,5290
1,33424
1,34235
5,1956
3,7386
16,2683
5,812
11,12081
1,21924
11,6874
1,23166
1,13120
1,45677
6,5248
11,25709
6,5902
11,14662
1,45701
6,5774
1,635
8,21235
1,42989
1,33103
1,50193
11,9385
3,4707
1,5746
16,2320
1,32996
8,13940
3,14658
1,47811
8,16265
8,2345
8,21356
1,15147
8,17792
3,14770
1,10898
8,4538
8,17090
1,25166
1,47980
1,14591
1,11877
2,2280
1,38507
16,6088
8,19816
11,345
3,11666
8,470
1,46451
11,10940
1,43097
11,13767
1,3762
1,32927
15,6135
1,23091
11,5384
1,29555
1,26902
3,1297
8,18387
1,31828
1,50587
15,2751
11,23052
1,38796
11,2829
1,26842
8,3309
1,32028
2,323
1,28709
1,38694
8,20903
1,5520
1,30068
11,16030
3,9618
5,2620
8,5404
6,2072
1,40997
3,2354
8,21356
11,1531
5,1775
3,19743
1,10086
15,6122
8,12156
11,13574
2,6243
6,504
8,2107
11,23077
2,5257
1,45076
6,4538
1,30248
1,14710
11,7297
6,3340
8,547
5,297
11,9939
1,4990
11,24076
8,23785
1,50335
1,93
3,6806
8,7512
11,7778
11,25497
3,8076
1,40951
2,3570
11,1270
11,10090
3,9700
8,19601
1,13212
2,2057
8,11689
1,30219
3,8867
1,565
15,2084
2,6252
1,7684
3,6625
11,24761
3,17863
11,24610
1,7393
1,5435
3,3039
5,706
8,1847
3,19666
15,4781
1,26313
8,982
5,183
8,12521
6,3570
16,850
8,18433
1,32719
8,563
3,15766
3,6784
1,3641
1,2367
15,4124
1,15034
8,3648
11,25991
1,44129
1,23155
1,16945
16,3912
1,22693
16,4669
15,6206
8,18626
1,30401
15,3366
6,3700
3,1106
2,3442
1,17601
6,5568
11,2461
8,23095
1,20957
11,2096
1,45870
1,41189
15,4013
1,28147
1,51347
1,4251
3,9323
3,13399
6,189
8,2742
8,18164
11,19275
2,250
16,3894
1,24786
1,15217
6,4455
3,6057
1,12530
11,18105
15,3147
8,20415
11,23475
8,16757
8,7863
6,2456
8,4486
8,13397
2,513
11,7632
8,19545
1,19570
6,4903
8,22002
3,1790
1,14656
1,38300
1,45310
1,46132
1,45940
3,4441
11,22890
1,46982
3,6835
3,4042
11,12588
6,2746
8,6079
6,4950
5,3018
1,51894
15,6096
1,2101
1,50264
1,37635
1,27100
8,8189
1,24883
15,3021
1,5000
1,14556
1,37941
8,2934
2,3592
1,11821
8,7531
11,15082
1,2641
11,24083
3,5675
1,51271
3,7847
11,9061
8,18091
11,19020
1,36451
3,13719
1,14678
8,8784
5,671
5,272
1,29358
5,2144
5,1401
3,10329
1,28254
1,9370
2,4585
1,7042
1,2690
3,16232
2,3790
1,22370
1,4028
11,11861
1,37805
3,1853
1,38210
8,23468
11,24831
1,11501
1,49899
8,4109
1,16276
3,4515
5,3257
15,314
8,20925
1,21256
3,17090
1,7918
1,11070
8,15281
8,22059
3,18829
3,4472
3,3793
8,6027
1,2265
11,19505
8,19517
1,27685
16,75
8,16833
3,19710
1,37918
2,530
8,6538
1,51176
