node_id,offset
105,2185
107,6355
106,754
105,1969
105,2853
103,333
105,2074
105,251
107,690
105,3585
106,492
107,533
103,751
105,2003
103,723
107,3741
106,343
107,3539
105,1739
106,1083
107,499
105,2482
105,2440
105,2278
105,2945
107,7336
107,657
107,1286
103,913
104,18
103,822
107,4041
105,180
101,1624
106,923
105,2124
105,1697
105,2519
107,223
103,1009
107,5115
107,2384
101,1378
106,323
105,281
105,3067
103,1026
103,1146
107,3314
103,288
107,3010
107,1769
107,7759
107,3494
107,916
106,1338
107,5476
101,2753
105,38
106,66
0,0
105,575
107,1642
105,612
102,4
105,3708
105,2417
107,7057
105,2521
106,1200
105,2221
107,7126
106,1450
101,2663
107,8239
106,1533
105,1019
105,440
105,3055
105,1264
106,205
105,1572
105,2583
105,3516
101,1595
105,2847
107,1814
105,417
105,3145
106,916
103,671
105,2988
107,1475
105,2426
103,759
107,5400
103,728
103,1100
105,1352
105,959
101,726
105,571
107,4377
105,433
105,2965
105,2906
105,1284
105,3627
101,2412
105,1448
107,7571
105,2603
105,3270
105,916
105,250
107,2893
103,822
105,2971
107,4884
105,2955
106,1041
106,1505
105,3763
107,6550
0,0
105,1348
101,1763
105,1598
107,3292
107,3588
106,1016
107,3172
107,2542
107,2783
0,0
105,3215
105,1145
105,1083
105,786
105,3208
107,7446
106,143
105,3540
107,119
105,85
107,6770
105,3146
105,2689
106,1148
107,774
107,7880
105,387
105,342
101,113
106,1319
105,2761
105,3583
105,290
107,4776
107,5979
105,3495
107,1896
105,2287
105,3740
101,1370
105,2417
105,3229
107,3037
105,3702
105,3745
103,1134
107,361
105,616
107,2366
105,865
107,5085
107,216
105,589
101,314
107,4367
106,111
107,230
101,817
107,6683
105,2392
107,7469
107,814
105,2539
107,3743
103,146
106,1377
105,28
107,1290
107,7075
101,1716
107,2156
107,4514
105,3691
107,2070
107,3688
105,2245
107,5982
106,399
105,3672
105,221
107,6676
107,770
105,2857
105,1097
107,5846
107,2753
107,3765
107,1017
101,1706
105,1530
105,2459
105,3173
107,4127
105,886
105,2099
107,1663
107,2052
106,437
106,870
105,2010
105,3771
105,1721
107,3001
107,876
102,13
105,2927
107,7002
105,3165
0,0
103,375
107,7588
101,2039
107,3276
0,0
105,51
103,559
105,2249
105,1194
106,1008
105,2128
105,2968
107,1645
107,1644
105,615
105,139
103,69
105,525
107,359
105,1420
105,3397
107,2226
106,1545
101,1521
107,7109
107,1634
105,3794
105,2879
102,1
107,863
103,744
103,1337
106,1485
105,1112
105,2459
105,1633
107,2580
105,696
101,1434
107,2996
105,161
105,259
105,564
103,804
106,699
105,2232
107,3187
107,1403
0,0
105,3175
101,1000
107,1971
105,1464
105,1286
107,6905
106,460
107,2844
107,2050
105,618
105,1460
106,1169
105,685
106,1079
103,400
105,2312
105,106
107,1094
107,4914
107,1022
105,831
105,794
107,5212
106,1205
107,3771
107,4524
103,651
106,1427
107,8001
107,7784
106,1540
107,1404
106,759
105,2731
106,146
103,287
105,2685
105,109
105,2486
0,0
105,3251
105,1467
103,127
103,1003
107,4293
105,1285
105,3807
107,1157
103,292
105,3193
107,185
105,3640
103,872
105,686
103,644
107,6693
105,2120
107,5644
105,1584
105,2263
106,619
105,358
105,3195
101,1936
0,0
105,3777
107,1395
105,430
106,1263
105,197
105,1311
103,180
103,1195
105,1171
105,1801
105,2561
103,792
0,0
101,195
105,825
107,2598
105,3119
106,676
105,2130
105,3236
106,1066
107,554
105,2781
103,433
105,1390
107,4441
107,7387
107,2126
107,1289
105,3631
105,2576
107,381
107,1243
103,1083
107,6508
106,1151
105,806
105,360
103,414
101,466
107,2440
105,3845
106,782
105,1097
105,3822
107,3688
103,261
105,2660
107,1004
105,773
106,450
107,5290
103,1338
105,418
105,3396
105,1368
105,1231
107,4238
103,882
105,2866
103,133
105,1862
106,541
105,3842
105,2757
103,304
107,3361
105,2150
105,3135
107,3003
103,1232
105,344
101,2986
105,2236
105,3713
106,1482
105,1293
107,1013
103,410
101,2780
0,0
105,3172
107,5126
105,309
101,1034
106,151
105,2265
107,3389
107,1692
105,2012
105,1881
105,2945
107,2082
106,454
107,6344
107,4537
107,5743
107,6581
106,229
107,350
103,787
105,837
105,1714
105,2846
103,820
105,3759
105,1797
107,7604
0,0
106,526
103,1166
105,2801
107,2491
105,3307
105,3404
105,3573
103,638
105,3554
105,2620
107,6191
106,705
103,772
106,745
105,3557
0,0
107,1328
103,1014
106,1366
107,6248
106,613
101,2877
105,1632
106,974
105,1021
105,1042
105,2913
105,49
107,586
103,690
105,1682
105,1424
105,1987
106,959
105,1243
107,7446
106,811
105,2962
105,1204
105,1475
105,3466
107,3911
101,2284
101,246
106,1383
105,338
107,1094
105,2824
101,2778
0,0
106,709
107,2502
107,3014
105,3028
107,2399
105,3412
105,932
107,3020
0,0
105,2502
107,5135
101,463
106,569
105,3482
101,520
105,1697
105,2097
105,1765
107,3415
106,601
106,78
105,3346
105,2727
105,750
105,1640
105,129
106,898
107,1538
107,5347
107,598
107,4060
105,2548
106,1160
105,2164
105,3543
101,141
106,1365
105,1771
103,367
106,980
101,2470
105,3479
106,1410
106,828
107,6122
105,1218
103,670
107,1347
105,635
107,1910
106,792
107,2115
105,717
107,8241
103,1157
107,2248
107,251
106,1368
107,1064
106,631
105,443
101,2477
106,155
101,1733
107,5811
101,553
105,2291
105,1188
107,2094
105,2627
107,2691
107,5943
107,7293
104,3840
106,141
105,2450
105,2571
101,2447
103,182
103,1193
101,2622
103,926
107,1326
102,19
107,1925
107,5764
105,2026
105,2502
101,1608
103,1095
105,990
106,360
107,756
105,2602
107,5717
106,175
105,181
105,3099
105,122
107,1072
101,1050
107,3391
107,3122
105,3389
107,7868
105,2597
106,1346
101,1402
105,1985
107,6450
105,2485
105,1159
105,2540
105,1765
105,162
105,2169
104,5
106,490
103,254
105,3351
107,6562
101,2156
105,2431
105,3142
105,2470
105,3430
0,0
105,505
105,1210
101,50
107,6955
105,1499
107,2388
106,101
107,4176
107,3542
105,1140
105,3313
105,3092
103,798
107,947
103,1098
105,1746
107,3047
105,2888
106,556
101,2651
105,3846
107,4746
105,2229
107,4848
106,195
106,729
105,2040
106,294
105,2359
103,366
105,133
105,464
106,314
107,1580
106,1381
104,15
103,1188
107,7795
105,581
107,6074
107,2655
0,0
105,2312
101,2952
105,76
107,6740
101,63
105,1769
105,2498
105,1214
103,974
107,4399
107,6508
107,759
107,2902
107,2067
107,2323
106,1204
105,1533
105,2892
107,7801
107,3948
0,0
107,310
107,2547
103,1206
105,3551
105,2246
105,1094
105,9
105,726
105,1996
105,485
105,409
105,2118
105,2480
107,5081
107,3495
101,661
105,3315
105,1949
107,2261
106,200
107,2069
103,1229
103,372
107,350
0,0
107,3016
107,5940
107,4342
105,1268
107,7764
107,7235
107,7536
105,659
105,2113
107,4120
105,2613
107,4358
107,2861
101,2498
105,920
106,331
103,1065
105,1992
107,1478
103,343
101,1867
103,511
105,1253
103,678
103,1084
105,1678
101,2279
105,3579
106,49
107,1682
107,942
103,906
107,7062
107,4838
107,5102
106,599
105,2444
105,1831
107,7252
107,6347
103,204
107,3132
105,481
107,5847
105,2092
106,943
103,305
103,715
105,1721
103,1065
106,965
105,332
105,3427
107,2713
105,3352
105,885
101,2911
105,3332
106,265
107,2604
103,280
107,5165
107,4777
103,1052
105,3547
103,956
105,2147
105,1778
105,1072
106,1493
107,2164
104,15
105,1040
105,3846
106,439
105,1061
107,3781
105,3586
107,4400
107,1009
106,227
105,1076
105,323
101,2266
105,3568
105,939
106,1318
103,232
106,662
106,1086
107,1873
101,238
101,39
106,295
107,2136
103,629
101,1663
107,1324
106,63
107,7125
105,3559
101,468
107,6491
105,1499
106,1274
107,568
105,3438
101,1542
106,1424
105,2417
106,660
107,2621
101,1033
105,637
105,3837
103,869
105,903
107,1391
106,346
105,1601
107,8276
105,2485
107,5557
105,3774
105,1217
107,701
105,1400
105,3410
101,2452
107,2488
106,1034
105,3177
105,2891
107,6165
107,6764
103,500
103,661
105,269
107,2443
0,0
101,235
105,983
107,6442
107,3449
107,3643
0,0
107,2844
105,3725
103,401
107,952
106,1171
105,154
105,2260
101,2676
101,2188
105,2735
101,1961
107,5466
105,2487
107,1163
107,3671
101,2809
107,4673
107,1394
107,948
107,4862
101,1836
102,17
0,0
105,1482
101,2949
107,1264
107,3244
103,1310
105,3738
103,228
105,1137
106,413
105,3538
105,1504
106,617
105,3526
106,721
101,2214
101,65
105,1953
103,611
103,418
105,918
106,1339
105,498
105,3515
105,1332
103,299
107,4826
105,3717
107,5863
107,5823
107,986
101,2905
107,1019
107,91
105,2828
0,0
107,4848
105,1653
106,289
107,3049
105,43
106,1223
103,643
103,762
105,1302
101,773
107,6120
105,302
107,6814
105,1875
107,5411
106,508
105,3635
105,2364
106,176
106,25
107,4845
107,2982
105,2312
105,409
107,381
105,3550
106,699
105,2295
105,1690
103,159
105,3187
107,3417
101,2868
101,1733
105,3517
107,371
0,0
106,1476
107,5638
106,20
107,1839
107,1428
105,3390
105,3295
107,1018
107,2402
101,2300
105,1872
