node_id,offset
991,98579
1067,18439
859,2263
824,52047
0,0
1047,11575
981,1929
977,48208
919,87105
1063,166834
1063,83022
824,44449
1055,37723
991,144793
1013,156211
0,0
0,0
991,74458
977,137580
828,70505
839,78752
1055,23704
0,0
1023,35780
839,135244
702,172930
919,119365
981,68875
839,135242
1067,82844
824,7303
1069,54025
1077,6162
1047,68869
919,87105
977,1739
0,0
1063,176712
981,126842
1067,78379
0,0
714,63519
702,55239
1069,40367
951,9120
0,0
702,4848
1063,42658
702,122246
772,19548
0,0
911,77976
828,5797
925,44516
738,42244
925,29859
702,53640
977,53357
802,32009
917,19493
911,108063
812,32822
772,28763
702,113213
911,74973
738,11499
991,174735
849,19467
806,5155
1063,173918
702,66294
1204,0
1061,14484
981,14432
814,11293
991,174961
991,162504
949,79007
919,88106
784,20967
977,120449
1067,91402
991,153713
1077,11936
828,20974
0,0
824,52424
1063,67981
1063,214658
788,21623
881,125074
839,8609
802,14372
917,26831
1023,15700
849,37178
1039,26610
1069,47404
911,70418
684,1071
881,102049
784,12505
1063,2524
1013,45069
991,6042
981,101205
991,100662
1067,110201
949,32969
824,25988
738,38885
1069,52202
949,749
2053,0
1063,115488
981,49447
714,42120
949,85401
1013,4134
1039,30695
702,46219
0,0
917,24371
1063,143185
1063,24197
1047,22627
1069,9272
828,26726
981,77037
873,461
784,64083
1063,55005
622,24290
1063,8856
0,0
881,129699
839,43915
839,102055
738,25272
714,87343
824,25728
1047,3039
1063,47923
977,176655
1077,17482
0,0
949,109049
977,130654
702,79015
0,0
1069,12836
702,191460
1063,188814
919,18579
812,25229
1013,181813
881,92212
802,28342
925,119481
1067,88482
824,48083
702,103183
839,199713
1047,49255
917,14058
977,48208
839,183688
702,28566
0,0
949,40285
917,3230
839,52497
925,38920
925,36268
1055,17732
911,100979
0,0
1061,16387
1055,24643
714,86099
0,0
949,103749
776,5554
0,0
714,65520
1069,1793
1013,103609
881,64872
917,27557
0,0
1047,9310
0,0
881,159521
839,192833
1069,62486
839,54692
1063,503
859,20953
839,81706
802,13336
839,121783
702,178295
839,159602
1067,83992
702,49811
1067,2791
991,24703
849,29847
0,0
812,60678
881,102724
0,0
702,153351
0,0
911,39815
802,63229
0,0
1013,61872
0,0
702,81197
911,89679
831,10938
702,194058
802,77360
881,101747
1067,37200
925,129271
772,9237
839,63230
859,40596
941,5
831,20747
1061,27597
881,75850
802,5379
919,28401
0,0
714,127120
0,0
881,143457
859,14662
0,0
1061,2388
0,0
881,171171
828,76382
839,64604
1063,43884
911,17044
828,12286
839,158918
1013,121974
1013,51726
0,0
977,80762
981,87582
1047,10643
919,103281
714,35359
802,77360
991,110012
1463,0
881,42452
702,18612
839,162731
1013,66696
0,0
977,137914
714,29637
804,364
919,77816
714,112093
0,0
981,71145
1055,27318
828,51112
0,0
881,178166
881,58991
1063,131367
738,18921
1063,184578
1023,17960
0,0
1067,64220
806,4995
0,0
714,113829
981,111775
859,16287
925,63308
1063,30466
911,44795
0,0
0,0
802,67638
702,180776
0,0
977,39536
949,75845
702,10657
806,2564
881,84146
991,169456
702,193371
981,67663
1013,92790
949,73041
911,56908
925,97060
839,27607
702,176396
828,46070
839,28383
714,47421
991,133178
949,14081
881,66493
881,71093
0,0
1047,95477
911,8650
919,82798
738,42682
1067,20761
0,0
881,190110
977,82838
1139,0
0,0
764,12917
977,18694
702,197254
1013,60201
714,72295
702,55110
919,8941
812,7775
702,81028
784,24492
839,29402
1063,175365
977,97860
788,6433
1063,153291
881,66766
1013,6934
802,10012
828,55163
949,1951
977,22447
839,71273
702,119922
702,127535
1063,27911
660,1073
1013,216585
1160,0
977,89807
702,1311
812,60678
1069,56626
784,21165
0,0
1063,196372
1077,3936
0,0
977,81532
1069,21186
925,7001
812,11580
1069,70257
911,63364
772,14822
1067,57201
949,83057
1063,141969
812,24553
991,1443
0,0
911,114521
1061,5823
2099,0
839,172101
981,80609
839,127814
849,6867
1069,79191
925,118599
991,111046
991,95213
702,50481
738,17607
828,56299
806,4437
784,13567
812,33889
919,13598
1013,112120
702,188220
0,0
1063,43884
1067,22155
911,8200
977,107975
977,126405
702,195901
881,58
802,30962
702,172341
758,5886
981,27952
702,71090
702,108441
1013,153188
784,28770
991,111046
0,0
1013,57430
881,56527
0,0
802,29448
981,47990
911,5086
1047,21027
881,75850
0,0
981,33822
977,14384
1063,192772
1061,20025
1013,110547
702,178487
859,25787
738,6520
949,96451
949,30527
1013,205634
828,44527
684,1071
917,20043
812,44857
839,38011
824,8489
1047,49845
991,68430
925,47831
1063,40268
0,0
949,63493
1069,28126
702,122629
1061,7230
0,0
881,168224
925,43297
1063,191606
839,46705
949,30266
2092,4
991,90004
784,22091
919,20371
1069,5617
911,57045
812,55625
2099,0
0,0
839,18492
702,158227
0,0
0,0
981,65710
977,169855
788,11101
1039,7655
919,56909
1069,69086
1063,162167
648,4012
881,87089
949,56924
802,76883
714,67129
831,21984
776,5634
981,119979
991,15476
0,0
758,8962
812,42654
949,24869
812,28681
977,6685
1063,8798
919,4900
949,103009
714,98764
977,48208
917,11803
925,25953
812,28488
925,42013
911,34920
702,168
919,112566
1055,22661
0,0
925,32260
977,6930
622,13090
0,0
738,29302
991,89064
949,97273
981,1631
919,28401
0,0
1047,96745
849,20529
810,356
1063,193357
949,15224
0,0
1047,105563
2053,0
839,190853
802,50094
1063,133659
977,25743
1013,4796
849,30320
824,17918
911,79609
1013,55901
1069,66203
702,87260
812,57340
1039,908
925,91815
849,18036
0,0
812,25612
967,741
831,5784
824,24994
977,66057
0,0
0,0
991,1676
1039,6078
911,44822
1013,48572
881,183047
0,0
1063,202107
911,82640
0,0
911,110645
622,25272
1013,127545
788,16793
1063,37448
1013,155704
881,54341
991,9232
714,110778
702,69589
839,125693
859,2228
702,26353
814,17306
925,122612
1047,80590
977,32603
776,5554
824,56087
1039,25131
0,0
1055,4012
911,4427
977,13824
0,0
839,23887
919,6247
1067,69519
1077,19298
925,42013
738,2051
1069,36103
977,75180
991,56509
1013,120246
991,28905
1069,33699
0,0
949,58573
1112,0
0,0
981,28104
1013,167466
1013,139894
1063,51353
977,92930
991,130619
802,19181
702,75659
788,40007
702,124008
802,26070
977,128054
702,78241
981,23759
949,889
1013,69307
1063,115222
919,97498
1039,31713
1063,25637
949,6665
802,71186
1069,10090
1013,185597
738,10122
2004,0
824,22854
1069,69319
1182,0
1063,43884
1039,49569
1069,49119
991,131368
1013,190996
1067,42297
849,28530
0,0
1067,52397
772,26650
1063,181710
981,2689
1063,199476
