node_id,offset
105,424
106,927
107,8701
107,4734
107,2489
101,1574
106,684
107,1562
103,167
107,3765
101,1946
103,874
105,434
107,4586
107,1325
103,608
106,1113
101,1072
107,5894
103,1222
107,6944
107,3054
107,8608
105,1728
107,8930
101,989
107,7690
107,3795
107,697
107,148
107,653
105,3493
103,937
107,6681
107,1771
105,2048
107,7513
107,5735
101,2228
106,513
107,2420
107,7584
107,427
107,6504
107,236
107,1903
107,7430
107,5269
101,1462
101,2431
105,3728
105,2723
107,2025
107,7357
107,8577
107,4462
107,4714
103,509
101,2707
105,1360
106,1175
107,6542
105,1015
106,273
105,2712
107,1253
107,6502
107,1211
106,405
106,502
105,3519
101,2173
107,1755
101,2275
107,8135
107,2334
101,909
101,1714
105,1569
107,1399
107,2078
107,5339
107,3559
101,2627
105,390
101,506
105,1569
105,428
107,2609
106,1082
107,666
105,1518
101,1203
101,1342
107,226
107,4962
107,3306
103,609
107,5761
101,240
105,1582
101,965
105,1355
107,5880
107,5697
107,1211
105,2127
107,4179
106,899
101,1959
106,462
105,2204
107,3601
101,746
103,152
101,786
101,2499
101,937
101,2555
101,745
105,3130
101,489
107,4506
105,341
103,1051
106,934
106,1118
106,355
107,3562
101,837
107,4888
105,1649
105,1693
107,240
107,5637
106,1072
107,2734
105,3319
107,32
106,634
101,2584
101,960
101,2068
107,1892
105,1994
107,2458
107,7700
107,1274
101,2412
106,525
101,273
101,2134
107,5666
101,2073
107,39
107,5204
103,1097
105,3329
107,715
107,4821
107,7059
103,1092
106,911
103,648
105,2209
105,61
100,0
107,4598
105,3343
107,5889
107,5579
107,504
100,0
105,1548
107,276
101,579
106,1442
105,2370
107,3321
107,5642
105,1906
101,2669
107,631
107,8727
107,602
107,4992
107,3350
107,7160
107,302
107,974
105,2786
107,1708
105,3028
105,2739
105,3298
105,1344
101,1238
101,1980
107,7495
106,1067
106,451
101,2640
107,2339
107,5473
105,929
105,535
101,630
101,284
101,876
105,2282
107,2156
105,3419
101,9
106,760
106,1200
105,2717
107,6100
107,2541
105,448
101,2129
107,118
106,672
103,204
105,2993
101,1604
107,2841
106,866
107,1643
101,1228
100,0
107,208
105,3631
103,1215
100,0
105,3302
101,1572
101,2573
