node_id,offset
484,5293
38,2554
313,1803
490,75719
265,48202
106,130622
304,6479
484,3116
259,4116
38,74886
263,66805
118,20201
263,192304
0,0
183,3931
263,128259
455,2321
121,4436
492,100092
101,63287
321,9479
463,100595
463,18296
450,14539
11,14137
36,4027
106,74065
24,41204
5,8733
108,41520
474,276
315,8674
93,17739
246,13384
321,33854
110,1869
463,71325
111,20735
455,17821
6,65575
285,42382
190,79
265,58546
275,12056
36,60359
6,109858
38,20229
317,1568
38,76751
295,2066
478,246
474,18372
106,150825
94,28082
275,38996
388,2881
265,34888
265,71975
111,16550
25,3559
71,6323
463,84542
285,106777
265,145126
24,40038
492,66305
11,41007
6,120885
6,51403
141,8475
119,43882
345,3462
465,4351
435,1459
455,3015
5,4246
474,6540
263,176932
154,36122
285,86200
289,1086
278,6788
94,177723
478,8722
2,12230
192,8189
56,41234
298,768
463,43333
15,48999
265,77250
263,196461
289,26616
463,17385
106,31611
56,40036
315,24390
490,18003
639,9667
192,13125
119,21219
31,12366
17,10454
269,7961
902,230
298,12025
490,24738
1,12620
43,7303
265,22338
321,40955
94,109651
186,3505
106,13949
22,25373
36,76715
106,156171
36,94374
119,20001
29,119630
460,14763
331,216
285,101680
91,67
463,109106
11,12983
285,10520
404,9840
285,41166
102,9102
38,21025
465,5363
492,9248
490,16794
263,193132
17,27153
490,1014
490,39698
476,6060
345,102
115,17412
33,19597
154,12949
490,21159
33,9428
24,21462
121,18607
0,0
290,2781
463,26616
165,16221
265,82463
451,6312
281,1723
106,85962
165,17930
285,66425
540,7351
313,7662
99,40895
278,5106
822,733
463,87472
11,27284
31,23218
38,93464
283,348
6,75727
109,29047
474,19512
465,5197
67,12256
859,224
289,26725
456,2302
458,5343
34,4129
36,83436
289,29895
174,1252
101,72166
354,198
94,84102
460,6320
33,10723
263,29759
106,66851
109,21893
298,32366
6,136404
165,17828
99,55789
478,1904
11,67390
38,20954
24,69226
64,2356
656,145
285,9768
29,86058
430,2007
99,69052
379,2318
31,12721
5,2867
36,103024
810,4513
490,68073
898,99
24,86854
34,5027
106,128770
24,43049
94,144979
38,72365
29,118288
115,36673
6,42409
165,12933
67,86
539,10721
388,5465
258,2867
91,37989
106,82789
101,71272
179,1660
263,135248
16,5457
190,16479
301,152
474,13770
263,183245
294,2407
129,9497
461,1247
492,21245
289,3190
6,44890
463,2087
455,10875
154,40299
101,81288
101,55569
115,10650
6,85037
263,148299
492,78717
38,78831
26,30498
827,263
34,12293
101,100200
102,1234
121,6356
313,13469
379,2561
263,171607
260,5108
56,7179
265,141644
202,321
154,56722
313,189
36,93654
10,3932
89,5800
0,0
25,60282
263,107805
263,127974
24,107275
29,23577
94,185926
463,94466
106,46708
36,88644
11,62030
263,144758
106,50716
263,50881
6,85143
275,16773
192,12594
15,5711
96,9777
280,816
282,3991
402,2114
24,33511
283,26983
278,9379
2,5863
465,15293
99,57309
285,92793
121,7983
29,72757
43,9748
192,15251
96,5612
285,19917
265,69426
152,15524
6,140671
24,49635
442,299
25,22063
165,1494
119,32020
476,9654
74,11868
154,57215
313,4662
94,153249
36,105211
118,4037
19,10294
118,13429
152,1021
275,35859
304,29740
67,16016
94,107020
24,29119
29,98330
315,30159
6,135987
321,6428
450,1225
106,39130
154,21029
265,84628
119,16626
24,42420
52,51020
38,16053
22,18265
20,11219
263,152706
762,189
265,130891
106,73955
110,3614
110,8959
29,122578
148,10196
15,66938
463,128101
313,4183
455,9247
24,84045
33,5417
269,17425
31,1333
152,18572
335,1303
463,77169
263,70277
263,170659
110,29712
6,71460
476,23754
478,15002
154,6105
71,6995
91,39905
492,99210
38,99628
148,24086
490,58191
485,26757
265,10083
263,23320
106,142097
184,431
313,4161
101,30600
106,169257
158,806
115,32852
106,10763
106,178584
287,7166
402,414
265,142053
259,9046
36,61976
326,2992
148,5157
277,2479
422,136
282,3544
263,26963
24,48939
482,509
24,44918
31,7321
293,1702
345,2379
451,30279
116,19182
463,24412
289,16847
29,107428
209,105
246,13307
411,248
154,41283
25,37720
106,141803
94,115493
22,22181
29,111718
148,10723
165,5095
94,121613
94,119479
6,88198
119,9957
314,693
490,27343
111,8930
106,81885
573,4880
31,17009
52,5627
263,65739
451,884
148,31417
94,78722
485,47625
91,46431
3,7371
263,9755
265,92565
490,65505
6,116035
609,198
321,14782
492,50303
6,97487
56,39982
313,3783
451,4508
25,16881
476,12409
402,2519
490,54203
169,622
278,11150
0,0
285,109368
298,18966
106,70311
0,0
450,11315
315,10466
285,74686
148,40376
110,5387
190,10386
270,1659
121,13096
38,72482
165,7800
5,1258
275,34459
463,106116
1,5538
317,312
93,24875
99,19475
275,30865
285,17996
101,53732
265,93145
265,100123
263,59370
154,32706
263,10393
105,2316
154,56133
487,2765
106,125294
886,193
91,5451
93,5121
265,117603
298,17574
106,102453
463,7405
56,4625
285,12311
26,22017
0,0
422,1599
110,34893
141,4637
6,74582
404,6299
0,0
263,99236
36,2702
420,1726
91,17968
29,19288
6,59041
463,48470
278,5008
318,2084
93,2868
38,89019
67,18325
24,118473
315,15468
99,9599
465,5778
56,20696
320,3326
29,20715
192,15715
275,1275
317,173
106,37862
451,1148
106,86765
106,172869
108,49021
106,155522
73,1772
463,76085
67,11704
283,463
263,165451
34,71
132,6579
25,36386
17,1383
315,10300
6,138328
101,91450
15,20145
290,1657
298,22578
492,63880
246,1158
31,3663
156,23902
25,27998
16,1883
449,349
463,41260
36,72167
313,8754
101,60605
485,15762
36,77391
492,30414
36,57320
38,36720
94,181760
115,26350
263,123514
3,4443
109,3567
56,12268
455,19260
94,88936
275,19820
33,10055
573,4489
460,12324
106,99329
119,50896
490,27434
485,15475
94,46971
451,15905
463,112551
639,15331
25,65116
192,3724
154,68171
17,30940
94,78550
282,5809
300,932
263,183505
94,205040
36,50267
442,639
555,977
433,4492
283,17281
106,175389
216,7956
460,37860
6,54895
108,45621
290,2584
38,17843
275,5913
285,62297
263,11809
263,116072
106,85277
36,25883
304,5552
106,16554
317,7597
184,3898
492,123409
265,110589
25,60336
315,31674
34,20989
275,48729
116,12562
15,45981
490,2991
106,3985
25,15007
44,1605
492,80369
29,17654
285,8875
298,49609
161,18062
36,20509
77,4767
315,6165
106,172948
275,9537
263,36163
38,88733
681,1931
183,2150
271,14177
377,10282
36,87201
304,752
651,2016
321,31863
285,69813
285,91417
490,61371
420,1379
94,4021
323,2128
476,21181
15,44200
211,154
476,16988
294,2885
298,21019
91,17459
106,12870
263,187190
287,18309
22,25562
152,13707
43,23531
275,15524
33,14006
269,15782
216,3852
0,0
119,44184
269,3365
6,119779
145,51
285,14316
110,27401
451,26878
101,84054
38,97929
101,77047
24,97516
99,28122
287,19989
41,9664
106,157579
29,101796
455,4915
31,30908
67,1139
34,9598
115,12897
0,0
29,47289
38,75220
26,17733
29,74972
567,843
209,536
36,59247
29,100447
647,547
1,15748
465,1628
101,17136
89,7050
165,14881
24,11661
101,33872
56,27531
106,136166
628,1750
24,50244
116,1290
463,15127
484,2329
111,2931
94,28795
15,48107
115,12635
165,17752
304,30172
246,2889
363,604
298,23760
456,1351
298,12631
17,17680
263,146265
313,1488
71,426
106,94705
156,17551
265,141359
99,24814
263,135354
463,134883
116,3554
265,81220
108,20563
91,43316
108,19634
36,41970
0,0
99,17043
24,17099
106,56822
275,14356
148,17141
111,19229
336,2189
265,7985
99,41651
368,1328
476,39634
94,172917
283,5910
209,1873
490,2124
311,1668
94,102542
269,41855
463,2793
154,44670
113,39
1,6108
94,65434
17,18701
289,25086
263,127134
17,22250
554,302
110,34740
287,6228
463,118068
1,17490
156,21488
43,17884
108,52773
460,29834
52,2379
94,23463
275,31043
15,60425
463,19526
476,36335
154,63301
490,75014
91,29739
25,29637
6,101361
52,35731
99,24397
25,36427
811,1295
463,106139
99,7530
447,5430
639,11694
285,880
285,81951
463,96554
492,26900
165,16953
94,150122
480,11910
6,14664
265,127245
285,90081
34,13005
275,26162
283,15532
25,69526
106,95987
265,132089
423,856
94,118314
110,12815
106,90187
29,63841
492,13561
71,1327
6,63951
465,15930
474,11171
285,108155
3,4685
460,26819
263,147373
285,86579
110,22351
451,7879
190,5561
94,167834
463,24963
26,33470
94,76057
282,750
485,38940
315,5892
179,1272
89,13178
148,11749
6,31862
265,26
263,113683
6,43122
39,7960
406,544
263,114444
119,47717
22,26559
106,125978
521,1097
102,1335
100,173
24,52243
165,11967
52,16095
492,8801
52,28281
275,51821
148,8320
74,7432
190,6085
463,127799
422,1947
29,6519
94,37747
99,65770
33,80
315,5942
94,162792
109,25599
285,38505
289,7743
15,1583
38,44770
550,356
278,3549
476,25692
