node_id,offset
105,425
101,1602
105,2584
103,823
106,1219
101,1017
101,914
105,898
101,1091
105,2579
105,1688
103,284
103,751
101,1276
103,1230
101,1142
106,472
105,1787
103,1147
105,1736
106,213
105,1756
105,951
105,1343
105,2901
106,298
101,1647
103,56
101,2979
106,398
101,623
105,19
103,288
101,402
105,3853
105,2124
101,1553
101,1250
106,216
106,695
105,3372
105,2515
101,1378
105,3290
105,584
105,957
101,2968
103,1146
103,414
103,265
103,863
101,660
103,1012
105,3283
101,545
105,877
105,2907
101,446
103,394
106,392
103,820
105,1893
101,99
105,212
101,1127
105,969
101,207
105,2987
105,2513
103,296
105,151
101,279
105,2637
101,2651
106,471
105,3769
105,411
101,1466
106,541
103,1292
101,1616
105,2004
105,2501
105,3516
101,1581
105,50
105,3248
105,417
103,847
103,684
106,760
106,128
101,2421
105,2426
101,821
101,1214
103,728
106,766
105,1352
105,1229
101,726
105,26
101,1746
103,461
105,2965
105,2906
105,364
105,345
101,2412
105,3067
106,218
103,715
105,405
101,2104
105,3315
103,364
101,910
103,1151
103,1193
105,2955
103,141
105,1040
103,692
106,158
105,2588
101,71
101,646
105,3452
105,703
106,352
105,2193
105,2647
106,737
106,1346
105,2375
105,2499
103,46
105,3867
105,2537
105,3153
105,3179
101,1073
105,3522
105,3545
106,528
105,3273
103,293
106,57
101,2282
105,681
101,1313
105,2201
105,2604
101,114
105,1095
101,2837
105,2238
105,290
101,1753
101,815
105,3133
105,171
101,2564
105,2771
101,1355
103,280
105,1452
101,1678
105,3560
105,332
103,1192
106,1192
105,616
106,1100
103,539
105,1331
103,51
105,2550
101,314
101,1669
105,2398
105,562
101,817
101,1378
105,2394
101,1439
101,854
106,151
105,3410
105,734
106,134
105,32
101,1784
103,1075
101,1716
105,2379
105,166
105,1543
101,2078
101,1501
105,3793
105,3308
101,3018
105,3672
105,287
105,2987
101,1391
105,452
106,212
106,222
101,1734
103,1239
106,234
101,1706
105,576
105,1000
105,3173
101,640
103,1252
105,904
105,3439
101,2451
101,583
105,1926
105,3249
105,1084
105,237
103,1210
105,2959
105,899
105,2939
105,3024
105,3165
106,299
105,3747
105,3686
101,2039
101,1595
103,508
103,749
103,1243
105,2424
105,1194
103,733
105,2128
105,964
105,1865
103,147
105,615
105,102
105,3091
105,525
105,1062
105,1538
106,1377
105,3616
105,1861
101,1521
101,1389
101,165
103,1221
105,3059
105,3456
105,2873
103,680
103,1337
105,91
105,606
105,2459
101,1962
101,2834
101,2776
101,1420
105,2962
101,1609
101,2012
105,556
103,804
101,246
103,837
105,3597
101,783
103,584
105,1030
101,1000
106,75
105,3777
106,1127
101,482
101,1999
105,328
105,379
105,1376
101,1347
105,1835
101,475
105,412
103,400
105,318
106,312
101,1483
105,1112
105,1894
103,31
103,1054
105,1406
103,1085
101,1326
105,3313
106,420
103,1236
105,3789
106,450
103,597
103,1307
106,759
105,2733
106,113
103,287
105,1113
105,2991
105,1090
105,2135
105,1028
105,3677
105,900
101,1699
105,3145
105,2658
105,2367
101,2989
101,2023
105,1725
101,1029
105,3640
103,245
105,1308
105,3758
106,43
106,221
101,1617
101,1735
