node_id,offset
2,4098
1,3692
15,870
11,353
8,12810
3,11715
1,41937
8,17548
1,28070
3,9965
11,21067
1,3356
1,32795
8,18547
11,20253
1,3171
15,3601
11,22471
15,5035
1,14948
1,40622
11,24299
11,19532
1,40118
2,1260
1,1873
3,5373
1,35888
16,2776
1,36219
15,5503
1,33175
15,2768
16,5130
3,8095
11,10590
1,40271
11,9819
15,2968
8,17829
3,19747
15,5292
1,33429
1,34235
5,1956
3,7386
16,2683
5,812
11,12081
1,21924
11,6874
1,23166
1,13120
1,45680
15,5249
11,25709
15,5902
11,14662
1,45701
15,5775
1,636
8,21235
1,42989
1,33103
5,4605
11,9385
3,4707
1,5746
15,2321
1,32996
8,13941
3,14659
1,47811
8,16265
8,2345
8,21358
1,15149
8,17794
3,14771
1,10898
8,4538
8,17090
1,25169
1,47980
1,14591
1,11877
6,2280
1,38507
16,6088
8,19816
11,345
3,11667
8,472
1,46451
11,10940
1,43097
11,13767
1,3762
1,32927
15,6135
1,23091
11,5384
1,29555
1,26902
3,1297
8,18388
1,31828
11,24932
15,2751
11,23052
1,38796
11,2832
1,26842
8,3309
1,32028
2,325
1,28709
1,38708
8,20903
1,5521
1,30071
11,16030
3,9623
5,2621
8,5404
6,2072
1,40997
3,2353
8,21356
11,1531
5,1775
11,19933
1,10086
15,6122
8,12157
11,13574
15,6243
6,504
8,2107
11,23077
15,5257
1,45076
16,4538
1,30250
1,14710
11,7297
6,3340
8,547
5,297
11,9939
1,4990
11,24076
8,23785
1,50335
1,93
8,6806
8,7514
11,7778
11,25498
3,8076
1,40953
2,3570
11,1270
11,10090
3,9700
8,19601
1,13217
6,2057
8,11691
1,30220
8,8866
1,565
15,2084
15,6254
1,7684
3,6627
8,32780
11,17867
11,24610
1,7393
1,5435
3,3039
11,20639
8,1847
11,19933
15,4782
1,26315
8,982
5,183
8,12521
6,3571
15,851
8,18433
1,32719
8,563
3,15766
3,6784
1,3641
1,2368
15,4124
1,15034
8,3648
8,34011
1,44129
1,23155
1,16945
15,3914
1,22693
16,4669
15,6208
8,18626
1,30401
15,3366
6,3700
3,1106
2,3442
1,17601
15,5568
11,2461
8,23095
1,20957
11,2096
1,45870
1,41189
15,4013
1,28147
1,51350
1,4252
3,9323
3,13399
2,190
8,2742
8,18164
11,19275
2,250
15,3895
1,24786
1,15218
15,4456
8,6056
1,12530
11,18105
15,3147
8,20415
11,23475
8,16757
8,7863
6,2456
8,4486
8,13397
6,513
11,7632
8,19545
1,19570
15,4903
8,22010
3,1790
1,14656
1,38300
1,45310
1,46132
1,45940
3,4441
11,22890
1,46982
8,6834
3,4042
11,12589
6,2746
8,6079
15,4950
11,22953
1,51896
15,6096
1,2101
5,4678
1,37636
1,27100
8,8192
1,24883
15,3029
1,5000
1,14556
1,37942
8,2934
6,3592
1,11821
8,7531
11,15082
1,2641
11,24083
3,5676
1,51271
8,7846
11,9061
8,18091
11,19024
1,36453
3,13720
1,14678
8,8784
5,671
5,272
1,29358
5,2144
5,1411
3,10329
1,28254
1,9370
2,4585
1,7042
1,2690
3,16232
6,3790
1,22370
1,4028
11,11861
1,37805
3,1853
1,38210
8,23468
8,32846
1,11501
1,49900
8,4109
1,16278
3,4515
1,48846
15,314
8,20925
1,21256
3,17090
1,7918
1,11070
8,15281
8,22059
3,18829
3,4474
3,3793
8,6029
1,2265
11,19505
8,19517
1,27685
15,76
8,16833
11,19933
1,37920
2,530
8,6541
1,51179
8,10121
10,7
1,36236
11,9527
1,46255
1,51108
11,6208
1,13211
15,2576
8,6923
1,22203
1,7423
5,2
8,12508
8,2556
5,127
1,49458
1,12327
3,7086
1,39526
1,37203
1,35994
11,18399
3,10585
1,9000
2,3292
8,118
3,17961
8,5335
1,47592
11,3345
1,9966
2,2827
3,11619
1,30841
15,5136
6,2024
1,43033
1,51439
16,830
11,22850
1,7162
11,21733
8,32747
1,41161
1,46804
11,6875
3,14282
11,19969
8,13330
11,3495
8,22389
16,5094
11,24584
15,6266
3,13995
1,29060
16,6186
15,4548
8,2963
8,17645
1,23322
1,22468
3,12237
1,38764
2,1446
1,43266
3,8279
1,26137
15,4580
8,4923
8,18567
8,3326
1,37612
15,3428
1,50277
8,3604
15,5943
11,24149
11,23433
1,41600
1,49221
11,12860
1,23168
15,5995
6,1653
3,2970
8,23634
11,9002
1,20649
1,12844
11,13326
1,2034
1,1867
8,16306
15,3173
1,38567
1,35624
2,1222
1,3823
15,2890
1,32814
1,22029
2,5199
11,16109
3,3860
15,3811
15,3988
15,3201
8,10910
6,2032
11,9235
1,5241
11,17158
11,17681
2,1973
3,3837
11,12861
1,6136
15,610
11,22833
1,49423
11,19933
3,19669
5,4424
1,13452
11,5379
3,4539
2,1244
1,29565
1,16540
1,41853
8,33968
1,9708
8,10273
8,8761
1,33357
3,14850
11,24804
11,20871
8,17041
1,42340
1,27154
6,3780
11,18192
8,9661
5,4557
15,799
11,14570
3,9637
1,29985
1,12876
3,13303
1,16772
8,3942
11,13896
16,4557
1,11567
8,13079
11,18775
16,4956
15,3479
15,6063
15,4302
15,427
5,3417
8,11641
11,21130
1,28800
8,8434
8,16050
3,11394
1,10214
11,21566
3,1453
16,2865
6,3052
15,4289
11,19333
11,23518
1,8043
8,22395
11,8030
6,1271
11,671
1,35862
3,11710
3,1887
11,26250
1,19066
8,10253
3,920
11,22254
1,14280
1,16095
8,5203
8,14224
1,44923
15,5771
1,3456
6,1819
15,88
6,2241
1,31227
1,12811
8,2957
2,6001
8,468
2,1508
1,11012
16,1044
1,42795
8,6798
1,44893
8,16711
6,2952
1,17994
15,1330
1,4347
1,5962
1,6491
11,9842
8,17433
8,22703
3,11328
11,13275
3,3864
1,33568
2,1170
15,2130
16,2974
1,10667
8,10630
3,11977
1,11510
15,3746
5,3938
11,24829
8,11530
16,1892
3,16688
3,10376
8,24106
15,1132
3,421
8,18916
8,14085
2,3693
1,43110
1,988
8,43
11,12117
1,3702
11,24063
11,14297
1,27472
8,9142
2,1717
11,7586
2,1348
5,4769
11,22804
3,11595
11,245
1,51499
1,17779
1,43799
8,32706
8,2167
8,5174
8,4480
11,2236
5,6193
11,15370
6,3123
1,35365
1,48213
15,1073
3,2375
3,8182
11,23024
11,17106
16,3777
11,14466
8,13097
1,36110
6,4004
8,17683
1,24421
3,1595
8,21588
8,32716
2,3948
15,3311
16,5557
5,336
1,12334
1,15366
1,49549
1,30954
1,45972
6,3759
5,1794
8,18540
1,30865
11,19068
15,65
8,5823
1,45835
1,6707
1,25873
1,9357
1,6552
11,20193
2,4554
8,20161
1,45602
15,5055
5,3701
2,1926
11,18169
8,20185
1,34265
1,20178
1,32005
2,3910
8,9465
8,22471
1,42115
1,29135
3,10293
11,14769
15,5871
15,5967
1,648
1,16575
8,4749
1,46380
1,34547
11,16832
8,9541
1,49140
3,3628
6,2113
15,4068
8,32855
11,9447
1,43514
8,9769
1,15833
8,20158
11,9583
11,16137
1,33365
6,745
1,26951
1,12138
1,40822
8,14700
11,2696
1,23415
15,2267
15,319
1,9428
8,2893
1,6235
1,39407
8,1633
11,10364
1,9087
1,41025
1,23189
8,11677
11,16098
3,15527
11,6060
1,28228
1,2448
1,20567
16,205
1,14378
11,9933
1,29279
15,5464
5,803
1,35203
15,5337
1,25287
15,6222
11,5217
11,1484
11,18118
1,25022
3,8398
3,13852
1,26229
11,3919
16,1464
1,41287
1,27453
1,51260
6,1323
2,1662
15,3503
1,4846
1,22854
8,7627
1,41284
3,750
15,4664
8,1612
8,495
8,16485
11,23375
3,307
3,117
1,24897
1,6291
1,21736
1,49818
