node_id,offset
991,98579
951,7337
628,58526
802,12359
981,9650
1013,95059
1013,170753
1023,15381
738,39539
919,6650
909,556
977,163375
704,35278
828,27092
1087,83461
824,36222
704,19262
1039,34932
981,123352
977,23758
981,86105
622,36279
991,63122
1063,137840
881,37871
1069,36550
1063,62555
919,26788
1097,16930
967,328
971,19330
991,142963
911,18986
1097,26855
628,103412
977,59413
1013,130640
714,70930
702,10356
704,24802
1023,27766
1013,139183
1063,224949
925,46538
1057,88369
839,53827
702,99327
925,75121
881,146554
839,23712
702,95283
702,175195
1069,52747
949,7045
1087,83847
1067,55708
1087,97813
981,45187
1069,45533
925,3390
839,184931
977,65095
704,103055
704,36953
688,10882
1053,103850
814,5782
714,51703
1069,18232
1057,80328
1013,132303
828,12074
839,69457
828,70427
824,19096
802,64496
949,98065
859,24236
909,312
971,27206
839,179320
1077,13963
1063,151098
1057,42451
1013,155267
824,27734
1047,88906
1039,29072
1055,20145
881,153345
1021,28116
949,84545
1047,1154
824,30946
1077,14731
788,27642
949,58754
628,51860
1053,132775
1047,75168
784,63354
628,84729
1013,152754
1047,79530
977,26964
881,139762
1047,22723
949,6299
1047,88695
1047,83874
1015,18107
1055,20792
991,5583
656,11463
714,90476
802,22297
758,5233
1039,7649
991,163259
806,18811
1047,94221
1057,78642
991,150131
1053,115496
688,3046
702,42564
977,154881
911,11674
1047,8182
1069,49629
1069,25519
919,62551
1015,7509
981,27664
1172,55
991,128162
1015,18620
991,49380
824,20839
802,37322
1063,135740
859,28039
839,106598
1021,20622
1039,52128
1023,35317
991,46758
802,66474
766,7643
812,47827
919,29933
702,8601
1061,5772
949,3703
977,77251
925,101925
977,149564
981,41808
806,18888
1067,39456
991,89093
1021,21325
704,146309
1013,136198
702,197207
722,5695
814,16379
1023,43032
704,117460
704,79017
702,134125
1061,17201
824,32271
1023,31759
702,157291
849,7766
828,32534
981,15904
784,47879
849,9077
841,166
784,55651
628,128274
1063,196970
628,96184
963,16194
1013,26526
812,11055
925,24973
1063,91664
981,44345
622,20179
628,125023
702,194469
1053,108822
702,64769
1013,203398
1063,232654
977,24477
628,163293
839,65210
1057,38578
1069,76679
1067,3008
949,90763
977,26382
1013,55819
977,86744
1077,15255
949,21383
704,25029
977,146150
1077,28931
702,187242
981,50344
1063,126800
991,54869
977,127982
919,112807
991,136622
764,6165
1063,89504
784,37416
656,12898
881,100366
1097,18028
772,4562
991,15120
1087,84563
881,15883
1053,35992
688,19244
881,2975
991,121604
981,123422
991,48591
1063,133474
702,200333
859,28447
849,38479
714,47610
1067,93398
738,27649
1053,107444
1069,3476
788,22483
1023,1028
925,69895
881,60505
911,27047
1063,223671
1069,49723
981,81079
925,51615
1057,26896
1015,22952
977,168890
977,81322
977,160253
1063,105839
839,64546
702,6936
622,1280
1069,38678
1069,18133
788,38703
963,10846
702,155841
714,4720
1067,101460
1067,89760
784,8101
1061,28396
1069,65248
1053,23537
766,820
1013,27020
1047,47006
911,85698
1087,95891
977,113427
981,52987
849,35903
702,107388
977,50494
788,8715
704,27998
784,3794
702,149800
702,25282
788,2544
991,106561
696,198
1063,190731
704,120396
981,20297
824,24431
977,16237
925,59524
981,118959
949,58756
841,24339
881,129251
919,73770
977,69565
824,54924
919,59977
1047,77147
824,21828
839,148235
628,94593
839,31561
911,35468
628,110400
702,110312
1013,73177
977,2703
1097,41884
917,27783
722,409
812,39004
991,16316
714,70889
1053,1479
1057,3159
977,106762
628,20000
1063,127503
919,115895
1013,190624
714,111786
738,15518
849,36213
702,1098
1013,133093
622,13964
1057,49400
628,56683
977,102936
839,34225
991,59436
881,32280
1069,48036
925,104185
963,133
714,37707
1097,38062
656,10783
784,51550
839,198506
991,38082
788,9163
971,46450
784,49497
802,22526
628,74526
1047,77472
704,13928
1069,81096
881,30106
628,102609
1087,87467
1067,45088
1055,12925
656,49184
1077,14635
881,35810
981,135298
977,117738
1063,167641
949,117443
702,78263
788,3488
1021,11242
828,4185
881,9653
714,104282
937,1694
702,175958
628,164770
1067,105369
738,37999
977,29351
919,67051
1053,28202
1067,15868
1021,954
1063,85084
991,115083
1013,211232
911,44700
859,17095
911,69185
702,94767
1053,78382
919,45615
991,148700
702,140212
881,48204
991,168136
824,44134
622,7481
1057,23609
628,75687
656,847
925,89133
1087,95650
981,41048
1053,9229
1013,161273
628,90756
977,152343
991,181426
925,4352
949,10529
738,30591
1057,41951
1069,86693
925,43250
1023,36372
788,6548
839,172723
814,12020
714,1644
812,26178
881,116616
1063,119801
812,48412
839,10203
839,68686
849,15442
1087,44034
949,82388
881,30056
1047,113532
911,3646
841,14478
881,31952
784,36559
919,51838
812,26615
714,64242
981,105892
991,128757
1067,48312
704,31008
919,88396
1013,2045
714,118740
704,6910
981,43176
977,6014
1047,29231
1013,111727
981,36219
704,109592
704,38255
1013,37823
824,41977
1021,29528
1063,207229
714,73011
1063,29415
991,108629
704,55080
802,8153
881,152239
1063,88483
812,36503
1067,64605
1063,37180
802,29257
1087,53554
981,15701
839,149356
824,37266
688,14246
963,8871
991,111894
1053,97661
1055,34850
1013,215344
704,77255
688,5932
1013,195991
1055,1403
881,10732
977,54956
949,48522
1057,25958
704,108594
919,19918
1047,9932
1053,3335
881,144814
991,24315
1053,35480
831,2012
1021,12434
925,125867
738,34935
967,628
1069,53575
1077,12577
881,2105
828,45116
714,135167
925,57330
1023,2126
1087,82074
704,66551
1063,142392
1053,87693
991,48750
925,31063
738,53157
881,74609
704,141103
849,15953
702,72703
772,12162
1023,36084
1055,27485
828,33373
949,76377
951,4533
949,97235
1087,85176
1013,103484
977,90875
812,28840
622,6554
1069,39531
1055,39651
839,174080
1069,21927
1057,39698
919,64277
1013,17408
788,9834
881,6189
925,132851
656,43268
925,31600
1087,97755
1063,165503
1063,51186
1013,177347
967,67
702,189782
1047,37198
981,30067
1013,93017
1039,42418
828,9418
991,140585
925,7510
881,81227
1057,52264
977,84226
977,20194
704,89954
925,83781
812,255
1067,64421
839,185690
925,43165
977,165744
788,163
702,13197
772,21518
841,23205
1055,30870
714,97825
839,190887
1021,19742
925,105118
949,32304
919,9501
628,108962
704,46815
1057,29901
839,98197
784,47658
1063,141473
925,51007
981,18702
911,33555
1053,61598
949,27523
628,23707
656,25403
1033,90
1047,44597
881,94566
784,71125
628,37175
991,93933
971,20483
1013,153538
949,105678
1053,29888
702,146178
981,59920
812,48988
702,11839
981,24759
1039,20567
1057,56827
1053,35268
714,95561
714,98953
1087,92100
919,43142
981,78161
702,10538
991,66233
1063,160230
977,65356
911,15536
812,33917
977,150759
849,36327
1057,75258
951,6558
802,67198
1013,59629
628,141734
949,52098
828,61508
788,9915
977,51851
1063,2183
1053,125036
684,2230
991,161247
881,69764
714,3251
704,102440
981,28020
1069,52739
1053,1062
911,36522
849,30506
788,39557
1067,96960
1023,19930
881,137264
772,24396
704,92802
971,52281
1087,89326
1057,73122
628,156542
977,6064
704,34447
714,108097
949,53083
1015,24276
977,62117
881,56430
628,34710
849,25160
1087,70958
814,4404
925,94284
881,102190
1047,42489
1087,109063
784,25079
925,81718
1013,73023
1067,94357
1047,37619
911,60926
812,29367
981,97023
839,160385
881,54332
1055,56545
881,152981
977,137289
704,1757
1055,34563
991,141356
1063,109170
977,85531
1097,18296
1055,41388
702,150691
839,161523
714,105920
702,45150
1087,26841
824,56773
656,23247
839,193992
977,125196
1069,46528
991,158173
1013,200349
925,120357
831,12661
1053,15644
881,15670
1053,55346
981,41258
2122,18
1063,108726
1023,6663
991,72998
1047,101202
1013,73820
1087,102181
839,64130
881,83374
919,63002
963,17909
1087,78841
628,51900
1053,47291
991,132799
981,115262
1015,5364
919,28356
951,3316
714,8373
1077,8279
951,12183
967,297
925,124543
1087,7601
949,7337
812,34924
1053,16002
828,2162
1087,93067
977,84119
702,6165
772,2718
1013,19169
824,49010
831,4619
981,32732
1067,92866
949,26957
664,373
981,38224
1053,128829
812,58100
919,49414
991,60100
881,97170
977,143998
1063,121672
702,120722
1053,14656
949,16981
732,335
1063,183056
702,54544
1015,2388
1097,39601
702,169454
1023,23462
702,166948
991,169457
1047,43435
1087,23473
802,71948
802,77621
919,112585
714,45429
881,151449
831,21824
917,24874
704,101254
824,848
766,946
1055,18849
1087,85108
839,24042
1061,10174
859,32940
839,58082
704,63681
1057,23309
802,8809
839,57123
1087,106040
1067,15234
881,96547
919,20283
772,15797
1047,84050
1063,27062
828,577
911,65899
1039,16168
704,957
981,114937
1023,4098
1087,106798
849,18886
714,51396
704,96660
839,159964
1087,69455
963,5662
849,2478
1057,57386
1067,70215
702,24517
1063,99963
1023,6774
824,40249
1097,29739
812,47747
1055,56146
911,45278
881,176353
704,10372
784,21171
977,126645
628,71026
1053,129826
881,127385
977,9138
802,63986
704,35859
628,108741
1015,24289
628,21737
1053,29176
949,16007
991,154313
977,122312
628,14031
881,85283
977,114017
925,54210
839,64408
881,144141
704,76443
702,35378
1057,9904
1013,145742
704,112945
925,113504
925,36405
1097,20605
1015,14588
991,139683
702,71769
1063,203847
1047,87110
919,49130
788,12811
1063,67424
1087,7050
1069,85823
1063,98401
628,12777
839,139011
714,30828
714,93400
1053,74311
917,28862
768,682
758,3796
1055,53706
1013,194731
881,32019
1063,111475
1013,162990
812,34100
849,5366
1021,16739
1057,1759
784,46469
881,185904
981,114396
656,35687
919,106991
702,4879
802,17728
656,42128
788,10429
981,13572
991,107391
1047,91955
991,94612
1063,219332
977,152367
841,2093
714,96835
1047,104158
1013,214281
1013,61084
839,197951
628,61385
1013,54736
949,114800
828,74291
828,67057
977,73495
704,20770
981,18
1087,94429
1013,167868
1087,14474
925,113619
702,184320
628,125378
831,20909
824,47569
812,50258
