node_id,offset
16,4096
1,1975
1,7191
11,21530
8,24008
16,3310
1,47844
1,14703
1,31175
8,12405
1,45594
3,18510
8,5688
11,6411
16,5426
3,11842
15,5003
11,4606
8,29077
1,2596
1,4340
1,6614
8,17195
16,163
1,30914
8,18898
15,970
8,28052
15,4390
8,15291
11,19692
15,3503
3,17640
8,33561
8,6364
15,4544
1,37403
16,5121
1,16058
11,2575
6,3581
16,2075
3,3907
11,4913
8,5598
11,20310
1,20574
11,12751
11,7927
16,2342
1,13034
6,3041
11,16553
11,10723
8,21629
1,43695
5,938
1,39422
1,5129
8,12023
11,21762
16,6039
8,34072
5,3786
11,25955
8,115
1,51580
8,19417
1,35817
1,47449
3,2846
11,12654
11,17183
8,7731
8,9826
1,35675
8,5063
3,5789
8,12615
3,44
16,4552
8,22787
1,50458
3,69
11,12760
11,231
11,19031
6,5825
1,26464
8,25882
11,6330
8,26949
1,40490
15,6005
11,1957
5,3085
2,4520
3,36
16,918
8,13304
8,32749
8,16469
11,11049
16,2360
16,1352
1,21081
8,21468
1,9451
8,32414
11,5081
8,18906
16,1000
16,645
1,9339
8,21604
3,4993
11,15794
5,109
1,15049
8,31737
11,7131
8,14424
2,211
3,17998
11,22519
8,26310
5,1815
11,10236
1,28358
1,29260
8,15160
1,14450
1,49589
8,23939
11,21038
16,362
15,3340
1,29610
11,3995
11,18983
1,4968
1,36425
5,1563
3,12993
8,24077
2,6303
1,523
6,2035
11,9955
8,18954
1,24244
3,2481
8,33686
16,392
3,6653
8,24853
15,280
8,32038
8,29488
8,16598
11,13648
11,10730
8,3647
8,14585
8,20800
2,6176
2,6163
8,14659
1,21097
8,22886
11,17842
2,550
11,16979
1,5560
8,26696
11,14250
8,1054
1,41304
1,44705
1,34069
11,992
8,14481
11,4590
8,16544
11,24181
1,13495
15,3234
1,29473
11,7720
11,13770
11,14733
11,1792
1,38044
1,10688
11,21575
1,7448
1,32684
1,18502
8,24687
8,14662
1,19791
1,14962
8,24510
8,10234
11,3785
1,40020
1,2001
1,45885
1,51061
8,14994
8,28569
1,11412
11,19933
1,1776
1,18297
15,4535
1,3246
8,10520
3,12278
11,16126
6,5676
6,5161
8,9930
1,39087
8,29339
8,15035
8,9845
8,157
1,3385
1,28755
5,1286
2,1665
3,15482
11,7800
11,6012
1,16116
3,12679
1,8997
8,28387
1,28048
3,13482
1,6326
8,24883
1,32548
8,24649
1,21058
8,1207
1,11571
8,29509
11,20434
1,15867
11,18649
11,4828
15,4723
16,4646
1,21001
8,13776
2,6322
11,6238
1,34287
16,6131
8,16099
1,5667
11,670
8,29831
11,25260
11,15740
8,7412
3,13335
5,5133
1,24769
11,432
1,11028
1,45044
8,8998
1,33074
5,1285
1,11928
1,570
3,12828
