node_id,offset
15,5856
1,11243
5,940
11,7758
11,16854
3,15048
5,5947
0,0
1,29200
3,19251
6,4187
1,8771
1,36909
0,0
3,15493
1,9974
6,6008
8,13209
16,5035
1,20654
1,43327
5,6079
11,21795
1,47857
6,5019
1,4766
11,10252
1,38411
11,1877
1,46042
5,2552
1,43037
5,4782
15,5134
3,11345
3,13314
1,47609
11,14001
8,2472
8,24868
3,19747
8,5512
1,37380
1,34235
11,25290
11,12681
5,2124
8,20860
11,16040
1,31028
11,16380
1,23166
1,22583
8,1167
11,8603
3,1855
2,5902
11,14662
3,1684
2,5773
1,2268
5,1187
1,12
1,34724
0,0
11,19234
3,4707
1,10943
6,6000
1,38081
8,15964
5,2665
2,4880
3,16267
8,9693
5,1313
1,22839
3,17799
5,3220
1,13412
3,9533
11,17094
1,31097
5,5992
1,18392
1,19059
3,2949
1,40537
3,2777
8,29269
11,9545
11,19764
8,6277
6,1449
3,12766
5,3835
3,7341
1,12935
1,35412
0,0
1,23091
11,14783
1,38919
1,31499
11,2827
3,18391
1,31828
2,3865
6,5788
1,2033
1,38796
11,9960
1,33871
8,3309
1,34409
2,3809
1,35929
1,47801
5,855
1,5520
1,33337
3,9604
11,9641
2,2937
8,9200
16,5620
5,3102
3,2353
5,1308
11,5863
11,2176
6,1010
1,10086
5,446
8,13679
0,0
11,9514
16,4177
11,4498
8,31092
11,450
11,2908
15,4548
1,35847
1,21829
11,7297
16,6208
8,5883
5,3896
11,19752
1,10452
6,5853
8,32877
16,6196
1,9258
3,6807
3,11658
3,10483
11,8601
3,12564
5,5080
8,5733
5,4967
11,10090
3,15967
11,21321
1,22825
8,4143
3,18268
1,30223
3,10006
1,6516
15,3244
3,3832
1,16851
3,11418
1,531
5,5022
16,1053
1,7393
1,7847
8,3039
11,21597
3,1881
0,0
16,6017
1,34737
8,10149
1,50977
8,22178
3,6087
6,4721
8,18433
1,37351
11,1897
11,24878
11,14805
1,3641
1,2368
11,6555
1,15034
3,12507
6,6262
1,44129
1,24557
1,26668
15,3913
1,26539
15,6290
11,9188
3,18630
1,32976
6,3365
8,4155
0,0
3,5540
1,23439
11,6909
5,4365
8,26538
1,27580
5,4379
5,2581
1,43562
5,3307
1,34763
8,7331
1,10828
3,12149
11,21258
0,0
11,5554
3,18167
11,19275
15,5788
3,749
1,31422
1,16945
8,7602
3,11898
1,13435
5,932
0,0
0,0
2,4170
8,18991
11,7863
3,3115
8,4486
8,13397
11,651
11,15011
8,27886
1,25025
11,2140
5,1964
11,1791
1,16689
1,42853
6,2295
0,0
1,45940
11,11136
8,13783
1,51435
3,13342
11,8446
3,15963
8,1150
8,11523
11,5754
5,3029
1,51894
5,3614
1,3297
2,286
1,40611
1,28353
8,16110
1,28267
5,1826
0,0
1,21346
1,44396
3,2934
6,3621
1,11821
8,16946
11,23995
1,8279
8,15091
11,11912
8,7903
11,7847
8,17079
8,25357
5,2095
1,44751
5,1752
1,16002
0,0
1,48452
8,20320
1,33646
1,51578
11,3885
11,13612
1,32615
1,19055
16,4585
1,9776
1,12311
11,24920
3,40
1,25733
1,6264
11,21690
1,41254
8,7705
1,41213
8,33278
15,564
1,11501
3,2888
11,13550
1,21446
8,7512
11,24745
11,3017
8,24697
1,24066
11,23688
1,12601
0,0
8,22251
8,26544
3,603
3,10905
8,7608
3,12852
1,11316
8,34078
8,26650
1,36696
1,3516
8,16833
11,21494
1,47471
15,530
8,13311
3,5643
3,14789
3,702
1,39218
11,17022
16,1352
3,305
5,6208
1,19311
11,2715
11,16458
1,22203
1,9787
0,0
8,12516
3,12455
8,20175
5,3870
1,12332
3,16040
0,0
1,46027
1,43670
5,1106
11,14422
1,16683
8,6386
8,2690
8,17958
3,14822
1,47592
11,13135
1,16386
15,2827
5,1061
1,35367
11,813
15,5202
5,2770
16,3466
16,4562
5,4185
1,16558
8,12804
6,3885
1,48733
5,6001
3,3678
5,0
11,19969
8,22405
3,4480
8,27569
5,6336
8,15235
0,0
11,14062
1,29060
5,1243
8,683
8,8205
8,19687
1,31462
1,29317
11,15109
1,47979
15,3500
1,45874
11,17944
