node_id,offset
6,4096
8,28860
1,12059
8,22703
8,16901
8,8112
3,14604
1,34793
8,29939
1,11023
1,27667
8,32184
2,4014
8,4860
1,6618
8,9398
1,17943
1,23690
2,1755
8,14634
1,15687
8,550
8,3044
1,20496
5,3019
8,23995
1,4311
8,26953
8,15013
1,18849
8,17044
5,3314
1,36409
1,9054
1,38044
2,5297
1,24432
2,3455
5,3407
8,24816
6,5507
8,2273
1,37972
8,13905
6,1
5,2758
1,17300
8,21154
8,7362
1,22007
5,4023
5,4785
1,30195
1,43380
8,9990
1,10894
3,14707
8,21422
8,28221
8,9748
6,4960
1,13048
8,19024
1,8875
8,12325
1,39092
1,16752
8,14846
6,1746
8,17788
8,31544
8,23892
6,3434
1,6088
5,466
1,10008
6,5111
1,192
3,17658
8,11458
1,35728
5,4501
2,2485
8,32130
1,24165
1,16391
8,2487
1,40640
2,5375
8,25503
2,5181
8,20012
1,28497
1,22664
1,4098
8,16789
8,21032
8,25634
1,6404
2,1712
3,16690
2,2419
1,36121
1,39121
1,40957
8,28714
1,17619
8,1581
3,13001
2,1698
2,3454
1,5671
1,23924
8,30774
8,26048
8,7639
1,13244
1,46923
2,4874
11,5975
6,4108
2,2253
11,13694
6,2480
1,457
1,28135
5,1982
8,2533
8,33394
5,2442
2,1687
1,10506
8,11484
1,44406
8,2886
8,319
8,15506
6,4971
3,3869
1,14516
8,9665
1,24028
8,33638
8,1354
8,5710
8,29446
8,32410
1,36287
5,4390
1,6739
1,28563
6,3403
8,12191
3,15221
6,3989
1,23835
2,2872
2,1438
3,8897
3,5311
1,6311
1,28711
5,3090
2,2605
8,12695
1,46096
8,31948
8,7509
1,366
8,1388
8,7106
3,17803
1,3784
8,16688
8,27434
1,28435
1,10137
5,54
5,2523
6,4617
8,21290
8,18907
1,36485
1,45454
1,308
1,9553
8,28487
6,6164
1,34018
8,3420
1,16181
1,27609
1,7459
8,15821
1,28970
5,2012
8,17600
1,14567
8,3721
5,4391
8,21695
3,17316
1,26380
8,2656
8,16508
8,10395
8,4021
6,4126
11,22146
5,3020
1,43411
5,4698
1,46088
1,16722
1,2050
8,3649
1,5949
2,1496
5,4829
8,19610
2,3823
2,5169
6,2051
6,4986
5,3204
8,12211
6,1639
5,4474
11,15703
1,7080
8,5275
6,4235
8,5190
8,25287
8,9060
1,21141
1,41868
6,3728
1,18023
1,7650
2,3942
1,23360
8,14455
5,4115
5,2700
5,2859
5,862
8,10665
1,29712
8,13448
8,32287
1,22291
8,8834
8,3001
8,12657
8,27332
8,15512
5,6002
11,5413
5,2856
6,4603
1,5386
8,8262
1,27008
1,47571
8,33892
1,38913
8,27046
8,2783
8,25594
8,4644
1,19430
8,32502
8,2700
3,17646
8,30281
8,8741
6,2303
2,615
5,4744
1,2742
8,28284
5,4894
1,32285
6,2579
1,40393
8,18949
8,13437
1,45791
8,15218
8,8391
1,8012
6,4436
5,5336
5,3415
6,610
8,14582
8,15434
6,3591
6,3603
8,7843
1,4067
8,29414
6,3468
8,8388
2,6230
8,22643
8,34060
5,3172
8,20260
2,6044
8,24765
1,14930
8,14090
2,5912
8,14084
1,2690
1,45407
8,17969
6,2192
1,37131
8,11346
1,34213
8,31627
8,25020
8,21775
6,4809
1,32567
1,29253
1,24163
8,6095
1,14079
1,13848
8,14873
8,10902
8,11544
3,8903
8,10462
8,8184
6,2804
1,8177
8,21647
1,44874
8,31732
8,30392
1,12808
8,17410
8,13794
3,4537
8,22732
8,20667
8,33398
8,33927
1,9634
6,229
1,37771
1,12516
1,29064
8,16342
8,15791
5,35
2,1205
8,19230
8,12046
6,539
1,16688
6,4048
8,30060
1,35678
5,2874
5,5291
1,22428
6,1553
5,5384
8,21945
1,44773
2,2804
2,3064
16,4248
8,21923
8,15405
1,28396
1,40152
15,3327
1,15390
1,16481
8,32192
8,31071
8,19724
8,29457
8,23404
8,4505
8,3163
1,45538
6,1650
1,36202
1,384
8,15443
1,19820
1,726
3,13638
1,29571
1,16167
2,1797
5,3909
1,1024
1,38556
6,5964
2,4182
1,39180
3,5037
1,34063
1,45996
8,29776
11,12440
3,5549
8,22920
2,649
8,31689
8,10418
8,11455
1,8199
1,9728
6,4806
1,44278
6,609
