node_id,offset
482,1500
129,10199
161,1509
276,3393
36,69663
105,1482
73,3035
119,45405
492,45635
161,14729
115,26639
89,12602
492,24518
106,81525
492,14935
285,33913
94,23932
36,76073
106,37256
285,19993
164,6199
492,15521
52,56000
156,11268
259,7462
94,171097
476,16590
29,69289
109,16231
52,34253
487,5409
11,67570
119,56949
485,34650
89,6755
271,19587
246,21866
29,39557
195,227
915,403
94,145119
298,31119
101,104645
36,60359
29,44369
265,87273
214,5279
25,13844
167,2754
463,116818
788,1141
285,35787
129,1141
263,64794
463,94543
38,18410
101,16167
474,14869
263,76941
52,56834
38,10702
476,36369
1,12880
154,53370
492,78608
36,69248
38,62151
119,47507
585,4168
281,141
465,1099
17,43446
321,27695
25,9441
43,19761
6,127441
24,579
609,147
101,83985
917,677
36,57499
258,5854
433,1646
313,17927
29,68350
94,79005
11,44604
287,9588
439,1300
388,3322
17,32814
26,31912
106,11971
118,4491
6,40865
106,132205
94,127217
289,17585
265,103552
106,74521
130,1940
492,64002
52,28741
106,81591
24,7938
106,46351
451,17624
463,10791
287,10687
110,37883
263,62892
106,166562
298,52973
94,179333
71,7836
463,69560
293,121
25,67746
639,5048
263,95565
36,30867
94,1812
6,87325
38,90145
17,4718
152,12356
492,63248
138,1317
275,45919
94,140003
15,14539
36,30177
259,9202
110,8169
29,113421
490,8567
108,44409
945,187
263,81571
106,147580
101,15883
263,153235
165,12281
165,9909
11,3206
265,89733
460,35271
108,40959
29,49713
38,46267
52,5798
478,14852
895,215
94,180954
110,21537
109,7204
490,72417
263,158327
485,56532
450,210
31,4167
476,36519
36,31441
263,56315
29,60735
476,35162
465,18559
132,5784
183,4706
476,6336
94,114815
109,7683
119,42080
101,20213
154,28497
94,85735
461,5089
424,1511
106,66401
463,89889
275,40529
455,19146
914,141
11,926
154,50817
121,4616
463,126149
29,47875
304,30645
109,8281
263,174886
465,17055
52,16849
460,3846
93,17844
492,73534
285,16795
24,55500
136,2970
292,6410
101,62601
70,1689
25,29733
93,11883
94,39353
26,36679
6,45899
106,82291
99,61218
31,21998
164,15324
216,5227
295,19087
278,1475
108,12864
77,5170
165,19296
106,32240
440,1940
136,1803
263,136099
121,7933
263,169244
460,35112
56,35443
567,779
158,2075
93,13352
478,11679
451,6242
161,8364
154,4650
106,173006
214,5260
99,45902
154,58222
276,5386
11,1800
263,139402
490,66012
246,3906
56,22039
313,10676
24,26273
406,108
326,3906
67,12312
6,69624
17,44601
106,27558
156,1068
313,14694
34,11490
658,635
24,5020
263,136034
101,68842
25,17845
99,29672
25,17880
94,1467
298,7737
29,63159
474,8610
17,15906
463,56387
91,46336
6,64564
94,66333
29,61073
463,118576
115,23159
138,1088
265,38988
258,1863
476,16184
440,912
490,25113
108,52414
101,79811
38,88553
101,95336
52,63086
101,37576
101,69069
6,4736
492,7661
29,51692
520,164
817,366
476,2998
29,87566
667,111
209,1897
292,3616
99,29491
442,5167
56,507
271,16300
15,35492
106,79219
56,7917
555,631
29,85511
94,143105
275,22059
285,37930
15,57203
106,146873
38,39892
290,1854
156,7531
29,36331
71,8976
129,4558
146,4939
43,6505
29,28082
263,65632
209,1508
313,12478
22,30976
108,38185
143,1504
24,70618
36,67552
474,20292
2,3890
94,47127
321,17980
265,25589
94,30553
101,21239
447,287
895,199
101,59440
106,139131
298,38052
146,4496
463,76891
42,63
15,51647
478,14471
183,4853
915,681
116,1411
115,30189
106,141366
111,19757
119,18210
492,99973
106,176069
492,139046
158,13738
15,17162
15,59421
29,91099
321,40780
15,39771
106,146863
265,153060
116,38
269,10320
39,10562
67,12983
152,3852
289,23592
492,110295
73,7256
465,13999
318,22527
52,27204
263,154427
313,3953
282,5780
375,2814
94,143568
15,11031
67,5674
285,118019
263,47826
335,4588
11,58263
6,46681
298,33254
106,104805
550,3117
22,22403
485,21801
94,64066
119,30567
321,6790
29,116355
6,80491
1,5238
550,362
94,36571
106,157000
91,30600
25,28263
463,50236
6,137362
285,83942
89,8836
321,7392
285,690
428,782
99,10375
24,55902
1,8473
11,54543
192,14283
289,23354
148,8621
207,1040
150,4905
101,70116
271,19124
295,14238
33,184
158,3058
474,13571
937,30
260,10561
29,32267
265,6360
2,6960
101,83907
460,29939
321,44229
6,136047
482,1888
382,2473
25,20506
94,159027
490,15794
461,3092
89,5438
463,42080
404,5116
265,149937
115,5177
263,177862
184,876
106,62160
77,4181
473,1851
121,16615
6,41531
195,1178
265,133789
101,103320
492,134388
17,31807
265,118529
731,273
456,3888
119,22654
6,47040
298,45917
38,87056
94,81800
275,42702
492,52830
265,29792
390,73
492,73285
106,15156
164,4068
898,1129
36,71044
119,40912
6,63224
52,24291
263,151562
165,15719
109,33964
94,110136
15,10571
485,61405
474,8045
15,2964
29,71997
24,81585
476,35431
19,11465
285,54328
106,4294
16,11345
36,39509
6,15151
827,1552
43,2751
15,54170
463,105328
36,89238
33,15354
29,176
17,12534
335,43
11,66524
6,87779
285,865
447,6595
106,141266
52,25631
476,21617
1,14702
19,4283
38,93519
265,7739
265,136794
70,3612
11,48278
271,18585
50,316
15,1209
94,170168
154,18886
101,102935
11,33856
490,66092
24,29171
313,15061
11,21100
451,1337
91,7866
362,243
67,9588
278,12859
29,37314
460,36108
24,104733
50,3465
555,479
146,5651
33,19549
52,36379
492,117315
492,134801
101,4993
283,11488
99,22732
15,58006
29,65287
465,5978
190,17503
315,6589
36,97403
263,185028
101,15565
287,8229
106,90875
11,50572
315,7234
29,77971
298,24075
94,60713
424,1647
94,75268
106,15330
106,157438
64,1794
94,102907
270,2264
71,9880
280,267
463,93676
74,16610
94,16628
465,15746
585,3761
25,25183
263,100844
39,14520
94,70757
490,1510
26,41519
106,22347
11,52273
52,12289
94,125088
474,9170
110,34702
10,1547
11,40385
476,25403
15,43604
31,2393
263,36545
265,45077
110,4565
289,29744
321,5994
106,7211
476,4955
36,63327
6,96807
36,92903
115,32438
102,2006
24,83287
827,1478
492,115453
38,31425
94,19661
