node_id,offset
15,4096
3,14425
1,12059
8,22703
8,16901
11,8113
11,14605
1,34793
8,29939
1,11023
1,27667
8,32184
15,4014
3,4860
1,6618
3,9399
1,17943
1,23690
6,1754
8,14634
1,15687
11,551
8,3044
1,20496
5,3019
8,23995
1,4311
8,26953
8,15013
1,18849
8,17044
5,3314
1,36409
1,9054
1,38044
15,5297
1,24432
15,3455
1,48995
3,10375
2,5507
3,2273
1,37972
11,13908
2,1
5,2758
1,17300
5,1106
3,7363
1,22007
1,49611
11,24718
1,30195
1,43380
11,9991
1,10894
11,14708
8,21422
8,28221
3,9749
6,4960
1,13048
11,19029
1,8875
8,12325
1,39092
1,16752
11,14851
6,1746
8,17788
8,31544
3,9451
6,3434
1,6088
1,466
1,10008
2,5111
1,192
11,17659
8,11458
1,35728
1,50089
15,2485
8,32130
1,24165
1,16391
3,2487
1,40640
16,5374
8,25503
15,5181
11,19886
1,28497
1,22664
1,4098
11,16793
11,20917
8,25634
1,6404
16,1711
3,16690
15,2419
1,36121
1,39121
1,40957
11,20699
1,17619
8,1581
3,13001
15,1698
15,3454
1,5671
1,23924
8,30774
8,26048
8,7639
1,13244
1,46923
16,4873
5,5975
6,4108
2,2253
11,13694
15,2480
1,457
1,28135
5,1982
8,2533
3,18954
5,2442
16,1686
1,10506
8,11484
1,44406
11,2887
11,320
8,15506
6,4971
3,3869
1,14516
8,9665
1,24028
8,33638
11,1355
3,5711
8,29446
8,32410
1,36287
1,49978
1,6739
1,28563
2,3403
11,12192
3,15221
6,3989
1,23835
6,2871
2,1438
3,8897
3,5311
1,6311
1,28711
1,48678
2,2605
8,12695
1,46096
8,31948
8,7509
1,366
8,1388
11,7107
3,17803
1,3784
8,16688
11,19419
1,28435
1,10137
11,54
1,48111
15,4617
11,13275
8,18907
1,36485
1,45454
1,308
1,9553
3,14046
6,6164
1,34018
8,3420
1,16181
1,27609
1,7459
3,15823
1,28970
5,2012
8,17600
1,14567
3,3721
1,49979
5,1647
3,17316
1,26380
11,2657
11,16512
11,10396
8,4021
16,4126
11,22146
5,3020
1,43411
5,4698
1,46088
1,16722
1,2050
8,3649
1,5949
16,1495
5,4829
3,19614
16,3822
15,5169
6,2051
2,4986
5,3204
8,12211
16,1639
1,50062
11,15703
1,7080
11,5276
15,4235
11,5191
8,25287
8,9060
1,21141
1,41868
15,3728
1,18023
1,7650
2,3942
1,23360
8,14455
11,4115
11,22633
11,2859
11,862
8,10665
1,29712
11,5549
8,32287
1,22291
11,8835
3,3001
11,12658
8,27332
8,15512
5,6002
11,5413
5,2856
15,4603
1,5386
3,8263
1,27008
1,47571
8,33892
1,38913
8,27046
8,2783
8,25594
11,4645
1,19430
8,32502
11,2701
11,17647
3,15841
11,8742
6,2303
2,615
11,24677
1,2742
8,28284
1,50482
1,32285
16,2579
1,40393
8,18949
8,13437
1,45791
11,7199
11,8392
1,8012
2,4436
5,5336
1,49003
6,610
11,6563
8,15434
16,3591
6,3603
8,7843
1,4067
8,29414
2,3468
3,8389
2,6230
8,22643
8,34060
5,3172
11,20145
6,6043
8,24765
1,14930
3,14092
6,5911
8,14084
1,2690
1,45407
3,17972
15,2192
1,37131
8,11346
1,34213
8,31627
3,10579
5,1727
15,4809
1,32567
1,29253
1,24163
3,6096
1,14079
1,13848
3,14877
8,10902
3,11545
11,8903
11,10463
8,8184
16,2804
1,8177
8,21647
1,44874
8,31732
11,22377
1,12808
11,17414
8,13794
8,18979
8,22732
8,20667
8,33398
11,25912
1,9634
2,229
1,37771
1,12516
1,29064
8,16342
11,15794
5,35
15,1205
11,19235
8,12046
6,539
1,16688
6,4048
11,22045
1,35678
1,48462
5,5291
1,22428
16,1553
5,5384
5,1897
1,44773
15,2804
15,3064
16,4248
11,21808
3,15407
1,28396
1,40152
16,3326
1,15390
1,16481
3,17752
11,23056
3,19728
8,29457
11,15389
8,4505
8,3163
1,45538
2,1650
1,36202
1,384
8,15443
1,19820
1,726
8,13636
1,29571
1,16167
6,1796
11,23842
1,1024
1,38556
6,5964
15,4182
1,39180
3,5037
1,34063
1,45996
8,29776
11,12440
11,11974
8,22920
15,649
8,31689
8,10418
8,11455
1,8199
1,9728
15,4806
1,44278
6,609
8,6031
1,8713
5,5635
1,16714
5,2667
1,6067
15,1567
1,26667
11,15108
1,9443
1,46452
16,4389
1,5708
6,5710
1,10435
6,3302
8,26049
3,7756
1,33389
2,3699
2,3599
1,51893
1,21263
5,6315
11,11519
1,22248
8,18372
11,23557
8,26873
8,10
1,43489
1,19170
11,8933
1,45252
11,7319
3,351
5,2535
16,1070
3,3703
8,20584
1,49022
1,10569
3,17816
1,18000
8,7392
1,6387
8,19921
8,34092
1,12156
3,16666
