node_id,offset
482,1500
285,9612
492,113076
109,26030
1,18978
129,5751
190,18379
269,29333
485,57065
45,2229
6,5756
29,112915
41,10853
490,79144
56,18142
29,108239
80,372
154,40307
164,6658
24,37480
109,38995
24,94525
391,2636
190,14792
285,46025
6,83248
678,2533
317,1745
298,39987
24,117754
1,9976
24,81003
43,16066
94,23853
263,102840
1,17319
271,710
101,24751
492,13844
29,76386
106,102316
463,106011
171,281
6,6969
106,26490
44,4602
15,40475
99,36190
6,77827
106,135029
214,1954
94,4547
38,89058
492,32141
172,1197
315,7429
263,96097
148,31066
154,11513
108,37460
24,82341
263,85284
490,69699
289,23503
6,3762
15,49437
43,28291
26,40032
465,18892
260,1466
154,57988
6,39952
298,31449
94,47087
34,14084
99,54711
269,7257
258,10761
91,2939
6,106045
43,162
24,81274
34,11490
101,11739
158,4252
285,101956
485,51943
275,44256
275,32528
52,56299
379,1537
11,36137
109,33808
161,17095
148,11551
94,172770
94,207147
463,101451
109,2613
94,143105
315,12048
214,3698
492,92711
490,19799
99,39499
260,3204
101,85063
38,50142
263,93034
463,96033
29,89660
190,5693
119,14719
101,103417
246,1291
283,10597
492,56302
108,54264
463,61503
263,96048
74,19355
106,51405
17,30734
101,57271
375,4511
91,12780
460,2258
25,44575
11,18674
106,55491
265,322
52,29224
161,4964
285,110225
317,2361
38,52992
407,1292
278,8273
1,1660
52,6052
318,23762
450,16457
275,33957
263,188903
29,116527
25,22498
451,11458
458,12391
52,21750
2,13950
285,76629
38,32100
15,12838
263,132849
109,37506
109,33964
287,6803
490,57473
52,54099
110,30812
492,92892
94,124991
265,36469
298,52742
38,34873
106,117993
17,39124
463,60962
430,441
10,3639
265,21786
29,36479
304,34802
490,23539
164,13680
101,53847
6,69972
573,3474
492,91802
156,17668
94,160835
424,1272
313,6138
29,119085
265,17456
485,24495
154,41778
118,4327
26,41519
265,1158
24,79898
463,28017
810,3618
36,41864
492,25213
38,59027
260,10589
265,65171
52,27079
101,13229
11,27433
272,126
38,74693
460,20198
264,45
52,16414
148,10532
106,164412
43,15637
539,15615
15,40910
280,310
101,113688
106,117115
110,38395
275,17594
379,3368
292,7575
108,14452
468,15551
99,20308
5,3105
271,1319
52,24709
304,17312
485,1579
407,407
25,33106
156,938
485,13596
263,61231
265,41534
325,680
148,18179
154,47196
184,6087
94,171891
24,109325
289,14697
131,5724
375,842
36,12562
404,10249
99,39651
94,80209
101,67653
539,15934
19,8413
106,69385
106,35108
321,26309
246,22800
269,29373
289,1876
263,58488
450,654
265,36139
108,34244
1,2483
490,65977
52,35219
94,178846
315,16555
101,30620
484,4977
192,11895
154,46516
294,750
343,170
108,7379
552,623
17,32468
38,95733
94,179962
285,82627
492,47683
24,19847
24,15825
298,49427
154,42429
6,86423
161,7354
463,54096
34,20234
110,19103
285,77274
146,6125
99,8262
106,65699
110,34493
216,701
367,375
453,1405
265,22113
99,12515
36,39265
106,72512
15,4894
81,950
6,112616
156,9818
115,27157
119,32025
450,12841
263,151389
25,8002
265,104334
29,5755
490,16809
485,51602
118,15722
550,1751
298,51609
31,7507
119,5745
24,53444
36,41240
115,23710
6,59266
285,25695
313,8794
52,2777
287,1609
463,133880
315,30511
315,25440
1,6966
285,10746
119,70133
101,48000
56,40080
289,23927
94,112960
73,4911
292,111
106,133571
451,1831
566,1566
67,1480
15,43979
56,8810
24,40299
24,83240
94,181171
141,6675
31,13401
285,53967
121,18969
15,37360
492,92295
24,54774
321,21123
91,44427
94,19431
283,25050
460,20663
94,155055
44,1505
767,518
263,182126
25,28487
6,128993
94,191989
11,64472
11,28627
298,40322
6,41666
108,3221
326,4933
22,30384
283,8748
265,84026
6,72256
6,132080
119,36314
214,1196
313,2237
246,6067
96,6007
106,116014
38,30253
22,10642
141,2657
6,68904
451,4717
33,5413
121,5982
285,31553
300,33
24,4526
38,33764
25,40779
24,96838
289,11603
6,10426
298,10115
106,113101
11,10154
91,41977
29,44264
315,25412
108,37189
110,7035
29,102806
298,44212
43,2766
304,14096
11,30382
18,393
115,6508
119,25527
313,3166
111,14618
275,36229
540,7657
463,10585
106,108094
25,29128
265,122791
