node_id,offset
105,424
101,1602
105,2584
103,823
106,1219
101,1017
101,914
105,897
101,1091
105,2579
105,1688
103,284
103,751
101,1276
103,1230
101,1142
106,469
105,1787
103,1147
105,1736
106,213
105,1753
105,950
105,1343
105,2901
106,298
101,1645
103,56
101,2979
106,398
101,623
105,19
103,288
101,402
105,3850
105,2124
101,1553
101,1248
106,216
106,695
105,3372
105,2515
101,1378
105,3290
105,584
105,957
101,2968
103,1146
103,414
103,265
103,862
101,660
103,1012
105,3283
101,545
105,877
105,2907
101,446
103,394
106,392
103,820
105,1893
101,99
105,212
101,1124
105,968
101,207
105,2986
105,2512
103,296
105,151
101,279
105,2637
101,2649
106,471
105,3769
105,411
101,1466
106,541
103,1288
101,1616
105,2004
105,2500
105,3516
101,1579
105,50
105,3248
105,417
103,847
103,684
106,760
106,128
101,2421
105,2426
101,821
101,1214
103,728
106,766
105,1351
105,1229
101,726
105,26
101,1746
103,459
105,2965
105,2906
105,362
105,345
101,2412
105,3067
106,218
103,715
105,403
101,2103
105,3315
103,364
101,910
103,1151
103,1193
105,2955
103,141
105,1036
103,690
106,155
105,2589
101,71
101,644
105,3452
105,703
106,353
105,2193
105,2639
106,737
106,1346
105,2375
105,2499
103,46
105,3862
105,2536
105,3153
105,3179
101,1073
105,3522
105,3545
106,528
105,3271
103,293
106,56
101,2282
105,676
101,1311
105,2201
105,2601
101,113
105,1095
101,2837
105,2238
105,290
101,1752
101,815
105,3133
105,169
101,2564
105,2769
101,1355
103,280
105,1450
101,1678
105,3561
105,332
103,1190
106,1192
105,616
106,1100
103,539
105,1331
103,50
105,2550
101,314
101,1669
105,2398
105,562
101,817
101,1376
105,2392
101,1440
101,853
106,151
105,3410
105,734
106,133
105,20
101,1784
103,1075
101,1716
105,2378
105,166
105,1543
101,2077
101,1501
105,3793
105,3308
101,3018
105,3672
105,287
105,2987
101,1391
105,452
106,212
106,222
101,1733
103,1239
106,234
101,1705
105,572
105,998
105,3173
101,640
103,1249
105,904
105,3439
101,2451
101,583
105,1926
105,3249
105,1084
105,237
103,1210
105,2959
105,891
105,2934
105,3024
105,3165
106,299
105,3747
105,3686
101,2039
101,1595
103,507
103,749
103,1243
105,2424
105,1194
103,733
105,2128
105,964
105,1865
103,147
105,615
105,102
105,3091
105,525
105,1060
105,1538
106,1377
105,3614
105,1858
101,1520
101,1389
101,165
103,1219
105,3057
105,3456
105,2873
103,680
103,1337
105,91
105,605
105,2459
101,1962
101,2834
101,2776
101,1420
105,2962
101,1606
101,2012
105,554
103,804
101,246
103,837
105,3595
101,783
103,584
105,1028
101,1000
106,75
105,3777
106,1127
101,479
101,1999
105,328
105,379
105,1376
101,1347
105,1835
101,475
105,412
103,400
105,318
106,312
101,1478
105,1112
105,1894
103,29
103,1053
105,1406
103,1085
101,1326
105,3313
106,420
103,1236
105,3789
106,450
103,595
103,1307
106,759
105,2731
106,111
103,282
105,1113
105,2991
105,1090
105,2135
105,1028
105,3677
105,898
101,1699
105,3145
105,2658
105,2365
101,2988
101,2022
105,1725
101,1026
105,3628
103,245
105,1308
105,3758
106,43
106,221
101,1616
101,1735
102,13
101,2756
101,1431
103,878
101,644
103,485
105,2783
103,34
103,627
103,1014
103,132
103,641
103,180
105,2921
105,2023
103,1034
105,2561
101,973
101,343
101,195
105,2929
105,1148
105,1375
105,2763
105,634
105,3236
105,2585
103,377
105,3657
103,433
105,1390
106,8
103,798
101,2014
105,2049
105,1160
103,29
104,15
101,1611
101,2665
101,44
106,710
106,1041
103,757
103,414
101,466
