node_id,offset
6,4096
1,1975
1,7191
8,29545
8,24008
6,3310
1,47844
1,14703
1,31175
8,12405
1,45594
8,18507
8,5688
11,6411
2,5427
8,26283
2,5003
8,4605
8,29077
1,2596
1,4340
1,6614
8,17195
2,164
1,30914
8,18898
6,970
8,28052
2,4390
3,15300
8,19687
6,3503
8,32080
8,33561
8,6364
2,4544
1,37403
2,5122
1,16058
8,2574
2,3582
2,2075
8,3907
8,12812
8,5598
5,377
1,20574
8,12750
8,7926
6,2342
1,13034
6,3041
3,16552
8,10722
8,21629
1,43695
5,938
1,39422
1,5129
8,12023
8,21877
2,6040
8,34072
5,3786
8,33970
8,115
5,5992
8,19417
1,35817
1,47449
8,17289
8,12653
8,25198
8,7731
8,9826
1,35675
8,5063
3,5789
8,12615
3,44
2,4553
8,22787
5,4870
8,69
11,12760
8,230
8,27046
6,5825
1,26464
8,25882
8,6329
8,26949
1,40490
2,6005
8,1956
5,3085
2,4520
8,36
6,918
8,13304
8,32749
11,8451
8,11048
6,2360
6,1352
1,21081
8,21468
1,9451
8,32414
8,5080
8,18906
2,1001
2,646
1,9339
8,21604
3,4993
8,15791
8,20157
1,15049
8,31737
8,7130
3,14427
2,211
8,17995
11,22519
8,26310
5,1815
8,10234
1,28358
1,29260
8,15160
1,14450
5,4001
8,23937
5,1105
2,363
6,3340
1,29610
8,3994
11,18983
1,4968
1,36425
8,21611
3,12993
8,24077
15,6303
5,523
6,2035
8,9954
3,4512
1,24244
3,2481
8,33686
6,392
8,6652
8,24853
6,280
8,32038
8,29488
3,16601
11,13648
8,10729
8,3647
8,14585
8,20798
2,6176
6,6163
8,14659
1,21097
8,22886
8,17838
2,550
8,24994
1,5560
8,26696
3,14249
8,1054
1,41304
1,44705
1,34069
8,991
8,14481
8,4589
3,2101
5,4248
1,13495
6,3234
1,29473
8,7719
8,21785
0,0
8,1791
1,38044
1,10688
8,29590
1,7448
1,32684
1,18502
8,24687
8,14662
1,19791
1,14962
8,24510
8,10234
5,3785
1,40020
1,2001
1,45885
5,5473
8,14994
8,28569
1,11412
8,20019
1,1776
1,18297
6,4535
5,3246
8,10520
8,12277
8,16123
6,5676
15,5162
8,9930
1,39087
8,29339
3,15039
8,9845
8,157
5,3385
1,28755
5,1286
2,1665
8,15480
8,7799
8,6011
1,16116
11,19105
1,8997
8,28387
1,28048
3,13482
1,6326
8,24883
1,32548
8,24649
1,21058
8,1207
1,11571
8,29509
8,20549
1,15867
8,26664
8,4827
2,4723
6,4646
1,21001
8,13776
15,6322
8,6237
1,34287
6,6131
8,16099
1,5667
8,669
8,29831
8,33275
11,15740
8,7412
11,19761
5,5133
1,24769
3,431
1,11028
1,45044
8,8998
1,33074
5,1285
1,11928
1,570
8,27269
8,30350
1,7822
1,33353
8,6105
6,6064
2,31
8,11632
8,33948
8,27531
2,2967
3,15080
8,812
2,3140
8,16939
1,25541
8,14867
6,2668
1,45831
8,3039
8,33591
8,30182
2,5829
8,33407
3,16910
6,5685
8,24521
1,37565
1,13338
6,1434
2,2938
1,11654
5,4598
8,32550
2,3020
6,5406
6,3094
1,45973
8,33328
6,1541
5,4720
1,20129
8,5080
2,4152
1,20873
2,2507
8,16660
1,41888
1,38060
1,5412
1,29475
5,4388
8,17365
5,2071
8,33112
1,22524
1,6731
8,4223
8,21717
8,7106
6,357
1,46225
8,31203
1,1858
1,36248
8,31549
1,40990
2,2842
1,619
8,18474
1,5487
2,4847
5,4826
8,12670
3,4637
1,23610
1,26994
1,2332
8,34007
1,11225
5,1691
1,16706
5,3872
8,5752
1,836
1,1672
1,7006
2,5243
8,26947
8,9100
8,10499
5,6258
8,16512
5,4798
3,8968
1,49398
8,15276
8,15704
8,32079
1,4377
2,2145
2,549
1,8962
1,22962
2,3670
8,33869
1,46610
3,2644
1,47463
8,27924
2,3731
2,1783
2,628
8,21586
1,39492
6,592
6,274
3,2067
8,7930
8,10810
1,702
5,254
1,153
8,19878
5,3472
1,28416
5,6278
8,8837
3,4707
1,11838
8,24480
8,21871
8,19392
8,4834
6,52
1,5662
1,21726
8,26051
1,47810
1,4097
8,24013
1,31712
8,22456
8,17366
8,19462
8,20214
8,20247
8,17653
8,25653
1,38951
8,24046
8,17643
8,13811
11,18235
8,11549
2,2105
8,32495
1,28737
8,1005
8,21140
8,688
5,2450
1,25005
5,1358
1,42680
