node_id,offset
991,100351
951,12812
0,0
0,0
981,13681
1013,99708
1013,173067
1023,24592
738,43721
919,12931
1055,9269
977,170826
0,0
828,31469
0,0
824,42900
0,0
1039,43867
981,132808
977,30881
981,90224
622,36279
991,67415
1063,147012
881,43078
1069,40836
1063,65917
919,29160
0,0
808,248
0,0
991,152595
911,28481
0,0
0,0
977,61551
1013,136216
714,77885
702,19083
0,0
1023,30148
1013,139183
1063,231565
925,49610
1063,203711
839,62244
702,107818
925,84747
881,153194
839,25483
702,96442
702,177059
1069,61833
949,7045
0,0
1067,55708
0,0
981,53744
0,0
925,6232
839,189390
977,70015
0,0
0,0
0,0
0,0
814,15481
714,59300
1069,24694
0,0
1013,134660
828,12075
839,77625
828,78111
824,26510
802,69062
949,103159
859,24239
1055,1966
0,0
839,180568
1077,13963
1063,160646
0,0
1013,164531
824,34092
0,0
1039,29072
1055,29485
881,153350
0,0
949,93682
1047,2595
824,40093
1077,23149
788,31637
949,66860
0,0
1112,0
1047,79915
784,69887
0,0
1013,162414
1047,85392
977,36103
881,145786
1047,26249
949,14878
1047,98438
1047,87276
1456,57
1055,22333
991,5596
0,0
714,92070
802,22297
758,8045
1039,8797
0,0
764,4187
1047,94221
0,0
991,151853
0,0
0,0
702,49355
977,159135
911,16094
1047,17321
1069,50513
1069,25540
919,66382
0,0
981,29506
2020,7
991,131089
804,331
991,58725
824,23685
802,44820
1063,139978
859,28039
839,113744
0,0
632,1584
1023,35317
991,50298
802,68836
766,8910
812,50910
919,32226
702,17861
1061,11742
949,3707
977,80602
925,109653
977,156159
981,46753
1179,0
1067,48484
991,96285
0,0
0,0
1013,138668
702,201279
1063,43907
814,18715
2028,3
0,0
0,0
702,138842
1061,26810
824,41254
1023,41591
702,157291
849,12726
828,40409
981,23674
784,51846
849,14357
0,0
784,63434
0,0
1063,201286
0,0
0,0
1013,31918
812,14545
925,33746
1063,95131
981,49167
622,25883
0,0
702,200629
1077,29516
702,64769
1013,207793
690,2479
977,26058
0,0
839,67261
0,0
1069,76679
1067,5948
949,92772
977,30701
1013,55819
977,86744
1077,20168
949,28727
0,0
977,147873
1077,28931
702,191658
981,50344
1063,126800
991,54869
977,136129
919,118034
991,143069
764,15016
1063,97525
784,41094
0,0
881,104642
0,0
772,9271
991,17076
0,0
881,19182
0,0
1219,115
881,4511
991,122896
981,128835
991,56093
1063,135389
702,200333
859,37492
662,2097
714,47610
1067,93398
738,32906
0,0
1069,11441
788,26454
1023,5064
925,73797
881,63700
911,36476
1063,223671
1069,58832
981,82727
