node_id,offset
2,4096
8,28860
1,12059
8,22703
8,16901
11,8113
3,14604
1,34793
8,29939
1,11023
1,27667
8,32184
2,4014
3,4860
1,6618
11,9399
1,17943
1,23690
6,1754
8,14634
1,15687
3,550
11,3045
1,20496
5,3019
8,23995
1,4311
8,26953
8,15013
1,18849
8,17044
11,23247
1,36409
1,9054
1,38044
2,5297
1,24432
6,3454
1,48995
8,24816
15,5507
11,2274
1,37972
11,13908
6,1
11,2758
1,17300
5,1106
3,7363
1,22007
5,4023
5,4785
1,30195
1,43380
8,9990
1,10894
3,14707
5,1374
8,28221
3,9749
15,4960
1,13048
11,19029
1,8875
11,12326
1,39092
1,16752
3,14850
15,1746
8,17788
8,31544
3,9451
15,3434
1,6088
11,466
1,10008
16,5111
1,192
3,17658
8,11458
1,35728
5,4501
2,2485
8,32130
1,24165
1,16391
3,2487
1,40640
16,5374
8,25503
15,5181
3,19885
1,28497
1,22664
1,4098
8,16789
5,984
11,17619
1,6404
16,1711
3,16690
2,2419
1,36121
1,39121
1,40957
8,28714
1,17619
8,1581
3,13001
15,1698
2,3454
1,5671
1,23924
8,30774
8,26048
3,7640
1,13244
1,46923
2,4874
11,5975
6,4108
2,2253
11,13694
16,2480
1,457
1,28135
1,1982
8,2533
3,18954
11,22375
15,1687
1,10506
3,11485
1,44406
11,2887
3,319
11,7487
2,4971
3,3869
1,14516
3,9666
1,24028
8,33638
8,1354
8,5710
3,15006
8,32410
1,36287
1,49978
1,6739
1,28563
6,3403
11,12192
3,15221
2,3989
1,23835
16,2871
6,1437
11,8897
3,5311
1,6311
1,28711
1,48678
2,2605
8,12695
1,46096
8,31948
8,7509
1,366
3,1388
8,7106
3,17803
1,3784
11,8670
3,12993
1,28435
1,10137
1,54
5,2523
15,4617
11,13275
8,18907
1,36485
1,45454
1,308
1,9553
8,28487
2,6164
1,34018
11,3421
1,16181
1,27609
1,7459
3,15823
1,28970
5,2012
8,17600
1,14567
8,3721
5,4391
11,21580
3,17316
1,26380
11,2657
3,16511
11,10396
11,4022
16,4126
11,22146
11,22953
1,43411
11,24631
1,46088
1,16722
1,2050
3,3649
1,5949
16,1495
11,24762
3,19614
15,3823
16,5168
2,2051
15,4986
5,3204
8,12211
6,1639
1,50062
11,15703
1,7080
3,5275
2,4235
3,5190
8,25287
3,9061
1,21141
1,41868
15,3728
1,18023
1,7650
16,3941
1,23360
8,14455
5,4115
5,2700
11,2859
5,862
11,10666
1,29712
5,5549
8,32287
1,22291
11,8835
11,3002
11,12658
8,27332
11,15515
11,25935
11,5413
11,22789
15,4603
1,5386
11,8263
1,27008
1,47571
8,33892
1,38913
3,12605
8,2783
8,25594
8,4644
1,19430
8,32502
11,2701
11,17647
8,30281
3,8742
16,2303
2,615
1,50332
1,2742
8,28284
11,24827
1,32285
6,2579
1,40393
3,18953
11,13439
1,45791
11,7199
11,8392
1,8012
15,4436
11,25269
5,3415
6,610
11,6563
8,15434
15,3591
16,3603
8,7843
1,4067
3,14974
15,3468
11,8389
6,6229
8,22643
8,34060
5,3172
8,20260
6,6043
8,24765
1,14930
3,14092
6,5911
11,14087
1,2690
1,45407
3,17972
2,2192
1,37131
11,11347
1,34213
8,31627
3,10579
11,21660
2,4809
1,32567
1,29253
1,24163
11,6096
1,14079
1,13848
8,14873
3,10903
8,11544
11,8903
8,10462
11,8185
2,2804
1,8177
5,1599
1,44874
8,31732
11,22377
1,12808
11,17414
8,13794
3,4537
8,22732
8,20667
8,33398
11,25912
1,9634
6,229
1,37771
1,12516
1,29064
8,16342
8,15791
11,35
6,1204
3,19234
8,12046
15,539
1,16688
2,4048
8,30060
1,35678
11,22807
11,25224
1,22428
15,1553
5,5384
5,1897
1,44773
6,2803
2,3064
15,4249
5,1875
8,15405
1,28396
1,40152
16,3326
1,15390
1,16481
3,17752
8,31071
8,19724
8,29457
11,15389
11,4506
11,3164
1,45538
16,1650
1,36202
1,384
8,15443
1,19820
1,726
3,13638
1,29571
1,16167
2,1797
11,23842
1,1024
1,38556
16,5964
6,4181
1,39180
3,5037
1,34063
1,45996
11,21761
11,12440
11,11974
8,22920
15,649
11,23674
11,10419
11,11456
