node_id,offset
23727,58
2248,12
44930,18
19007,54
20858,181
31880,115
11238,325
15009,55
11101,54
7660,27
33459,16
21170,8
17760,85
45981,34
18089,11
32930,5
24981,10
44704,39
22330,16
33566,11
32280,49
27055,10
15750,4
28470,162
17504,55
24745,124
32559,115
38316,10
13414,171
42943,2
32946,312
2393,11
18151,91
44492,9
32775,2554
18701,0
23841,65
36761,120
44018,51
32822,4
187,11
16339,304
44689,14
27127,0
47736,80
11850,68
37897,7
21182,104
16853,142
3945,8
15750,1
30749,29
32214,20
17694,89
34695,91
24832,218
31007,26
6947,62
27344,59
3205,28
9549,116
45052,10
38049,169
48139,32
32518,81
6767,6
24264,0
14858,51
26033,37
19323,176
43852,63
32978,1
23122,2
10669,140
23696,41
47024,0
18699,2
19428,64
29435,43
2167,67
8738,7
16013,89
32775,1448
47718,192
39029,51
47165,25
21746,66
46511,24
47171,9
21617,17
16770,96
31966,60
10760,52
24089,98
30243,156
41412,31
28110,7
7227,255
26992,81
47994,15
7189,217
26687,0
23889,8
37831,106
19422,5
43545,6
2044,69
11264,25
23137,37
7922,6
27297,140
26119,74
17865,25
21881,13
23696,34
21245,97
19309,96
37657,8
2980,15
26933,2
12440,12
12757,131
16636,1
28239,45
48274,53
16528,182
32775,3422
31895,33
19245,137
12841,16
45805,6
6499,29
23050,19
16270,124
13584,0
39029,250
43864,24
44803,90
37381,68
1441,4
41014,42
18419,18
25275,13
30516,168
26859,171
28271,58
39413,259
8351,43
36402,14
47742,55
8508,2
5234,9
15461,120
4114,0
36432,60
9007,6
46202,7
38672,63
21395,72
19309,67
35642,60
24996,24
44518,55
39188,32
29652,235
9549,69
40683,49
26170,90
31536,55
20170,3
10583,5
17594,98
39443,1
3189,4
33313,40
34516,5
20719,80
16961,1174
24534,86
27884,71
45978,20
6856,37
45957,104
26101,39
26218,68
33143,47
21317,62
18313,114
40111,113
14894,83
37237,154
32775,3633
17808,11
19458,14
30659,130
38114,10
37045,9
14038,127
24089,62
15564,140
19338,15
28385,18
40138,149
48247,27
31497,22
38575,50
49092,7
14610,32
30704,37
46220,2
43158,271
29652,42
7236,22
38990,60
33053,3
24005,17
19961,58
42364,32
39023,57
47512,12
33606,26
8526,17
9807,9
13298,23
28176,48
45702,9
28654,108
14837,11
15618,90
37873,64
44785,152
33048,170
9135,62
11714,32
1894,7
7709,7
727,16
44012,48
18654,35
10892,7
13110,9
43152,35
29381,227
8959,0
27123,41
26936,27
9929,40
15476,283
37900,126
44389,31
17633,13
45135,13
26611,116
32646,126
24874,7
11264,30
2907,14
17823,75
37381,35
28301,12
19309,2
7189,16
18639,64
43780,10
35376,101
40795,70
2943,33
23254,41
26670,117
3073,5
18405,60
21338,5
40430,24
8119,83
23206,1
16931,69
23248,28
22060,0
38364,116
44883,2
33226,2
4840,29
11808,12
41319,183
28811,35
16961,644
41991,29
29694,153
7699,2
46643,13
37342,11
22858,60
49323,8
23560,136
34531,43
25524,62
31768,109
20107,3
43629,3
26283,24
25521,24
35492,2
12227,5
32775,462
11590,83
22513,0
11101,30
36579,11
27141,22
13429,14
15527,12
20626,0
42663,0
11389,190
34282,6
41739,71
29479,292
18765,32
35244,2
44635,90
34562,1
13315,133
6475,6
25503,48
15944,164
7189,467
25728,103
30551,162
37969,82
2410,4
4144,1
26152,6
22217,10
5774,4
26742,59
13116,56
37042,23
