node_id,offset
105,424
107,3334
101,175
107,5040
103,679
107,7521
103,545
105,992
107,2662
107,1755
101,1445
106,1339
103,796
107,212
106,1019
101,2055
101,1170
107,4752
105,2195
101,2818
101,1222
105,3126
105,3709
107,2962
107,3039
106,522
107,8358
105,2911
107,2409
107,2981
107,6546
105,1858
107,8321
105,3786
107,6655
107,6975
107,6395
107,2076
107,1395
106,59
107,5926
107,1719
101,2488
105,1875
103,796
106,925
107,5762
101,1712
107,3892
101,263
107,3642
107,5180
107,7168
107,2726
107,8439
107,5899
106,983
107,1572
107,2615
105,1981
107,6951
107,7284
107,3966
107,999
107,6986
107,406
101,1586
107,4995
105,1872
105,3473
107,6277
106,808
101,1433
107,8946
107,6133
107,6134
107,7268
107,1003
103,513
105,2804
101,2859
105,3466
105,331
101,1385
106,837
103,742
106,841
105,1801
101,177
107,8783
103,122
107,2174
107,4898
107,2631
105,3825
101,2424
107,3286
104,7
101,1413
105,756
107,5634
107,562
106,217
107,8267
101,1007
107,1538
107,5332
107,6228
107,5710
107,348
105,2422
107,2717
107,488
103,1321
107,4243
105,1748
107,486
101,2228
107,6729
105,3471
103,36
105,163
107,5796
107,5791
106,1308
105,2023
107,799
106,502
103,814
101,2341
105,3517
107,6788
105,344
105,909
101,1661
107,3125
107,1112
105,1773
107,2727
107,5498
107,4892
107,6872
105,1841
107,8092
107,3773
107,3859
101,1031
107,3199
107,607
101,2065
107,5269
107,4000
107,4611
106,847
106,222
107,5006
107,3726
105,3617
101,2763
105,3332
101,1564
107,1979
106,1159
107,3723
106,467
107,678
107,6823
101,2966
107,6960
107,5900
107,4988
107,1711
107,2515
105,352
107,6070
105,177
107,2872
107,8061
106,1114
107,149
107,5070
106,0
107,475
105,2969
106,427
106,1288
101,2129
107,794
105,1234
107,3572
107,6225
107,6119
107,4082
103,36
106,88
101,537
101,1849
101,1203
105,1281
105,1829
101,49
107,5769
107,7297
101,1188
107,5183
101,2643
101,54
105,2839
105,2746
101,2060
105,1104
107,5101
107,6849
107,986
103,1060
101,2459
107,6507
107,7547
107,8027
107,6255
101,2334
105,1136
105,2441
107,1260
105,407
105,2182
107,4055
107,6257
107,5492
101,2364
107,7849
106,743
101,153
106,486
101,2503
107,7638
107,6861
105,1639
107,6368
107,851
107,4595
107,7112
105,1367
107,7735
101,1316
107,6495
107,3434
101,596
105,1432
107,6344
107,3565
105,144
107,7172
103,543
105,2676
106,1341
103,49
107,17
101,2850
105,3844
107,1430
107,3488
101,34
107,1387
105,318
105,2454
107,8871
101,2343
105,3250
105,1600
105,2558
105,1715
105,1535
107,2356
101,2921
107,3572
107,112
107,7568
101,1634
106,1394
107,3404
105,3824
103,1032
107,253
101,2822
107,2176
103,957
105,2610
105,3836
101,793
105,1993
106,531
103,1327
107,5081
103,415
105,2938
107,2493
107,5552
107,8105
101,2282
107,7961
107,1522
107,8167
107,7424
103,420
101,1217
107,2324
107,5411
107,6323
107,7462
107,7668
101,1089
107,8852
105,2780
103,667
107,5863
107,4056
101,533
101,71
106,77
107,5481
101,223
107,1334
106,1228
105,3650
103,825
106,84
105,2164
103,1341
101,40
107,1310
101,1867
105,1581
106,969
107,4894
107,3760
