node_id,offset
23727,58
33101,121
36095,223
21097,15
44298,4
36927,10
17958,41
13556,111
48687,0
38833,0
45061,44
13827,79
15305,151
23173,187
19907,28
40978,197
13435,2
11238,290
10097,4
14472,4
14400,0
45265,23
4094,34
22271,7
7989,116
13485,3
37201,305
48882,7
0,0
33388,27
6319,10
25011,48
10928,2
25736,59
21917,77
41106,49
0,0
35163,71
31624,322
9801,30
41547,7
32775,3422
7998,42
23763,20
27255,70
0,0
17443,0
9153,5
32763,13
15440,84
2864,42
47718,68
42603,134
2561,4
14636,3
13239,4
14595,2
43215,18
35456,55
32328,7
36719,10
31348,13
20858,138
25337,74
32594,61
31004,14
24383,6
16133,145
13414,187
0,0
37516,6
15527,49
15461,7
42264,0
23509,82
30048,53
12808,17
39485,9
7301,122
0,0
6029,0
31186,18
31058,0
15162,8
41559,2
35376,101
41394,2
9346,67
20211,0
31013,164
15476,429
14324,10
45648,19
30611,204
22091,46
16669,139
215,471
37495,26
7482,1
766,58
33298,125
30551,241
11883,190
17199,46
32017,14
14199,5
12911,1
41870,58
10019,13
9318,0
29378,13
10206,22
34509,4
46167,60
30839,188
16752,0
17216,45
46036,82
0,0
42784,23
8425,102
43964,124
46090,36
30944,273
41225,68
8971,18
30158,42
12076,37
30975,0
2888,2
31768,67
41436,43
14676,38
14772,29
46730,38
40646,137
34020,48
10007,30
0,0
22508,38
0,0
16333,45
39525,57
14538,233
5136,0
31717,29
28164,26
41106,45
37882,54
22954,12
26730,8
32600,1630
9831,4
16034,46
15552,14
44409,79
23805,49
33669,44
22870,6
45916,9
44295,105
16282,69
15072,22
27792,6
11515,82
0,0
38557,1
43605,32
16049,1
45636,77
43384,5
32775,2025
17178,0
11874,44
23512,88
44215,5
42906,48
26859,59
2204,11
19309,38
16064,98
2629,14
44524,17
46292,81
47958,163
26503,0
37246,25
38248,45
45957,11
41014,14
0,0
19230,1
10019,17
10886,122
32089,31
37114,288
2870,12
16371,0
24714,0
31738,246
8959,86
2578,0
38439,202
26614,15
12368,17
38924,210
9332,61
28411,49
45877,17
46512,0
10949,86
37831,87
6371,0
21678,27
37276,73
31883,17
29476,10
7992,18
22981,0
13899,0
0,0
27643,44
21112,27
0,0
40261,10
32822,22
33202,19
30542,199
41799,26
13479,41
24371,42
14125,16
20958,4
37690,65
33016,167
0,0
33340,40
32594,400
1888,9
10108,43
22178,68
21777,75
46601,58
11255,24
36462,8
18726,86
35829,0
33524,0
14298,6
28971,19
42563,0
4925,2
12383,22
0,0
25503,48
30962,106
41817,78
17407,0
20843,31
33969,2
30388,38
19467,8
26197,0
31792,45
0,0
32775,545
0,0
38263,12
13176,165
43073,5
43717,57
29598,31
787,186
15950,64
20233,9
13161,47
31756,8
30158,170
30143,31
2697,13
31313,0
34943,24
25349,22
34541,0
23533,17
47748,36
34719,33
25204,106
31285,124
40768,0
9549,83
10206,19
31228,13
27532,107
16258,83
9938,6
22061,92
41225,124
0,0
20872,0
0,0
7301,155
29479,186
8678,63
30773,254
43687,110
26805,26
40442,120
46625,2
41207,13
33364,80
10197,50
30551,424
0,0
23763,85
41811,68
38744,27
45669,17
32600,2317
15741,41
27326,31
19359,27
40257,0
0,0
19960,0
33140,112
14154,6
17925,30
2503,55
43840,6
40164,74
14038,51
14766,40
40481,5
0,0
26865,14
10988,7
5982,11
15630,36
43042,69
29796,95
44757,0
20475,1
590,9
19064,97
38430,30
34740,49
45364,268
40828,3
6902,100
11009,10
13527,55
31835,166
21824,19
39440,92
8738,7
34806,57
17495,55
40795,26
48334,8
30959,81
0,0
8160,6
30243,127
35025,70
44048,14
18334,84
7316,80
0,0
34385,45
36725,16
28470,107
15926,313
22220,83
16806,29
36131,171
18131,49
35633,21
28615,33
12745,41
15916,119
30516,131
14825,13
0,0
11124,9
0,0
16151,19
17612,50
35022,10
7233,15
36686,41
38479,2
42608,18
0,0
11886,1
41457,183
45087,61
36677,25
27297,101
11599,77
31234,0
7575,0
23158,20
37114,306
1916,0
41808,56
27914,3
36803,0
31880,18
30593,13
29589,101
24291,47
0,0
31624,226
28113,224
38993,132
22837,31
39143,4
44659,2
25541,55
30899,7
44623,174
13908,56
18893,0
979,3
14903,113
21287,6
12689,157
12926,23
10970,42
20587,42
35498,190
33615,0
41322,33
39742,7
38233,0
8865,72
44304,24
41466,7
7254,22
14652,29
39603,20
0,0
16175,70
13559,28
41153,102
18232,104
9135,20
31530,52
2056,4
15512,43
45087,67
29832,26
6463,24
32148,14
44307,23
25352,92
16133,87
35471,7
24294,76
33527,177
15950,227
41631,118
19197,105
6436,0
21395,87
24371,91
37900,9
35609,238
16321,6
33942,11
12977,15
18942,44
5591,15
37492,43
10155,199
7316,4
31398,5
44468,190
22376,8
46424,39
13116,53
48199,7
30030,49
40667,97
35364,217
38434,0
31462,14
46972,37
38189,24
27422,76
9892,8
28271,15
14413,84
40484,10
0,0
28836,10
30722,49
37483,56
17790,10
26101,6
15506,51
22496,9
28663,7
45283,208
23999,82
30282,7
38990,38
17182,59
33190,184
25168,1
45061,125
10097,13
22363,40
10892,112
677,3
31966,29
15598,0
16627,69
16010,36
20716,100
27276,6
33307,1
0,0
32775,2612
15467,58
8660,81
19091,24
11456,23
42475,55
41712,41
36258,37
37090,41
19197,90
0,0
29790,20
34719,234
16420,23
4176,5
41153,63
34612,92
28732,46
16106,18
14292,10
12351,57
44304,122
24339,35
21584,116
27547,29
13542,12
6941,110
14044,119
41601,43
27807,22
0,0
15527,150
11027,77
18113,59
34993,9
18936,0
23850,51
10170,73
16561,299
7257,15
17120,42
10031,22
10622,96
27532,101
23521,95
42223,7
37201,515
0,0
31073,68
48048,2
23736,40
25619,33
32775,3562
46634,64
21969,24
27192,163
13001,0
28476,145
18558,64
11794,6
47551,41
18053,0
19797,12
31593,25
48003,65
25011,210
13887,50
24303,33
15926,55
45524,1
31013,73
26670,136
41442,7
29592,67
30827,129
32775,4482
45406,24
34217,135
15977,198
25110,1
2907,49
19970,139
29009,41
12062,5
39062,232
43114,74
16788,111
40655,22
34761,41
34773,110
37210,17
21716,33
10886,103
32148,69
19407,16
19100,1
13248,74
34316,6
37156,14
0,0
1624,3
17877,19
30099,6
37476,0
37261,117
24922,9
47799,11
47445,3
23221,325
12671,10
20831,24
30504,118
38536,33
509,25
40537,13
7316,136
45451,62
46039,28
6806,10
41121,134
31309,169
36740,2
16561,83
46774,46
22849,174
40714,36
25877,191
8221,6
9066,0
16940,76
23221,194
8841,10
12057,20
33223,79
29820,61
36855,0
26703,5
38867,14
36077,56
17666,73
29682,61
42853,6
43390,27
16961,1775
33459,80
19275,39
24832,187
7435,31
6569,36
21509,3
37492,72
7121,46
28092,24
24916,63
36447,25
41628,97
38153,25
34806,33
36606,45
19589,162
26859,147
29831,0
20964,20
27754,27
9332,33
37372,6
12787,164
44341,64
13509,45
14828,6
23308,45
20895,200
23203,42
6980,17
43515,21
25225,18
31046,9
10839,97
48982,0
17564,10
26310,56
9748,3
36511,5
31192,31
16931,1335
48054,65
20688,0
26737,0
43191,42
42567,112
7518,163
12319,0
44153,141
0,0
23320,216
45483,64
30454,0
40930,43
32160,64
31901,53
5429,1
24074,100
33603,19
47736,0
40267,4
18110,153
13983,0
26984,9
19309,83
17434,45
25728,41
41885,12
17468,4
0,0
22840,179
28397,88
33062,83
42090,41
41319,163
9126,24
14943,0
25964,8
215,614
14460,13
30749,137
24131,9
46950,15
25736,43
47162,57
18888,2
37591,12
0,0
3021,9
32151,158
32432,84
16856,71
9546,231
34764,106
25889,13
43792,1
32148,418
11829,35
28735,0
36942,25
16961,2447
25337,262
28200,72
9869,131
33542,16
43988,89
15696,3
23224,4
42603,85
0,0
13188,7
48072,16
30367,1
23784,150
44623,128
20152,11
19649,162
41550,7
23173,52
0,0
13378,2
39440,143
13137,63
16955,17
8893,38
35498,139
33033,63
36731,42
15476,477
28983,13
41903,25
26978,81
22136,154
7278,15
23158,92
8802,15
29868,260
45825,23
27383,23
23784,55
25775,62
36423,24
6944,211
3909,9
30611,106
17229,56
24653,91
21908,36
15546,40
26614,21
16244,3
37978,85
10245,20
26844,35
21854,29
0,0
32262,10
40897,19
12392,23
33957,288
8007,5
43575,30
8092,197
46226,13
25678,35
28056,31
29835,29
14592,6
40613,163
31673,35
606,32
45636,38
26954,33
31153,8
32775,3632
15009,92
19910,47
16555,57
18416,9
8460,93
43437,140
4554,0
40238,37
27356,30
39585,16
42802,4
9798,31
13218,70
47072,100
7730,141
10892,159
31500,0
16528,2
0,0
7730,8
23104,61
38061,134
25937,337
34373,35
0,0
39671,21
39053,5
42175,40
39534,91
28532,113
11634,0
39606,47
35846,38
0,0
24291,74
24294,11
42499,123
0,0
38076,19
21575,114
15944,99
29354,50
32594,858
8959,66
7307,120
11178,54
32304,5
37201,498
21334,0
32600,156
47844,19
48172,22
30650,2
5941,1
0,0
28041,53
7715,51
33358,17
8853,41
44418,113
32524,6
7379,75
38002,11
14807,15
39440,139
2992,64
47306,13
26122,84
34719,94
46021,270
22514,11
18959,238
7364,79
21678,57
8083,61
20125,5
32554,263
8523,5
46274,9
7545,14
42096,16
15221,131
7521,15
35028,182
9317,82
24993,54
24993,77
2244,0
29351,25
20668,3
11030,89
20907,17
16567,56
39677,132
44424,48
33271,45
10140,53
19892,14
15036,274
485,54
14265,35
7129,33
22046,41
33990,16
39038,56
31004,73
12838,89
15786,20
6871,133
35145,31
20593,137
15735,181
24889,61
25892,5
15260,36
44880,89
23536,14
0,0
13152,31
20511,36
30240,0
46628,142
6902,111
15461,75
34304,8
11027,51
25952,18
2567,63
43741,30
21537,238
42961,17
9150,0
22975,56
21521,42
16342,32
24074,129
7138,13
18888,20
39365,4
32600,2610
22508,20
36131,78
17943,102
27398,217
16961,1702
7073,15
45604,2
15201,33
17101,10
13686,89
33849,8
31832,18
17351,31
21945,9
32068,17
20379,3
19147,19
30462,19
27996,19
11299,22
9045,60
29562,47
37615,20
25207,113
46176,10
32775,4550
14490,2
14460,16
467,24
17274,44
28173,137
22775,18
32775,4559
44304,142
25544,36
19961,40
45787,17
22139,6
31621,86
15153,16
787,167
10365,32
34092,19
26376,8
15254,15
0,0
35196,90
30944,384
718,36
28645,85
16761,56
9207,86
48003,138
2867,22
38013,112
27090,16
37642,1
13014,19
7696,75
23379,225
28726,10
24948,46
6075,5
34062,1
46370,3
47727,308
37891,5
24817,41
43054,100
9926,35
30412,43
7589,83
44432,3
12449,12
33730,23
32775,4291
43605,8
28551,0
8820,69
14454,21
27574,118
40613,56
21245,41
7696,89
0,0
30516,166
21872,95
48145,242
19488,93
31972,12
8021,7
31423,103
45113,0
28564,38
12725,21
0,0
26689,12
35465,156
21338,109
7465,0
0,0
32328,43
29431,0
47183,2
40646,136
11835,21
24978,11
0,0
7423,6
27183,15
33882,64
33697,26
47168,14
37987,80
6755,60
33718,27
37198,69
29973,72
19458,15
47087,67
20528,99
37495,105
31645,28
16961,347
47745,6
39293,9
10988,11
0,0
21537,125
24101,38
14855,101
30504,35
35340,29
46382,15
38840,201
37432,52
22627,60
38076,23
21212,85
27574,15
46005,58
14706,37
33292,16
38951,17
36357,161
39368,47
35154,107
45364,214
31717,98
10892,59
0,0
42271,12
30803,12
42298,70
7189,250
0,0
23452,142
37201,67
43581,0
39362,23
41721,46
19497,9
22148,24
31135,53
32594,1492
16961,1951
22043,26
39407,87
34352,36
15181,0
24291,119
28397,73
37915,71
27049,70
14855,115
42138,260
31342,162
37675,53
24392,53
11235,131
32775,4176
33906,77
21704,0
933,15
19112,56
31013,54
12911,48
42505,53
33250,11
19797,30
4047,7
15618,34
9863,130
31013,259
15361,8
35597,233
12480,159
31360,40
32080,33
23613,5
0,0
35148,58
4264,29
44969,7
22046,11
27404,13
12993,37
6746,28
31370,0
25301,34
45736,53
26793,12
41859,21
14172,4
31150,10
8010,2
32772,151
24557,0
28627,106
18238,46
41014,182
39056,12
23521,81
20276,11
31969,85
41109,12
41296,10
41088,19
19317,4
33262,66
32775,1426
43000,29
0,0
37717,63
25728,87
6194,60
24294,104
33569,86
33990,11
17987,0
24948,99
22178,33
3762,0
41385,28
43744,0
23702,53
46433,0
0,0
4283,62
28940,0
11596,31
8128,43
41520,11
7394,44
36128,1
44368,4
43741,6
33113,15
760,89
24653,23
21537,11
31823,7
27532,50
16106,134
11163,18
13521,5
23742,13
19248,4
28254,25
36384,66
36402,2
42600,4
31117,7
15527,179
31386,10
0,0
37201,197
0,0
15654,12
39677,79
41213,62
12609,20
30246,132
22136,90
28113,287
26206,5
748,155
16076,16
35612,48
29658,6
20895,163
10681,225
14071,60
33295,25
24020,33
27350,24
47087,101
35480,10
40099,53
45763,216
17955,81
39826,9
19287,51
787,4
43476,20
20713,49
27425,104
35331,93
16961,60
27288,46
30998,130
12392,67
0,0
24291,128
0,0
10459,5
21227,189
17754,5
33349,21
27801,55
10684,9
31726,94
36737,4
13893,10
29000,58
23403,38
37024,114
0,0
37987,46
45061,180
41153,20
32554,189
14220,63
31738,253
25122,18
44880,55
21710,10
31153,24
29739,2
26960,46
44129,37
0,0
8968,44
38666,2
42253,20
