node_id,offset
23787,18
9138,7
37561,30
10317,40
10787,66
32769,56
40819,286
45793,9
12342,30
30551,225
27368,68
2867,5
16853,119
31810,42
28283,18
31291,168
35154,117
44356,44
6995,46
27652,51
22360,17
34137,1
9394,37
16106,42
27526,3
27960,33
29518,27
7889,8
29880,6
8496,23
37462,3
10681,39
17232,78
9323,1
13686,92
10064,21
40135,26
16931,1931
31305,96
32483,3
44350,10
21572,13
7586,99
20248,19
47952,10
4289,10
41201,1
41538,37
20206,65
35028,181
46802,0
15582,6
32465,144
29838,79
30504,75
10550,89
37171,27
44406,126
29934,14
29767,36
31627,295
25044,217
33960,120
36701,10
16387,11
15473,68
9332,14
26257,10
19856,3
25600,0
33539,16
33343,24
27713,8
43626,37
11877,23
32594,1433
15564,170
618,2
42740,96
16187,5
13866,39
0,0
31007,288
36930,90
769,20
28787,15
45834,0
43054,58
16037,53
25401,44
42462,39
32775,662
36701,48
17268,37
2741,0
17265,10
5322,5
47759,0
37402,40
13854,46
31395,12
35594,4
731,0
6986,14
41628,73
38631,66
29652,229
13599,47
47087,30
10146,3
16064,39
43617,54
15036,69
563,131
7337,116
46134,45
19437,23
28479,26
10245,5
48229,62
6361,5
38316,26
27951,33
46382,7
22220,93
21984,121
13653,22
39663,6
42742,144
24680,103
31204,23
39359,29
22870,79
46756,7
46292,22
12938,144
9382,2
16961,82
7468,3
17048,5
17395,36
40111,61
25748,0
24904,24
34860,12
41595,44
26808,10
6856,29
37813,50
8128,17
44704,152
32600,2583
19485,86
45337,11
9540,34
0,0
27574,94
31960,62
27526,125
30042,8
38204,54
44874,52
33104,63
14460,12
48060,17
41067,5
45556,12
26963,7
44253,71
8083,73
46110,49
40099,16
29435,73
30575,46
28529,7
25165,3
29832,104
16779,76
26188,117
42919,175
36906,47
28651,19
27258,33
31572,11
32071,24
14029,10
0,0
27586,43
33125,182
43988,240
25541,12
14169,37
31034,4
41979,80
17333,173
29838,99
8425,120
34894,8
39029,174
39020,10
13429,6
0,0
41517,4
24680,36
4229,0
23269,19
15476,459
11711,42
32432,102
32594,693
31465,7
5617,6
36716,20
30462,12
8086,111
20015,40
37717,39
10863,28
44942,60
48163,181
22076,18
7245,19
42931,31
30944,240
35538,61
39416,15
15242,163
30190,0
40625,60
34815,0
14271,81
40138,72
33748,46
35166,12
21500,37
26865,3
18098,89
40311,51
25544,86
18065,62
9546,46
31097,61
31061,21
39359,13
36077,40
10781,8
37201,625
37555,55
44904,15
40846,28
44776,115
17428,65
43666,38
31210,13
17153,26
13605,11
39502,87
25946,2
27446,169
28720,19
46021,318
30617,30
25970,31
7150,35
45364,375
31738,116
9302,66
24294,20
21602,45
2204,91
37519,58
15865,156
29000,23
21815,28
38840,18
28173,208
17324,3
11030,99
16981,29
23500,15
46857,1
9579,21
15311,69
41616,15
35465,99
38266,9
24939,21
29384,112
18208,16
43061,49
9105,6
34618,14
14633,50
33456,186
17531,97
42138,106
46217,0
16981,210
4304,10
32775,658
38840,81
33054,0
24089,34
47718,261
27377,61
11338,82
21266,59
33253,51
21245,3
11217,37
14943,15
45451,51
43813,18
7981,0
6910,96
33001,4
45742,10
15015,189
8047,13
23898,120
35687,23
31892,8
47381,23
37210,92
23913,5
36692,50
37480,21
34208,11
35364,193
2103,28
11356,8
31524,52
6947,17
44782,199
19470,10
11101,105
7189,472
21338,6
43203,12
11252,6
44350,45
7567,0
4286,46
18927,16
17853,3
25901,104
27398,184
31768,52
32775,2586
36276,3
28194,34
23332,60
23287,19
21786,7
41580,65
9332,31
47742,196
36761,106
16743,25
25005,67
7515,36
21878,15
20362,96
22151,8
40628,1
34689,103
31542,22
7049,70
34273,33
39525,90
45723,5
15512,136
28173,246
19847,4
11293,92
18169,39
22220,82
46252,32
31450,38
27258,12
29796,13
23314,23
48247,89
20665,1
39576,25
26206,24
25171,26
8230,71
18286,10
4302,0
24083,6
40864,73
35526,27
29799,34
23754,47
8092,92
32334,5
2062,43
19052,28
40752,64
28487,118
21215,97
19715,13
13414,121
32056,10
30836,145
32775,389
23320,107
29351,4
31714,8
30743,47
38153,27
30674,69
47130,0
21737,15
7730,57
2980,8
33792,15
21596,79
45250,9
23811,95
30246,167
21061,144
24832,158
30590,188
11009,4
38102,23
13298,17
43512,17
27240,83
25565,7
27222,53
33728,32
3956,40
9144,24
35633,94
9816,0
27123,26
23362,34
41700,80
8648,10
4817,8
43723,3
28331,73
47826,15
47451,1
20146,1
36258,28
41706,28
47736,179
27580,8
2588,31
19323,62
22187,3
18951,7
5323,32
9842,77
42184,37
42485,128
46661,16
33048,65
19952,68
7290,13
37858,10
12787,234
37246,5
40564,0
6090,63
32169,33
17931,54
21482,87
45331,47
48163,35
22043,74
40081,26
8185,0
26108,0
35468,45
2855,10
25619,3
5249,93
21578,87
35028,66
16360,3
41276,19
9013,108
11826,2
28185,19
39677,125
21701,9
45189,7
25625,27
31201,53
10341,50
43804,0
33697,13
27303,31
40795,67
7465,49
31063,0
2091,10
33957,286
26122,48
41682,7
13452,4
24270,35
22951,6
16133,189
10681,118
35789,5
10007,8
28337,56
40810,18
43079,25
13914,101
27957,2
44304,79
24674,5
32298,79
23727,75
37201,554
44223,62
23560,100
41775,39
46131,0
43217,96
22766,11
15518,118
13194,12
14988,45
41231,22
38575,36
2257,68
32839,15
14655,51
31459,108
37048,113
7610,51
46857,11
20038,4
37375,11
11968,18
38551,133
28627,29
28062,20
16151,48
9780,81
32600,1294
14472,45
30489,14
10880,44
25814,90
9977,60
33524,1
28564,124
33462,39
40703,28
34011,25
34379,100
16085,53
8098,18
41271,32
41538,4
13476,11
28185,39
29345,82
32014,18
47841,82
21920,74
27783,25
44310,9
22049,14
18909,22
16755,161
41406,68
17546,119
2495,64
3903,22
14867,61
31317,32
13656,0
35154,79
28570,75
47739,33
47748,61
41873,2
47466,34
48051,181
31554,33
23711,13
40646,139
46783,56
38864,127
13605,102
35370,9
23137,45
43115,0
46018,70
18680,0
19901,2
24706,17
7059,0
18977,187
33298,67
13158,97
20409,67
21103,109
18696,2
4834,1
28268,13
44981,26
7568,38
14867,51
10607,40
27326,1
13309,17
28194,114
21782,64
8865,129
10007,9
41592,126
44905,0
45343,176
8128,45
9090,18
45093,50
24904,42
34455,114
31759,36
30252,81
36981,167
13164,173
30659,81
42401,32
40235,16
39488,7
28236,27
28113,24
9471,14
20713,144
8927,4
26173,7
31192,104
42623,57
37387,14
41849,0
44090,3
39161,4
22499,26
9561,51
37111,75
44597,36
20777,29
42841,106
31339,29
33748,53
19586,11
32822,38
44968,0
13605,115
18552,5
16561,392
4058,1
27649,31
16420,20
33140,114
36728,169
37813,164
38744,12
30465,90
20478,3
27201,81
46391,183
15105,6
47108,141
8790,17
46958,5
14568,8
31518,17
32646,21
21716,67
6201,80
45443,0
38987,143
33274,23
23332,18
30450,15
24291,44
12612,27
42057,30
22109,90
21416,45
17531,9
46454,5
23652,2
28690,18
38394,2
37018,126
32643,45
38043,94
33459,76
34059,86
31234,142
11971,19
15033,293
16981,70
2650,65
16244,29
37486,85
15865,24
48256,133
36432,92
39537,13
45868,0
26643,36
36820,79
28636,7
40825,33
30447,20
37027,19
20343,44
32113,104
13322,0
40864,8
7343,116
28083,0
43340,26
7219,1
44123,59
45364,187
33456,326
37837,50
30944,182
46283,9
6859,127
6839,62
15242,131
23827,128
36432,123
32559,9
23661,62
37255,6
17739,4
18319,20
32775,1649
38645,18
16528,54
25201,47
17212,0
29652,136
0,0
37492,87
44153,87
35461,0
46021,185
41481,20
12639,18
40320,14
10967,42
6618,18
46866,89
32775,1361
21485,13
19323,200
23622,11
23560,72
27697,107
47731,96
15537,46
35570,7
7361,22
9090,65
31079,9
33903,15
7144,2
36402,103
45301,82
33657,1
11398,80
43100,16
30707,15
38207,22
32775,2793
11139,27
2847,0
7607,57
37735,21
30959,136
44476,0
25678,43
39916,10
14639,6
14454,60
47500,43
15476,344
47958,118
5255,74
44924,80
25364,15
25195,17
38367,28
8299,88
33301,84
28606,1
33689,4
38379,195
28218,146
31726,90
47142,24
39990,11
7150,291
15598,96
31624,342
34140,11
47381,37
8959,77
22840,63
27446,205
22627,53
38569,56
26919,13
19126,31
19565,5
47105,7
34355,91
45699,37
25349,35
14562,126
25201,26
19733,39
20370,20
27532,158
17618,26
19141,3
7346,60
24686,27
23939,11
23059,66
43663,3
31615,121
39531,76
19218,41
23239,0
35049,17
21061,102
42784,40
37045,46
35340,3
14978,0
22043,50
16417,4
25485,8
45811,48
6803,45
31395,19
12359,20
28738,79
27774,110
24274,32
32250,62
36689,26
21777,110
32946,215
36713,48
7346,159
22946,0
41121,139
12914,52
32828,36
14522,30
20382,136
31491,19
10245,44
24627,22
41346,42
29550,52
30551,470
13950,3
24817,104
32594,175
42796,6
26277,19
38144,38
40840,3
27999,49
44081,6
9090,100
32775,1507
19082,145
4280,17
18514,8
26516,1
38205,64
13992,143
43723,42
8237,96
34205,22
13692,10
27488,0
36713,47
