node_id,offset
23727,60
8968,17
37504,100
9780,27
10353,7
32594,1118
40546,41
45203,0
12054,11
30237,22
26907,34
2213,33
16672,23
31536,14
28080,4
30998,298
35028,48
44051,32
6394,2
27431,23
21984,74
33624,21
9320,2
15696,27
27446,155
27584,0
28931,27
7771,35
29691,0
8317,41
37204,20
10296,51
17185,31
9090,150
13191,66
9602,11
40132,49
16618,17
31052,11
32203,0
44051,61
21123,49
7216,71
19515,9
47530,32
3956,36
40819,18
41538,37
20206,65
34367,82
46559,13
15048,42
32122,46
29494,14
30255,111
10174,0
37042,21
44304,70
29850,140
29461,36
31279,32
24492,56
33960,122
36140,49
15944,394
14929,3
9332,14
26122,43
19856,3
25538,89
33539,16
33004,22
27347,8
43051,38
11590,64
32582,23
15206,0
618,2
42438,37
15959,0
13866,39
42903,118
31007,288
36841,5
609,8
28546,11
45708,9
42462,170
15600,117
25266,50
42006,42
32594,1033
36215,3
16961,655
2094,43
16931,1112
4797,0
47736,101
37306,10
13722,48
31019,34
35468,65
732,0
6454,13
41628,73
38631,61
29259,0
13161,82
46391,204
9388,71
15889,23
43051,36
14685,15
563,131
7004,61
45874,39
19085,1
28062,19
9561,213
47727,266
6361,5
37891,54
27431,10
46110,85
22220,86
21509,112
13652,0
39119,1
42063,9
24288,31
30857,39
39146,20
22495,0
46128,9
45811,19
12572,24
8844,3
16621,196
7275,66
16931,2292
16978,18
39627,11
25189,85
24267,14
34405,43
41136,2
26663,0
6782,129
37678,2
7613,10
44629,105
32492,100
19082,48
44992,15
8865,73
34632,16
27309,16
31630,131
27526,125
29832,91
37930,10
44573,17
33048,134
14232,54
47745,16
41032,68
45328,52
26763,38
43756,19
7418,17
45784,48
39350,94
28654,115
30213,322
28161,29
25155,23
29670,38
16561,157
26018,12
42400,0
36288,69
28280,64
27201,63
31441,4
31621,96
13602,19
22406,74
27228,6
32775,2640
43741,14
25267,0
13854,70
31034,4
41592,47
17333,173
29550,64
8314,111
34881,1
38708,39
38717,0
13429,6
31765,0
41367,72
24270,4
4050,1
22645,5
14861,147
11338,81
32238,22
32148,452
31462,47
3737,0
36288,81
30352,9
7586,119
20015,40
37663,13
10308,6
44468,160
47937,39
22076,18
7067,11
42617,16
30668,70
35040,57
39155,8
14840,0
29922,3
39916,38
34273,87
13794,3
39555,12
33292,14
34963,3
21320,38
26510,20
17877,116
40311,51
25544,86
17733,23
9483,16
31097,61
30728,50
39074,56
35532,160
10287,11
37201,625
37528,220
44904,15
40572,4
44629,50
17232,32
43067,14
31004,145
16817,19
13500,15
39182,28
25395,3
27144,61
28508,26
45382,118
30572,80
25970,31
6560,9
45322,28
31309,69
8841,17
23931,28
21602,45
1787,0
37441,26
15467,3
28808,0
21440,0
38296,7
27592,2
17109,14
10828,2
32697,298
23500,15
46676,6
9207,78
15221,72
41180,7
34860,21
37900,89
24291,34
28681,61
17630,163
42484,19
8717,22
34083,14
14633,50
33456,186
17404,24
41784,61
46205,11
16761,45
4303,0
32594,1067
38451,22
32972,77
23963,43
47542,7
27183,16
10961,62
20704,0
32927,47
21167,24
10961,114
14490,101
45307,84
43215,48
7403,6
6874,120
32775,3939
45627,30
14481,6
8047,13
23613,41
35453,19
31578,36
47036,17
37024,39
23379,2
36297,44
37195,181
33672,23
35035,0
1118,0
11282,104
31395,32
6865,14
44623,11
19380,25
10805,3
6839,66
20846,27
42856,21
10949,54
43861,130
7236,67
2410,4
18422,1
17772,121
25778,1
27234,9
31395,176
32554,19
35624,61
28095,180
22804,33
22684,64
21537,291
41162,194
9332,31
46953,78
36508,58
16485,41
24618,14
7435,118
21605,20
19889,19
21992,0
39739,3
34534,61
31135,55
6908,25
34190,34
39395,53
45492,75
15461,28
28041,91
19443,13
11214,34
17832,37
21875,53
45769,4
31007,111
26930,26
