node_id,offset
991,98579
1067,101999
1067,16623
839,10310
704,89207
949,115259
1013,171618
106,312
839,131887
622,36075
981,11590
881,64346
841,1944
722,2311
977,91646
991,71199
1063,203675
839,91027
981,113014
873,906
981,123136
881,103614
1067,45213
714,36757
917,19450
802,32183
977,103880
839,189700
981,34302
660,4051
881,53112
1057,79274
839,144589
1047,35618
1053,100018
714,9825
981,63483
977,133839
802,40477
1013,135079
925,49647
991,49226
1069,43107
1067,47545
1057,60301
702,141191
977,124857
949,80927
628,128357
1063,70491
1047,51747
1053,124235
1013,140497
628,126394
991,148507
881,121859
1087,76437
839,128520
758,1334
772,6085
831,22293
57,350
688,7756
1067,49169
1087,18418
702,174351
1067,54871
1077,1322
1021,11576
656,56161
714,53624
1023,30151
1061,1353
1057,40918
1063,18743
839,33097
1067,46622
714,17563
1057,66166
1057,3900
684,7389
881,87383
376,72
925,79861
1067,109748
1013,91550
991,88833
1057,77331
839,8840
949,115106
881,52630
322,113
981,54247
949,97115
784,65351
1087,89871
802,59914
925,76722
788,9193
738,19454
971,6876
881,92153
917,28049
1069,27161
628,150887
758,5998
1047,62280
1013,27112
1013,105625
338,148
839,37941
772,12150
764,13467
704,63820
991,139285
802,81944
861,242
828,67649
232,415
1069,1618
911,71783
704,123595
622,36405
738,32491
628,97795
849,34169
919,7692
1087,35650
917,21451
582,446
772,33838
1063,204371
1053,126164
981,11287
1063,143293
925,30099
448,6
738,25665
1087,43078
802,20017
1039,37602
714,3520
881,180691
911,68638
1053,7647
919,48940
1067,86470
991,8066
824,25813
812,11205
702,180607
977,32003
1063,155628
981,126844
991,21001
925,126086
881,21804
1077,23604
1013,16424
839,98333
911,123011
1013,226852
788,5926
1097,29614
981,18976
991,109897
981,130640
1053,3259
1023,10465
784,67156
1053,113539
806,9930
981,155
1053,98771
702,150695
1039,476
919,6034
881,123074
622,25340
831,10475
925,81235
1097,34944
1039,33538
702,164187
714,92060
704,89091
704,75490
881,177070
1067,68223
839,83374
925,57645
255,403
971,36447
911,50963
919,79274
702,58145
991,125988
919,45666
839,152138
963,20470
949,26192
1053,42511
841,20982
1067,4649
704,98623
824,37655
656,6117
784,25008
1039,35531
911,88188
2071,17
1067,38911
1067,39073
991,126193
839,185995
478,257
1053,119159
622,22840
702,171302
911,87425
839,202074
841,18554
1077,1069
1015,9301
1061,4311
981,105057
991,20863
849,9854
656,56318
1067,90774
1057,3382
925,90611
1013,175514
702,120184
738,37115
1063,33093
991,170560
881,111128
1013,61129
1067,30299
802,38778
704,11616
1047,58248
628,115528
764,8850
977,126644
911,19137
1013,720
977,45
784,65863
1013,197338
1057,92538
57,119
628,141943
991,147211
977,61284
849,24495
628,8651
772,30078
971,54274
981,45170
1015,16668
839,87983
881,178104
812,59290
1063,103168
1057,53381
812,6267
1013,176223
1015,3924
190,213
628,30335
806,6720
714,89129
981,131085
702,22878
101,394
1047,61648
1063,215608
1097,41793
1069,70213
981,97781
828,74362
831,754
867,2490
704,109268
85,120
1057,69283
911,29620
1055,56267
1013,181968
1053,60712
839,71690
1063,47135
714,121464
839,123664
1057,86118
1057,68894
828,21628
1013,59458
814,13666
1053,4996
704,22814
1047,68997
911,65687
1013,133680
925,123027
704,23467
628,27388
881,179915
828,51504
814,13180
788,23432
704,38439
1013,192039
1013,65145
702,195370
764,5460
1057,6697
814,10791
824,57840
2163,6
764,12044
788,26137
1087,96543
981,27153
839,167324
806,15267
704,127011
937,2759
772,23612
949,73641
622,6958
981,88454
881,29733
963,3773
963,25697
981,118993
812,38543
481,129
839,12330
596,160
1039,36858
839,94040
1039,53726
881,35993
831,4282
628,129213
881,165016
1063,164805
1039,57393
839,144745
828,46788
784,64562
1067,49990
839,64092
881,1904
656,53332
628,140432
784,11687
784,24068
859,5650
1067,74112
1023,19765
963,8037
977,16552
977,57863
824,39551
628,75014
772,24404
1047,28017
925,15622
714,21932
1063,42945
1069,69808
714,11481
977,163444
1023,8282
622,32674
8,85
839,3766
911,9403
1023,38407
530,112
849,27145
919,95711
949,86292
977,54337
925,108751
925,119885
714,64440
95,264
977,158386
714,132377
977,16690
1067,55393
1013,42818
1063,55169
1063,176153
981,3556
1087,92730
919,93781
784,43917
977,53604
812,425
981,25230
1063,195544
839,28934
1013,162887
1013,37576
1013,204894
1067,82288
977,55231
1061,16663
824,15520
977,106882
1057,43739
881,110916
1023,28928
