node_id,offset
991,98579
925,84870
704,21909
839,190387
1039,19996
704,65556
1053,99905
919,123317
1013,491
849,31642
1067,14425
1087,18170
1057,37131
859,4518
714,37313
784,31232
814,10974
911,56229
788,22437
881,142389
919,65487
802,59524
814,10563
784,67340
1087,104452
429,354
1067,31902
991,162207
1013,110366
839,22131
704,10785
963,24003
981,54904
981,37881
1023,13991
919,108066
140,181
1057,76301
702,126493
1067,105333
981,14626
1057,96166
1057,15250
839,187479
702,55160
925,81630
812,46435
1067,63063
977,26222
698,28
802,44198
919,67428
1013,102002
919,122775
828,24365
702,37529
1063,72037
839,50406
1023,22885
977,163313
714,65184
981,75886
971,38094
714,4960
1053,61913
702,68737
911,103164
1063,114443
881,151435
784,66910
1039,47382
919,54888
828,69085
1087,92829
1047,41175
839,96659
977,130296
925,125067
824,51710
839,7488
702,183154
1039,27331
917,30143
802,26026
756,7338
714,92033
981,45132
963,1295
991,132427
849,22018
981,130982
1067,28656
839,200725
1097,34007
925,73595
1013,34293
911,1320
1055,32679
1021,31503
991,132477
963,7883
881,74119
702,98673
704,64521
476,231
628,95100
784,51220
1069,68648
881,93875
991,150622
839,67730
1087,3325
622,33003
1013,165356
1055,40014
839,146129
112,325
1047,5319
925,122586
1097,41842
1013,78876
1063,191567
1047,61626
1063,111669
1067,34969
839,175481
991,49226
814,13293
1047,8200
766,12786
1087,101929
977,66213
702,79995
981,56079
628,112193
1061,8416
406,81
1087,38773
772,8097
881,21410
925,9579
628,60360
881,186275
684,10326
1039,22219
1057,44001
949,23308
949,70755
991,101049
1021,20600
1063,77425
1047,105698
828,8506
917,31524
1023,38077
628,166611
981,100822
656,62324
1053,73646
784,18103
949,103528
949,19786
2059,4
911,8983
881,44422
187,10
1063,65876
1015,9715
702,108800
949,104406
714,114548
839,21925
981,53744
1013,60945
917,27475
702,32561
704,49312
949,107382
628,70670
702,137224
1039,43813
971,36656
702,20069
839,68048
828,58599
981,1937
1039,1616
991,22126
881,159301
828,42174
702,114236
688,14627
1063,211865
814,9176
881,139022
704,71648
981,51295
1047,17328
1087,55695
839,161824
828,56714
1013,200068
1055,18470
694,2428
881,2501
1013,177197
881,973
991,60224
1063,204083
881,83643
802,26533
828,39632
828,38520
971,32965
991,96370
802,41876
991,176282
1023,19713
1087,64435
1039,16350
1067,8205
702,204146
2064,25
1069,41976
1023,27969
991,133881
1013,74180
1097,5353
1057,56134
802,27278
702,131564
1047,46770
839,11426
702,93174
764,11064
977,83467
266,210
1013,6143
919,120726
991,1709
738,5631
949,11371
881,71801
1047,77366
859,14091
702,50885
1047,84350
628,116154
702,22693
937,2378
925,108792
881,184935
881,72556
977,18055
971,35693
812,51012
971,3140
1039,9529
704,83054
911,117419
1057,4373
1013,3142
1063,221106
812,34432
273,224
839,128330
1067,105111
911,10702
628,79571
1067,86642
911,18971
704,141489
1013,77278
881,37201
911,58468
981,69805
802,5641
925,17054
824,6380
784,26279
1069,45561
1107,83
1097,38890
1047,112025
911,73226
1023,31891
