node_id,offset
0,0
0,0
106,47793
492,25593
15,62361
0,0
259,5214
118,11489
115,14669
148,19122
56,32729
0,0
263,146315
269,23551
539,7378
0,0
492,111732
0,0
94,64495
115,23585
0,0
0,0
106,141601
304,25496
0,0
265,88904
26,1984
0,0
24,6150
0,0
0,0
0,0
0,0
119,27972
0,0
0,0
115,7253
148,242
0,0
19,11540
0,0
0,0
298,46672
24,41247
0,0
0,0
295,5830
263,92655
31,2643
0,0
0,0
26,27751
24,42764
298,6459
492,3867
0,0
106,22628
265,0
106,23793
0,0
315,20115
38,6520
0,0
109,7693
0,0
0,0
118,1484
119,1573
265,18160
492,63869
285,90091
52,6847
22,4541
36,52626
190,5471
263,128001
295,4350
0,0
24,8584
94,166268
15,51851
24,8425
0,0
0,0
265,11549
152,6601
94,35108
94,177643
275,12549
25,18177
263,49080
6,31233
476,17780
0,0
0,0
0,0
0,0
485,41208
148,28890
0,0
2,3485
91,37128
0,0
52,18359
99,48341
0,0
0,0
463,35156
22,3733
0,0
36,77346
56,7924
0,0
67,8617
265,50427
451,7621
56,33008
115,17882
6,41817
29,48138
0,0
0,0
24,23821
24,78396
24,69380
154,1823
0,0
115,3599
321,16925
289,14004
0,0
474,9326
0,0
108,36369
0,0
465,17199
17,23387
0,0
0,0
265,6720
0,0
38,37308
0,0
304,7716
94,194903
165,6499
0,0
0,0
0,0
94,107105
263,131284
152,10322
0,0
29,100905
285,54045
25,46881
285,95602
36,29744
0,0
263,50785
15,27729
275,40514
0,0
265,7634
263,93012
52,19365
0,0
0,0
0,0
101,26960
101,24962
0,0
0,0
94,42192
0,0
463,90231
263,163661
15,1176
304,16840
0,0
492,120964
0,0
265,56886
0,0
108,36899
321,5430
463,6042
0,0
265,72437
0,0
119,13371
0,0
0,0
38,68712
106,100649
485,46239
94,191810
0,0
110,5464
0,0
0,0
99,44305
29,44242
0,0
0,0
74,2900
116,313
109,4517
0,0
108,3930
0,0
295,8914
71,1598
29,8399
106,115663
0,0
71,1163
94,36648
275,38416
106,131934
29,18069
24,88119
455,5173
0,0
101,42914
94,85832
0,0
460,28831
24,26197
0,0
0,0
6,106745
52,21251
43,2076
99,58906
0,0
285,0
6,16561
6,64668
0,0
0,0
318,12682
463,32671
0,0
0,0
119,22381
485,16993
29,46101
24,12050
39,865
0,0
121,1869
492,78663
25,561
101,17189
463,57975
0,0
0,0
164,2115
106,166112
0,0
263,106822
15,39966
0,0
0,0
0,0
101,43104
0,0
11,5793
463,84566
265,1569
25,28448
0,0
0,0
94,46597
0,0
289,6736
0,0
263,183888
246,7955
275,27444
455,2063
263,9429
0,0
152,9714
0,0
283,4638
0,0
165,6598
263,178526
0,0
265,48299
