node_id,offset
105,424
105,3876
101,1593
105,1597
103,136
105,113
103,821
105,646
105,2581
103,575
103,83
106,91
105,3859
105,2983
105,1668
101,753
101,1759
106,1443
101,2921
105,3145
105,2562
105,1377
101,921
105,41
101,921
101,836
105,2308
105,2396
105,116
101,2181
105,2520
105,2621
105,1766
101,1936
101,1829
105,2322
105,480
101,1304
103,941
105,3862
101,2512
106,300
105,3637
103,1077
101,1125
103,339
105,555
101,535
101,2638
105,243
101,431
105,3665
105,1516
106,15
105,1944
105,3494
101,2896
105,2316
103,451
101,2722
103,1066
103,972
101,7
105,2636
106,408
106,278
106,334
103,947
101,74
105,2035
105,410
103,223
105,2070
105,2784
101,1284
101,1528
101,2437
101,1579
105,3850
105,793
101,376
105,3869
101,2871
106,876
103,303
105,2611
101,1211
101,785
105,1818
101,2802
101,186
101,641
105,284
105,2643
106,353
105,3862
105,780
103,577
106,52
101,1553
105,999
105,1758
103,885
101,1985
106,523
101,2331
101,2303
101,2441
103,542
106,239
101,1126
101,2830
101,179
106,452
101,1006
101,1274
101,942
105,3172
106,1224
103,1021
106,29
103,870
101,888
101,631
106,196
101,1254
105,3632
101,1715
105,2683
105,2228
101,1307
103,931
105,2737
105,1518
105,3638
105,628
105,2716
103,477
105,1532
103,172
105,880
105,2322
101,1309
105,2180
101,661
101,2504
106,506
105,858
105,383
101,1953
106,432
103,372
103,250
105,2964
106,1521
105,1616
101,1043
101,1204
103,878
101,158
103,986
105,3449
101,713
105,2856
105,1864
103,976
105,167
105,1204
105,1797
105,1615
105,566
105,3441
101,1956
103,544
105,1263
105,829
105,919
105,2697
101,1170
101,673
106,388
101,1261
105,1062
105,2185
105,1652
106,330
101,773
101,2485
105,3731
106,881
103,732
103,1107
101,2548
103,508
101,2353
101,2489
101,796
105,3669
105,856
105,2968
101,1256
103,513
105,1781
105,1081
105,3102
105,3561
106,1292
103,598
101,1352
101,1400
101,2048
105,3844
105,112
105,298
105,980
103,248
103,1338
101,1351
106,86
106,1268
105,2265
105,1486
101,1571
105,39
101,128
106,1145
105,869
105,1928
105,1496
106,1533
103,1112
105,1462
103,49
105,308
105,3501
106,398
105,1401
106,301
105,852
