node_id,offset
482,1500
36,105195
311,2757
490,68362
265,48202
106,130622
304,2597
482,1409
259,4107
38,71476
263,62445
118,12249
263,188255
19,3948
178,1388
263,121571
451,35480
119,66018
492,90370
101,55889
321,7382
463,90761
463,13768
450,5151
11,12882
34,21260
106,69688
24,41198
5,2505
108,37008
468,15616
315,8674
93,11752
246,10177
321,26471
109,38905
463,69386
111,14994
455,7961
6,65574
285,36656
186,4020
265,52635
275,2470
36,52962
6,107042
38,12366
317,1568
38,71254
295,2043
476,32104
474,16009
106,147397
94,20789
275,36647
379,3956
265,25081
265,71963
111,8784
25,3559
71,549
463,79006
285,99385
265,145126
24,31848
492,66298
11,32273
6,111628
6,51403
140,133
119,34244
336,4126
465,555
573,3106
451,37711
3,8361
471,265
263,169309
154,33737
285,77654
287,16639
282,4063
94,169454
478,1380
2,9288
192,8159
56,38823
298,736
463,35296
15,45268
265,69652
263,189134
289,17426
463,11418
106,27860
56,35008
315,18140
490,13708
708,97
192,13114
119,13121
31,10129
17,8846
269,1066
722,279
298,8380
490,23607
1,4037
41,14689
265,15714
321,39137
94,101972
184,588
106,5037
22,21616
36,73029
106,148676
36,88258
119,10677
29,111875
460,14752
327,170
285,101679
89,8176
463,100949
11,6926
285,10479
404,8153
285,41166
102,9102
38,18308
463,137002
492,9248
490,13810
263,188443
17,23478
487,5974
490,37130
476,4331
550,540
115,11083
33,11844
154,8663
490,18609
33,394
24,19251
121,18607
433,5961
289,25097
463,24365
165,10894
265,72665
451,910
275,50019
106,79283
165,17899
285,62806
539,17763
313,737
99,32491
278,3453
785,935
463,77731
11,24363
31,13590
38,93464
282,2080
6,69303
109,25531
474,10513
465,634
74,2708
859,224
289,22553
455,22259
457,842
33,15075
36,78729
289,20332
174,1252
101,66280
645,150
94,74231
460,1877
33,1595
263,20998
106,63861
109,18374
298,29223
6,130033
165,16659
99,55789
476,34349
11,67371
38,20895
24,63624
64,2356
561,22
285,4194
29,78493
423,1370
99,66609
378,158
31,7847
3,4441
36,103014
379,322
490,58793
143,1265
24,86854
34,3766
106,127171
24,36283
94,141713
38,66608
29,117059
132,7580
6,33817
165,9945
64,1084
649,662
559,320
246,23279
91,34251
106,77806
101,65341
178,1889
263,135248
15,70485
190,13307
298,52811
474,5912
263,177072
292,3600
129,9497
461,42
492,17743
287,18114
6,37245
461,4848
455,4012
154,36744
101,81283
101,51093
115,5509
6,79262
263,138463
492,76521
38,73426
26,23287
827,255
34,9080
101,97072
101,105720
121,3832
313,6001
379,430
263,166171
259,14821
52,61873
265,141549
911,417
154,56722
313,189
36,90797
507,387
