node_id,offset
2,4096
1,1975
1,7191
8,29545
8,24008
15,3310
1,47844
1,14703
1,31175
11,4506
1,45594
3,18510
11,5689
11,6411
2,5427
3,11842
16,5002
8,4605
11,21062
1,2596
1,4340
1,6614
8,17195
6,163
1,30914
11,18903
15,970
8,28052
2,4390
3,15300
8,19687
6,3503
3,17640
8,33561
8,6364
16,4543
0,0
15,5122
1,16058
8,2574
6,3581
6,2075
3,3907
8,12812
3,5599
0,0
1,20574
8,12750
8,7926
2,2341
1,13034
6,3041
11,16553
11,10723
3,7188
1,43695
5,938
1,39422
1,5129
8,12023
5,1829
16,6039
8,34072
1,49374
11,25955
11,116
5,5992
3,19421
1,35817
0,0
11,9271
11,12654
11,17183
11,7732
3,9827
1,35675
11,5063
11,5789
3,12616
0,0
15,4553
8,22787
5,4870
8,68
11,12760
3,230
11,19031
6,5825
1,26464
8,25882
8,6329
3,12508
1,40490
6,6004
8,1956
11,23018
15,4520
3,36
2,918
8,13304
8,32749
11,8451
11,11049
2,2360
2,1352
1,21081
11,21353
1,9451
8,32414
3,5080
3,4464
15,1001
16,645
1,9339
3,7163
3,4993
8,15791
11,20042
1,15049
8,31737
3,7131
11,14428
2,211
8,17995
11,22519
8,26310
11,1815
11,10234
1,28358
1,29260
8,15160
1,14450
1,49589
8,23937
5,1105
6,362
6,3340
0,0
8,3994
0,0
1,4968
1,36425
5,1563
3,12992
8,24077
16,6302
11,523
6,2035
8,9954
3,4512
0,0
0,0
3,19246
16,392
3,6653
8,24853
15,280
8,32038
8,29488
11,16602
11,13648
3,10730
11,3648
8,14585
11,20683
2,6176
16,6162
8,14659
1,21097
8,22886
8,17838
2,550
11,16979
1,5560
8,26696
11,14250
11,1055
1,41304
1,44705
1,34069
3,991
8,14480
3,4589
3,2101
5,4247
1,13495
2,3234
1,29473
11,7720
0,0
0,0
0,0
1,38044
1,10688
0,0
1,7448
1,32684
1,18502
8,24687
8,14662
1,19791
1,14962
8,24510
3,10235
11,3785
1,40020
1,2001
1,45885
5,5473
8,14994
8,28569
1,11412
13,98
1,1776
1,18297
15,4535
5,3246
8,10520
3,12278
0,0
15,5676
15,5162
3,9931
1,39087
0,0
3,15039
11,9847
8,157
11,3385
1,28755
11,1286
6,1664
8,15480
8,7799
8,6011
1,16116
0,0
1,8997
8,28387
1,28048
3,13482
1,6326
8,24883
1,32548
11,16634
1,21058
11,1208
1,11570
8,29509
11,20434
1,15867
11,18649
8,4827
15,4723
16,4646
1,21001
8,13776
16,6321
11,6238
1,34287
15,6131
8,16099
1,5667
11,670
3,15391
11,25260
0,0
11,7413
0,0
0,0
1,24769
8,431
1,11027
1,45044
3,8999
1,33074
5,1285
1,11928
1,570
3,12828
8,30350
1,7822
1,33353
11,6106
6,6064
16,30
11,11633
3,19508
8,27531
2,2967
3,15080
8,812
2,3140
11,16943
1,25541
11,6848
15,2668
1,45831
3,3039
8,33591
8,30182
6,5828
8,33407
0,0
16,5685
8,24521
1,37565
1,13338
16,1434
6,2937
1,11654
1,50186
8,32550
2,3021
15,5406
16,3094
1,45973
8,33328
15,1541
5,4720
1,20129
11,5081
6,4151
1,20873
16,2506
8,16660
1,41888
1,38060
1,5412
1,29475
11,24322
3,17368
8,22119
8,33112
1,22524
1,6731
11,4223
11,21602
11,7107
16,357
1,46225
8,31203
1,1858
1,36248
8,31549
1,40990
2,2842
1,619
3,18477
0,0
16,4846
1,50414
5,4771
3,4637
1,23610
1,26994
1,2332
8,34007
1,11224
0,0
1,16706
5,3872
8,5752
1,836
1,1672
1,7006
2,5243
0,0
3,9101
8,10499
11,6258
3,16515
11,24731
11,8968
11,23743
3,832
8,15704
8,32079
1,4377
6,2144
6,548
0,0
1,22962
2,3670
11,25854
1,46610
8,2644
1,47463
8,27924
0,0
0,0
0,0
11,13572
0,0
16,591
15,274
3,2067
11,7931
8,10810
1,702
5,254
1,153
3,19882
5,3472
1,28416
1,51866
8,8837
3,4707
1,11838
3,10039
5,1823
3,19396
8,4834
2,52
1,5662
1,21726
3,11610
1,47810
0,0
8,24013
1,31712
8,22456
8,17366
3,5018
3,5772
8,20247
8,17653
8,25653
1,38951
11,16031
8,17643
5,5912
0,0
8,11549
2,2105
8,32495
1,28737
8,1005
8,21140
8,688
11,22383
1,25005
1,1358
1,42680
8,27914
8,1717
3,2568
8,30023
0,0
15,3246
3,11363
3,16723
3,7709
1,27915
15,1926
2,375
3,12980
3,7393
15,2943
6,425
3,12891
3,13578
8,32003
8,18527
5,911
8,27019
