node_id,offset
2,4096
11,20845
1,12059
8,22703
8,16901
3,8113
3,14604
1,34793
8,29939
1,11023
1,27667
8,32184
15,4014
3,4860
1,6618
8,9398
1,17943
1,23690
15,1755
8,14634
1,15687
3,550
3,3044
1,20496
11,3019
11,15980
1,4311
8,26953
8,15013
1,18849
3,17047
1,48902
1,36409
1,9054
1,38044
16,5296
1,24432
15,3455
1,48995
11,16801
6,5507
3,2273
1,37972
3,13907
2,1
11,2758
1,17300
8,21154
8,7362
1,22007
5,4023
5,4785
1,30195
1,43380
3,9991
1,10894
3,14707
5,1374
11,20206
3,9749
2,4960
1,13048
8,19024
1,8875
3,12326
1,39092
1,16752
8,14846
2,1746
8,17788
8,31544
11,15877
6,3434
1,6088
11,466
1,10008
6,5111
1,192
3,17658
8,11458
1,35728
1,50089
15,2485
8,32130
1,24165
1,16391
8,2487
1,40640
16,5374
8,25503
15,5181
3,19885
1,28497
1,22664
1,4098
8,16789
5,984
11,17619
1,6404
16,1711
3,16690
16,2418
1,36121
1,39121
1,40957
11,20699
1,17619
8,1581
3,13001
16,1697
16,3453
1,5671
1,23924
8,30774
11,18033
8,7639
1,13244
1,46923
15,4874
11,5975
6,4108
16,2252
11,13694
2,2480
1,457
1,28135
11,1982
8,2533
11,25379
5,2442
15,1687
1,10506
3,11485
1,44406
3,2886
3,319
11,7487
2,4971
11,10294
1,14516
3,9666
1,24028
8,33638
8,1354
3,5711
11,21431
8,32410
1,36287
5,4390
1,6739
1,28563
2,3403
3,12192
3,15221
6,3989
1,23835
16,2871
16,1437
3,8897
11,11736
1,6311
1,28711
5,3090
16,2604
3,12696
1,46096
8,31948
3,7510
1,366
3,1388
3,7107
3,17803
1,3784
11,8670
11,19419
1,28435
1,10137
11,54
5,2523
6,4617
11,13275
3,18911
1,36485
1,45454
1,308
1,9553
11,20472
2,6164
1,34018
8,3420
1,16181
1,27609
1,7459
3,15823
1,28970
5,2012
3,17603
1,14567
8,3721
5,4391
5,1647
3,17316
1,26380
3,2656
3,16511
3,10396
3,4021
2,4126
11,22146
5,3020
1,43411
5,4698
1,46088
1,16722
1,2050
8,3649
1,5949
15,1496
1,50417
8,19610
16,3822
15,5169
6,2051
6,4986
1,48792
8,12211
6,1639
1,50062
11,15703
1,7080
3,5275
6,4235
3,5190
8,25287
8,9060
1,21141
1,41868
6,3728
1,18023
1,7650
15,3942
1,23360
11,6436
11,4115
5,2700
11,2859
11,862
8,10665
1,29712
11,5549
8,32287
1,22291
3,8835
3,3001
3,12658
11,19317
3,15514
1,51590
11,5413
5,2856
6,4603
1,5386
3,8263
1,27008
1,47571
8,33892
1,38913
11,19031
8,2783
8,25594
8,4644
1,19430
8,32502
8,2700
3,17646
11,22266
8,8741
6,2303
15,615
5,4744
1,2742
8,28284
1,50482
1,32285
6,2579
1,40393
8,18949
3,13438
1,45791
11,7199
3,8392
1,8012
2,4436
1,50924
1,49003
6,610
11,6563
8,15434
6,3591
2,3603
8,7843
1,4067
11,21399
6,3468
8,8388
16,6229
8,22643
8,34060
5,3172
5,212
16,6043
8,24765
1,14930
3,14092
15,5912
8,14084
1,2690
1,45407
8,17969
6,2192
1,37131
8,11346
1,34213
8,31627
11,17005
8,21775
2,4809
1,32567
1,29253
1,24163
3,6096
1,14079
1,13848
8,14873
3,10903
8,11544
8,8902
3,10463
8,8184
6,2804
1,8177
8,21647
1,44874
8,31732
11,22377
1,12808
8,17410
8,13794
11,10962
8,22732
8,20667
8,33398
11,25912
1,9634
2,229
